Question,Answer
What is electricity?,Electricity is a form of energy caused by the flow of electric charges that can produce light, heat, or motion.
What is an electric circuit?,An electric circuit is a closed path through which electric current flows.
What are the main components of a simple electric circuit?,The main components are a source of electricity (battery), conducting wires, a switch, and a device like a bulb or motor.
What is a conductor?,A conductor is a material that allows electric current to flow easily. Example: copper, aluminum.
What is an insulator?,An insulator is a material that does not allow electric current to flow. Example: rubber, plastic, wood.
What is a switch?,A switch is a device used to open or close an electric circuit to stop or allow current to flow.
What is a series circuit?,A series circuit is one in which components are connected one after another in a single path.
What is a parallel circuit?,A parallel circuit is one in which components are connected on separate branches so current can flow through multiple paths.
What is the difference between series and parallel circuits?,In a series circuit, current is the same but voltage divides; in a parallel circuit, voltage is the same across branches but current divides.
What is a short circuit?,A short circuit occurs when electricity flows through an unintended path with very low resistance, which can cause sparks or fire.
Why should we avoid touching electrical appliances with wet hands?,Because water is a conductor, and touching appliances with wet hands can cause electric shock.
What is the role of a fuse?,A fuse protects electrical circuits by melting and breaking the circuit when too much current flows.
What is the role of a battery in a circuit?,A battery provides electrical energy to drive current through the circuit.
What is a cell?,A cell is a device that converts chemical energy into electrical energy to provide current in a circuit.
What is a conductor used for in a circuit?,Conductors are used to connect different components and allow electric current to flow.
What is a bulb in a circuit?,A bulb is an electrical device that converts electrical energy into light energy.
What is a motor in a circuit?,A motor is a device that converts electrical energy into mechanical energy.
What is an open circuit?,An open circuit is a circuit where the path is broken, so current cannot flow.
What is a closed circuit?,A closed circuit is a circuit with a complete path, allowing current to flow.
Why do we need insulators?,Insulators prevent electric current from flowing to unwanted areas, protecting us from shocks.
What are the symbols used in electric circuits?,Symbols include a battery, wire, bulb, switch, resistor, and motor, used in circuit diagrams.
How is electric current measured?,Electric current is measured using an ammeter connected in series in the circuit.
What is voltage?,Voltage is the potential difference between two points in a circuit that drives the current.
What is the difference between AC and DC?,AC (alternating current) changes direction periodically; DC (direct current) flows in one direction only.
Why is copper used in wires?,Copper is a good conductor of electricity, flexible, and durable, making it ideal for wires.
What is a switch used for?,A switch is used to turn the circuit on or off by closing or opening the path for current.
What is a resistor?,A resistor is a device that resists the flow of electric current to control the amount of current in a circuit.
What is an electric bell?,An electric bell is a device that rings using electrical energy when a circuit is completed.
What is the importance of a complete circuit?,A complete circuit is necessary for current to flow and for electrical devices to work.
What is a parallel connection used for?,Parallel connections ensure that if one device stops working, others continue to work, as current has multiple paths.
What is a series connection used for?,Series connection is used when we want the same current to flow through all components.
Why should we never touch exposed wires?,Because exposed wires carry current and can cause electric shock.
What is the difference between electrical energy and electric current?,Electrical energy is energy supplied by current; electric current is the flow of electric charges.
What is an electric fuse?,An electric fuse is a protective device that melts to break the circuit if excessive current flows.
Why are household wires insulated?,Household wires are insulated to prevent accidental contact and electric shocks.
What is an ammeter?,An ammeter is an instrument used to measure the electric current in a circuit.
What is a voltmeter?,A voltmeter is an instrument used to measure the voltage across two points in a circuit.
What is the danger of overloading a circuit?,Overloading can cause wires to overheat, leading to fire or damage to electrical appliances.
Why is electricity considered a secondary source of energy?,Because it is generated using primary sources like coal, water, or wind, not directly available in nature.
What is an example of a simple series circuit?,A simple series circuit can be a battery connected to a bulb with wires and a switch.
What is an example of a parallel circuit?,Connecting two bulbs across the same battery terminals so they both glow independently is an example of a parallel circuit.
Why should we switch off appliances when not in use?,To save electricity, prevent overheating, and reduce risk of fire or shock.
What is the role of a switch in a series circuit?,The switch controls the flow of current in the entire circuit by opening or closing the path.
What is the role of a switch in a parallel circuit?,The switch can control current in one branch without affecting other branches.
How can we stay safe while using electricity?,Do not touch exposed wires, avoid water near electrical devices, and use insulated wires and proper appliances.
What is an electric circuit diagram?,A circuit diagram is a visual representation of an electric circuit using standard symbols for components.
What is a non-luminous object?,A non-luminous object does not produce its own light but may reflect light. Example: table, wall.
Why is electricity important in daily life?,Electricity powers lights, fans, machines, devices, and is essential for communication, transportation, and industries.
