Question,Answer
What is motion?,Motion is the change in position of an object with time.
What is distance?,Distance is the total length covered by an object in motion, regardless of direction.
What is displacement?,Displacement is the shortest distance between the initial and final position of an object, with direction.
What is speed?,Speed is the distance traveled by an object in a unit of time. Example: meters per second (m/s).
What is uniform motion?,Uniform motion is when an object covers equal distances in equal intervals of time.
What is non-uniform motion?,Non-uniform motion is when an object covers unequal distances in equal intervals of time.
How can we measure distance?,Distance can be measured using a ruler, measuring tape, odometer, or trundle wheel depending on length.
What are standard units of distance?,The standard units of distance are meter (m), kilometer (km), centimeter (cm), and millimeter (mm).
How is motion measured?,Motion is measured by observing the change in position of an object with respect to time.
What is a stopwatch used for?,A stopwatch is used to measure the time taken by an object to cover a certain distance.
How can we calculate speed?,Speed = Distance ÷ Time. Example: if a car covers 100 meters in 10 seconds, speed = 10 m/s.
What is a reference point?,A reference point is a stationary point used to observe whether an object is in motion or not.
What is relative motion?,Relative motion is when the motion of an object is described in relation to another object.
Give an example of uniform motion.,A train moving at a constant speed on a straight track is an example of uniform motion.
Give an example of non-uniform motion.,A car slowing down at a traffic signal is an example of non-uniform motion.
What is a motion graph?,A motion graph is a graph showing the distance or displacement of an object with respect to time.
What is an odometer?,An odometer is a device used in vehicles to measure the distance traveled.
What is the difference between distance and displacement?,Distance is total length covered without direction, displacement is shortest path with direction.
Why do we need to measure distance?,Measuring distance helps us know how far objects are and plan travel or transport efficiently.
What is a trundle wheel?,A trundle wheel is a measuring device used to measure long distances on the ground accurately.
What is instantaneous speed?,Instantaneous speed is the speed of an object at a particular instant of time.
What is average speed?,Average speed is the total distance traveled divided by the total time taken.
Why is motion important in daily life?,Motion is important for transportation, sports, work, and understanding natural phenomena.
What is a uniform speed?,Uniform speed is when an object moves at a constant rate without speeding up or slowing down.
What is a non-uniform speed?,Non-uniform speed is when the speed of an object changes over time.
What is a vehicle’s speedometer used for?,A speedometer shows the speed at which a vehicle is moving at any instant.
How is motion described?,Motion is described by distance, displacement, speed, direction, and time.
What is a kilometer?,A kilometer is a unit of distance equal to 1000 meters.
What is a centimeter?,A centimeter is a unit of distance equal to one-hundredth of a meter.
What is a millimeter?,A millimeter is a unit of distance equal to one-thousandth of a meter.
Why do we use meters for short distances?,Meters are convenient for measuring everyday objects because they are neither too big nor too small.
Why do we use kilometers for long distances?,Kilometers are convenient for measuring long distances like roads and travel routes.
What is a measuring tape used for?,A measuring tape is used to measure length or distance of objects or spaces in centimeters or meters.
What is meant by motion along a straight line?,Motion along a straight line is when an object moves in a single direction without changing path.
What is motion along a curved path?,Motion along a curved path is when an object changes its direction while moving, like a car on a bend.
How can we represent motion visually?,Motion can be represented using motion graphs, diagrams, arrows, and displacement-time graphs.
What is the difference between motion and rest?,Motion is when an object changes position over time, rest is when it does not move relative to a reference point.
What is the SI unit of speed?,The SI unit of speed is meters per second (m/s).
How is time measured?,Time is measured using clocks, stopwatches, timers, or any standard device that shows duration.
What is meant by constant speed?,Constant speed is when an object covers equal distances in equal intervals of time.
What is meant by changing speed?,Changing speed is when an object covers unequal distances in equal intervals of time.
Give an example of instantaneous speed.,The speed shown by a car’s speedometer at a particular moment is instantaneous speed.
Give an example of average speed.,If a car covers 120 km in 2 hours, the average speed = 120 ÷ 2 = 60 km/h.
What is motion along circular path?,Motion along circular path is movement along a curved path forming a circle. Example: Ferris wheel.
Why is displacement often shorter than distance?,Because displacement is the straight line between start and end, while distance may include all twists and turns.
What is a speed-time relationship?,The speed-time relationship shows how speed changes over time, often represented in graphs.
What is the importance of knowing speed?,Knowing speed helps in planning travel, controlling vehicles, and understanding motion in physics.
Why do we use standard units for measuring distance?,Standard units allow consistency, accuracy, and comparison of distances worldwide.
