Question,Option A,Option B,Option C,Option D,Correct Answer
Which method is used to separate sand from water?,Filtration,Sedimentation,Decantation,Evaporation,Filtration
Which method is used to obtain salt from seawater?,Evaporation,Filtration,Decantation,Magnetic separation,Evaporation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Sublimation,Evaporation,Centrifugation
Which method is used to remove iron filings from sand?,Magnetic separation,Filtration,Sedimentation,Evaporation,Magnetic separation
Which method is used to remove insoluble impurities from water?,Filtration,Sedimentation,Decantation,Evaporation,Filtration
Which method is used to separate a mixture of liquids with different boiling points?,Distillation,Sedimentation,Filtration,Decantation,Distillation
Which method is used to separate plant pigments?,Chromatography,Evaporation,Filtration,Decantation,Chromatography
Which method is used to separate iodine from a mixture?,Sublimation,Filtration,Decantation,Evaporation,Sublimation
Which method is used to separate sugar crystals from solution?,Crystallization,Filtration,Sedimentation,Decantation,Crystallization
Which method is used to remove sand from water by letting it settle?,Sedimentation,Filtration,Decantation,Evaporation,Sedimentation
Which method is used to remove clear water from settled mixture?,Decantation,Sedimentation,Filtration,Evaporation,Decantation
Which method is used to separate light impurities from grains?,Floatation,Sedimentation,Filtration,Decantation,Floatation
Which method is used in making pure water from saltwater?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method uses earthworms to separate useful products?,Vermicomposting,Filtration,Decantation,Evaporation,Vermicomposting
Which method separates cream by spinning milk at high speed?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which of the following is an example of sedimentation?,Mud settling in water,Milk churning,Sugar dissolving,Rice cooking,Mud settling in water
Which of the following is an example of decantation?,Pouring clear water from mud,Boiling water,Mixing salt in water,Grinding wheat,Pouring clear water from mud
Which of the following is an example of filtration?,Tea straining,Boiling water,Pouring water,Settling sand,Tea straining
Which method is used to separate soluble solids from liquids?,Evaporation,Filtration,Decantation,Sedimentation,Evaporation
Which method is used to separate solids from liquids when solid is insoluble?,Filtration,Evaporation,Decantation,Sedimentation,Filtration
Which method is used to separate cream from milk?,Centrifugation,Filtration,Sedimentation,Decantation,Centrifugation
Which method is used to remove fine particles from water?,Filtration,Sedimentation,Decantation,Evaporation,Filtration
Which method is used to separate alcohol from water?,Distillation,Filtration,Decantation,Sedimentation,Distillation
Which method is used to remove soluble impurities?,Evaporation,Filtration,Decantation,Sedimentation,Evaporation
Which method is used to obtain pure iodine from salt-iodine mixture?,Sublimation,Filtration,Decantation,Evaporation,Sublimation
Which method is used in chromatography?,Separation of pigments,Filtration,Evaporation,Sedimentation,Separation of pigments
Which method is used to make sugar from sugarcane juice?,Crystallization,Filtration,Sedimentation,Decantation,Crystallization
Which method uses physical properties of substances for separation?,All of the above,Decantation,Filtration,Evaporation,All of the above
Which of the following cannot be separated by filtration?,Sugar solution,Sand and water,Tea leaves,Oil and water,Sugar solution
Which of the following is used in water purification?,Filtration,Decantation,Evaporation,All of these,All of these
Which method is used to separate mixture of solids using magnet?,Magnetic separation,Filtration,Sedimentation,Decantation,Magnetic separation
Which of the following is a reversible change used for separation?,Evaporation,Filtration,Sedimentation,Decantation,Evaporation
Which of the following is an irreversible separation method?,Evaporation,Filtration,Decantation,Sedimentation,Evaporation
Which of the following mixtures can be separated by decantation?,Mud and water,Milk and cream,Sugar solution,All of these,Mud and water
Which of the following mixtures can be separated by filtration?,Mud and water,Sugar solution,Milk and cream,All of these,Mud and water
Which of the following is used to separate liquids from solids in daily life?,Tea strainer,Evaporation,Sedimentation,Decantation,Tea strainer
Which of the following method uses heat to obtain solids?,Evaporation,Filtration,Sedimentation,Decantation,Evaporation
Which of the following is a combination of methods?,Distillation then filtration,Evaporation,Sedimentation,Decantation,Distillation then filtration
Which of the following is used to remove soluble substances?,Evaporation,Filtration,Decantation,Sedimentation,Evaporation
Which of the following is used to obtain salt crystals?,Crystallization,Filtration,Sedimentation,Decantation,Crystallization
Which method is suitable for separating cream from milk?,Centrifugation,Filtration,Sedimentation,Decantation,Centrifugation
Which method is used to separate pigments in plants?,Chromatography,Filtration,Evaporation,Decantation,Chromatography
Which of the following is used in sugar industries?,Crystallization,Filtration,Sedimentation,Decantation,Crystallization
Which of the following method separates by density?,Floatation,Sedimentation,Filtration,Decantation,Floatation
Which of the following is used to remove solid particles from liquid?,Filtration,Evaporation,Decantation,Sedimentation,Filtration
Which method is used to separate a mixture of gases?,Distillation,Filtration,Sedimentation,Chromatography,Chromatography
Which method separates substances based on solubility?,Crystallization,Filtration,Sedimentation,Decantation,Crystallization
Which of the following is commonly used in chemistry labs?,Filtration,Evaporation,Decantation,All of these,All of these
Which of the following is used to purify drinking water?,Filtration,Decantation,Evaporation,All of these,All of these
