Question,Option A,Option B,Option C,Option D,Answer
Which is the universal solvent?,Water,Oil,Milk,Air,Water
Which state of water has definite shape?,Solid,Liquid,Gas,Plasma,Solid
Which state of water takes shape of container?,Liquid,Solid,Gas,Plasma,Liquid
Which state of water fills the entire container?,Gas,Liquid,Solid,Plasma,Gas
Which process converts water into vapor?,Evaporation,Condensation,Freezing,Melting,Evaporation
Which process converts vapor into water?,Condensation,Evaporation,Freezing,Melting,Condensation
Which process converts water to ice?,Freezing,Melting,Condensation,Evaporation,Freezing
Which process converts ice to water?,Melting,Freezing,Condensation,Evaporation,Melting
Which process purifies water?,Boiling,Freezing,Condensation,Evaporation,Boiling
Which process forms clouds?,Evaporation,Condensation,Freezing,Melting,Condensation
Which process forms rain?,Condensation,Evaporation,Freezing,Melting,Condensation
Which state of water is in rivers?,Liquid,Solid,Gas,Plasma,Liquid
Which state of water is in glaciers?,Solid,Liquid,Gas,Plasma,Solid
Which state of water is in clouds?,Gas,Liquid,Solid,Plasma,Gas
Which state of water is used for drinking?,Liquid,Solid,Gas,Plasma,Liquid
Which is impure water?,Sea water,Fresh water,River water,Tap water,Sea water
Which water is safe for drinking?,Fresh water,Sea water,River water,Waste water,Fresh water
Which water contains salts?,Sea water,Fresh water,River water,Tap water,Sea water
Which water is obtained from rain?,Rain water,Sea water,River water,Groundwater,Rain water
Which water is stored in underground tanks?,Groundwater,Rain water,Sea water,River water,Groundwater
Which process removes salt from water?,Desalination,Evaporation,Condensation,Freezing,Desalination
Which device is used to purify water?,Filter,Tap,Tube,Pipe,Filter
Which water is salty?,Sea water,Fresh water,River water,Tap water,Sea water
Which water is fresh?,River water,Sea water,Waste water,Brine,River water
Which water is used in industries?,Industrial water,Sea water,Rain water,Flood water,Industrial water
Which water is used for irrigation?,Canal water,Rain water,Sea water,Groundwater,Canal water
Which water flows naturally?,River water,Sea water,Tap water,Well water,River water
Which water is underground?,Groundwater,River water,Sea water,Rain water,Groundwater
Which process converts water into vapor?,Evaporation,Condensation,Freezing,Melting,Evaporation
Which process converts vapor into water?,Condensation,Evaporation,Freezing,Melting,Condensation
Which process converts water to ice?,Freezing,Melting,Evaporation,Condensation,Freezing
Which process converts ice to water?,Melting,Freezing,Evaporation,Condensation,Melting
Which process forms clouds?,Condensation,Evaporation,Freezing,Melting,Condensation
Which process forms rain?,Condensation,Evaporation,Freezing,Melting,Condensation
Which water is safe for drinking?,Tap water,River water,Sea water,Waste water,Tap water
Which water contains minerals?,Mineral water,Rain water,Sea water,River water,Mineral water
Which water is polluted?,Waste water,Fresh water,Groundwater,Rain water,Waste water
Which water is obtained from lakes?,Lake water,Rain water,Sea water,Groundwater,Lake water
Which water is frozen in winter?,Ice,Snow,Water,Vapor,Ice
Which water is used in swimming pools?,Tap water,Sea water,River water,Groundwater,Tap water
Which water is hot water?,Boiled water,Sea water,Fresh water,Rain water,Boiled water
Which water is clean?,Filtered water,Sea water,Waste water,River water,Filtered water
Which water contains impurities?,Waste water,Filtered water,Rain water,Fresh water,Waste water
Which water is soft water?,Rain water,Sea water,Tap water,River water,Rain water
Which water is hard water?,Well water,Tap water,Rain water,Filtered water,Well water
Which water evaporates quickly?,Hot water,Cold water,Sea water,River water,Hot water
Which water freezes slowly?,Salt water,Fresh water,Rain water,Lake water,Salt water
Which water flows from mountains?,River water,Sea water,Lake water,Groundwater,River water
Which water is collected in dams?,Reservoir water,River water,Lake water,Sea water,Reservoir water
Which water is drinkable?,Potable water,Sea water,Waste water,Brine,Potable water
Which water is used in electricity generation?,Dam water,Sea water,Rain water,Lake water,Dam water
Which water is used for bathing?,Tap water,River water,Sea water,All of these,Tap water
Which water is found in clouds?,Vapor,Liquid,Solid,Plasma,Vapor
Which water is frozen rain?,Snow,Hail,Rain,Frost,Snow
Which water is frozen in winter?,Ice,Snow,Rain,Vapor,Ice
