Question,Option A,Option B,Option C,Option D,Answer
Melting of ice is an example of,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Rusting of iron is an example of,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Boiling of water is an example of,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Burning of paper is an example of,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Dissolving sugar in water is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Cutting of paper is an example of,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Cooking of food is an example of,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Freezing of water is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Ripening of fruit is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Condensation of water vapour is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Formation of curd from milk is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Breaking of glass is an example of,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Boiling of milk is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Burning of candle is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Drying of clothes is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Fermentation of sugar into alcohol is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Melting of butter is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Chopping of vegetables is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Tarnishing of silver is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Baking of cake is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Dissolving salt in water is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Cutting of fruits is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Boiling of water to form steam is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Burning of wood is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Freezing of juice is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Photosynthesis in plants is,Physical Change,Chemical Change,Biological Change,Reversible Change,Biological Change
Digestion of food is,Physical Change,Chemical Change,Biological Change,Reversible Change,Biological Change
Breaking of chalk is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Rusting of nails is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Chemical Change
Boiling of water and cooling back to water is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Cooking of rice is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Folding of paper is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Cutting of fruits is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Burning of petrol is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Dissolving sugar in water is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Fermentation of dough is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Condensation of water on cold surface is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Melting of chocolate is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Candle burning producing light is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Rusting of iron nails is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Boiling water to make steam is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Spoiling of food is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Breaking of glass bottle is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Cooking of eggs is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Freezing of water to ice is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Tearing of paper is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Ripening of mangoes is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Boiling sugar solution to form crystals is,Physical Change,Chemical Change,Biological Change,Reversible Change,Physical Change
Burning of wood to ashes is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
Cutting of fruits into pieces is,Physical Change,Chemical Change,Biological Change,Irreversible Change,Physical Change
Making cheese from milk is,Physical Change,Chemical Change,Biological Change,Reversible Change,Chemical Change
