Question,Option A,Option B,Option C,Option D,Correct Answer
Which nutrient mainly provides energy to the body?,Proteins,Carbohydrates,Vitamins,Minerals,Carbohydrates
Which nutrient is needed for growth and repair of body tissues?,Carbohydrates,Fats,Proteins,Vitamins,Proteins
Which nutrient provides maximum energy per gram?,Carbohydrates,Proteins,Fats,Vitamins,Fats
Which vitamin helps in improving vision?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
Which mineral is essential for the formation of haemoglobin?,Calcium,Iron,Iodine,Phosphorus,Iron
Deficiency of which vitamin causes scurvy?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin C
Which nutrient helps in proper digestion of food?,Fats,Proteins,Roughage,Vitamins,Roughage
Which of the following is a rich source of carbohydrates?,Rice,Milk,Egg,Butter,Rice
Which food item is rich in proteins?,Pulses,Rice,Sugar,Oil,Pulses
Which nutrient helps in maintaining body temperature?,Proteins,Carbohydrates,Fats,Vitamins,Fats
Which vitamin helps in absorption of calcium?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
Deficiency of iodine causes?,Scurvy,Anaemia,Goitre,Rickets,Goitre
Which nutrient is needed to keep bones and teeth strong?,Iron,Calcium,Iodine,Vitamin C,Calcium
Which of the following is a fat-soluble vitamin?,Vitamin B,Vitamin C,Vitamin D,Vitamin B12,Vitamin D
Which food component is known as dietary fibre?,Proteins,Carbohydrates,Roughage,Fats,Roughage
Which mineral helps in proper functioning of thyroid gland?,Calcium,Iron,Iodine,Potassium,Iodine
Which of the following is a balanced diet?,Only rice and water,Only fruits and vegetables,Only meat,A diet containing all nutrients in proper proportion,A diet containing all nutrients in proper proportion
Which nutrient is mainly required by bodybuilders?,Carbohydrates,Proteins,Vitamins,Minerals,Proteins
Which disease is caused due to deficiency of vitamin D?,Scurvy,Rickets,Beri-beri,Anaemia,Rickets
Which nutrient protects the body from diseases?,Carbohydrates,Fats,Vitamins,Proteins,Vitamins
Which nutrient helps in healing of wounds?,Proteins,Carbohydrates,Fats,Minerals,Proteins
Which of the following is a source of vitamin C?,Orange,Milk,Rice,Egg,Orange
Which nutrient helps in preventing constipation?,Fats,Proteins,Roughage,Vitamins,Roughage
Which of the following is rich in fats?,Butter,Rice,Potato,Apple,Butter
Which disease is caused due to lack of iron?,Rickets,Scurvy,Anaemia,Goitre,Anaemia
Which nutrient is essential for making enzymes and hormones?,Carbohydrates,Proteins,Fats,Vitamins,Proteins
Which vitamin is known as the sunshine vitamin?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin D
Which of the following foods is rich in calcium?,Milk,Apple,Rice,Oil,Milk
Which nutrient provides insulation to the body?,Carbohydrates,Proteins,Fats,Vitamins,Fats
Which deficiency causes night blindness?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
Which nutrient is needed in very small quantities but is essential?,Proteins,Carbohydrates,Fats,Vitamins,Vitamins
Which food is a rich source of proteins and fats?,Pulses,Milk,Butter,Rice,Milk
Which of the following is a function of carbohydrates?,Growth and repair,Protection from disease,Energy supply,Building bones,Energy supply
Which nutrient helps in clotting of blood?,Vitamin A,Vitamin B,Vitamin C,Vitamin K,Vitamin K
Which deficiency disease is caused due to lack of vitamin B1?,Rickets,Beri-beri,Scurvy,Goitre,Beri-beri
Which nutrient forms the main structural component of muscles?,Proteins,Carbohydrates,Fats,Vitamins,Proteins
Which of the following is NOT a nutrient?,Proteins,Carbohydrates,Water,Roughage,Roughage
Which nutrient is needed for healthy skin?,Vitamin A,Vitamin C,Iron,Calcium,Vitamin A
Which mineral helps in muscle contraction?,Calcium,Iodine,Iron,Vitamin D,Calcium
Which of the following foods is rich in iron?,Spinach,Apple,Rice,Milk,Spinach
Which nutrient helps in transport of nutrients in the body?,Water,Proteins,Carbohydrates,Fats,Water
Which disease is caused due to deficiency of vitamin B complex?,Scurvy,Beri-beri,Rickets,Goitre,Beri-beri
Which food component is needed for proper functioning of nervous system?,Vitamin B,Vitamin C,Vitamin D,Iron,Vitamin B
Which of the following is an energy-giving nutrient?,Proteins,Carbohydrates,Vitamins,Minerals,Carbohydrates
Which nutrient is essential for strong teeth?,Iron,Calcium,Iodine,Vitamin C,Calcium
Which of the following is a protective nutrient?,Carbohydrates,Proteins,Vitamins,Fats,Vitamins
Which nutrient helps in digestion by adding bulk to food?,Fats,Proteins,Roughage,Carbohydrates,Roughage
Which food contains almost all nutrients except roughage?,Milk,Rice,Potato,Apple,Milk
Which deficiency causes weakness and tiredness?,Vitamin A,Iron,Vitamin D,Iodine,Iron
