Question,Option A,Option B,Option C,Option D,Answer
Which of these is a metal?,Copper,Wood,Plastic,Rubber,Copper
Which of these is a non-metal?,Iron,Aluminium,Plastic,Silver,Plastic
Which material floats on water?,Stone,Wood,Iron,Copper,Wood
Which material sinks in water?,Wood,Plastic,Iron,Cork,Iron
Which of these is transparent?,Glass,Wood,Paper,Metal,Glass
Which of these is opaque?,Wood,Glass,Water,Plastic,Wood
Which of these is translucent?,Frosted Glass,Stone,Iron,Plastic,Frosted Glass
Which material is hard?,Stone,Paper,Rubber,Cotton,Stone
Which material is soft?,Cotton,Iron,Copper,Stone,Cotton
Which material is elastic?,Rubber,Stone,Wood,Iron,Rubber
Which of these is magnetic?,Iron,Wood,Plastic,Cotton,Iron
Which of these is non-magnetic?,Steel,Copper,Iron,Nickel,Copper
Which of these is brittle?,Glass,Rubber,Cotton,Plastic,Glass
Which of these is flexible?,Rubber,Stone,Glass,Iron,Rubber
Which of these is strong?,Iron,Paper,Rubber,Cotton,Iron
Which material is used for making wires?,Copper,Wood,Plastic,Stone,Copper
Which material is used for making windows?,Glass,Wood,Rubber,Cotton,Glass
Which material is used for making tyres?,Rubber,Iron,Wood,Glass,Rubber
Which material is used for making furniture?,Wood,Rubber,Cotton,Iron,Wood
Which material is shiny?,Aluminium,Rubber,Wood,Cotton,Aluminium
Which material is dull?,Wood,Aluminium,Silver,Copper,Wood
Which material is heat conductor?,Copper,Wood,Rubber,Cotton,Copper
Which material is heat insulator?,Wood,Copper,Iron,Silver,Wood
Which material is used in coins?,Copper,Wood,Rubber,Cotton,Copper
Which material is used for clothes?,Cotton,Iron,Stone,Glass,Cotton
Which material is used for ropes?,Cotton,Iron,Stone,Glass,Cotton
Which material is soft and absorbent?,Cotton,Plastic,Stone,Iron,Cotton
Which material is used for carrying water?,Plastic,Cotton,Wood,Stone,Plastic
Which of these is natural material?,Wood,Plastic,Glass,Rubber,Wood
Which of these is synthetic material?,Plastic,Wood,Cotton,Stone,Plastic
Which material is transparent and used in bottles?,Glass,Wood,Stone,Rubber,Glass
Which material is used for making floors?,Stone,Glass,Rubber,Cotton,Stone
Which material is hard and used in construction?,Stone,Wood,Rubber,Cotton,Stone
Which material is soft and used in stuffing pillows?,Cotton,Stone,Iron,Wood,Cotton
Which material is shiny and used in decoration?,Silver,Wood,Rubber,Cotton,Silver
Which material is used in making bridges?,Steel,Wood,Rubber,Cotton,Steel
Which material is used for making windows?,Glass,Rubber,Wood,Cotton,Glass
Which material is flexible and used in toys?,Rubber,Stone,Iron,Wood,Rubber
Which material is strong and used for making tools?,Iron,Cotton,Rubber,Wood,Iron
Which material is used for making bags?,Cotton,Iron,Stone,Rubber,Cotton
Which material is non-flammable?,Stone,Wood,Cotton,Rubber,Stone
Which material is flammable?,Wood,Stone,Cotton,Glass,Wood
Which material is soft and smooth?,Cotton,Stone,Rubber,Iron,Cotton
Which material is hard and rough?,Stone,Cotton,Rubber,Glass,Stone
Which material is used in electric wires?,Copper,Wood,Rubber,Stone,Copper
Which material is a poor conductor of electricity?,Rubber,Iron,Copper,Silver,Rubber
Which material is shiny and used in jewellery?,Gold,Wood,Cotton,Stone,Gold
Which material is used in making bottles?,Glass,Stone,Rubber,Cotton,Glass
Which material is used in making chairs?,Wood,Plastic,Rubber,Stone,Wood
Which material is magnetic?,Nickel,Wood,Rubber,Plastic,Nickel
Which material is non-magnetic?,Copper,Iron,Nickel,Steel,Copper
Which material is used in making floors and roads?,Stone,Wood,Cotton,Rubber,Stone
Which material is used in making clothes?,Cotton,Iron,Stone,Glass,Cotton
Which material is flexible and used for tyres?,Rubber,Iron,Wood,Cotton,Rubber
