Question,Option A,Option B,Option C,Option D,Correct Answer
Which organ helps in movement of body?,Muscles,Bones,Heart,Lungs,Muscles
Which provides support to body?,Bones,Muscles,Heart,Lungs,Bones
Which joint allows rotation?,Ball and socket,Hinge,Pivot,Fixed,Ball and socket
Which joint allows bending and straightening?,Hinge,Ball and socket,Pivot,Fixed,Hinge
Which joint does not move?,Fixed,Ball and socket,Hinge,Pivot,Fixed
Which connects bones to muscles?,Tendon,Ligament,Cartilage,Joint,Tendon
Which connects bone to bone?,Ligament,Tendon,Cartilage,Joint,Ligament
Which covers the end of bones?,Cartilage,Ligament,Tendon,Muscle,Cartilage
Which muscle is voluntary?,Biceps,Heart,Stomach,Lungs,Biceps
Which muscle is involuntary?,Heart,Biceps,Triceps,Quadriceps,Heart
Which bone protects the brain?,Skull,Rib,Coccyx,Humerus,Skull
Which bone protects the heart and lungs?,Rib,Skull,Humerus,Femur,Rib
Which bone is in upper arm?,Humerus,Femur,Tibia,Radius,Humerus
Which bone is in thigh?,Femur,Humerus,Tibia,Radius,Femur
Which bone is in leg below knee?,Tibia,Humerus,Femur,Radius,Tibia
Which bone is in forearm?,Radius,Humerus,Femur,Tibia,Radius
Which type of muscle helps in walking?,Skeletal,Cardiac,Smooth,Involuntary,Skeletal
Which type of muscle works automatically?,Cardiac,Skeletal,Smooth,Voluntary,Cardiac
Which type of joint allows circular movement?,Ball and socket,Hinge,Pivot,Fixed,Ball and socket
Which joint allows head rotation?,Pivot,Hinge,Ball and socket,Fixed,Pivot
Which joint allows no movement?,Fixed,Hinge,Ball and socket,Pivot,Fixed
Which is a hinge joint?,Elbow,Knee,Shoulder,Neck,Elbow
Which is a ball and socket joint?,Shoulder,Elbow,Knee,Neck,Shoulder
Which is a pivot joint?,Neck,Shoulder,Elbow,Knee,Neck
Which protects the spinal cord?,Vertebral column,Skull,Rib,Femur,Vertebral column
Which is the longest bone in body?,Femur,Humerus,Tibia,Radius,Femur
Which is a flat bone?,Skull,Humerus,Femur,Rib,Skull
Which is a short bone?,Carpals,Femur,Humerus,Rib,Carpals
Which is an irregular bone?,Vertebra,Femur,Humerus,Rib,Vertebra
Which part of skeleton protects heart?,Ribcage,Skull,Vertebra,Humerus,Ribcage
Which part of skeleton protects brain?,Skull,Ribcage,Vertebra,Humerus,Skull
Which part of skeleton supports body?,Vertebral column,Ribcage,Skull,Humerus,Vertebral column
Which part allows movement?,Joints,Bones,Cartilage,Ligaments,Joints
Which connects bone to bone?,Ligament,Tendon,Cartilage,Muscle,Ligament
Which connects bone to muscle?,Tendon,Ligament,Cartilage,Joint,Tendon
Which muscle helps in digestion?,Smooth,Biceps,Triceps,Quadriceps,Smooth
Which muscle helps in pumping blood?,Cardiac,Skeletal,Smooth,Voluntary,Cardiac
Which is voluntary muscle?,Biceps,Heart,Stomach,Lungs,Biceps
Which is involuntary muscle?,Heart,Skeletal,Smooth,Voluntary,Heart
Which joint allows bending elbow?,Hinge,Ball and socket,Pivot,Fixed,Hinge
Which joint allows rotation of head?,Pivot,Hinge,Ball and socket,Fixed,Pivot
Which joint allows circular movement of shoulder?,Ball and socket,Hinge,Pivot,Fixed,Ball and socket
Which joint does not move?,Fixed,Hinge,Ball and socket,Pivot,Fixed
Which bone is in upper arm?,Humerus,Femur,Tibia,Radius,Humerus
Which bone is in thigh?,Femur,Humerus,Tibia,Radius,Femur
Which bone is in leg below knee?,Tibia,Humerus,Femur,Radius,Tibia
Which bone is in forearm?,Radius,Humerus,Femur,Tibia,Radius
Which protects the brain?,Skull,Rib,Femur,Humerus,Skull
Which protects heart and lungs?,Rib,Skull,Humerus,Femur,Rib
Which is the longest bone?,Femur,Humerus,Tibia,Radius,Femur
Which is shortest bone?,Stirrup,Skull,Rib,Femur,Stirrup
Which muscle moves bones voluntarily?,Skeletal,Cardiac,Smooth,Involuntary,Skeletal
Which muscle works automatically?,Cardiac,Skeletal,Smooth,Voluntary,Cardiac
Which joint allows rotation?,Pivot,Hinge,Ball and socket,Fixed,Pivot
