Question,Option A,Option B,Option C,Option D,Answer
Which device is used to check presence of current?,Ammeter,Voltmeter,Cell,Bulb,Ammeter
Which device measures current?,Ammeter,Voltmeter,Cell,Bulb,Ammeter
Which device measures voltage?,Voltmeter,Ammeter,Cell,Bulb,Voltmeter
Which is a source of electricity?,Battery,Bulb,Wire,Switch,Battery
Which of these is a conductor?,Copper,Plastic,Rubber,Wood,Copper
Which of these is an insulator?,Plastic,Copper,Aluminium,Iron,Plastic
Which material is used for connecting wires?,Copper,Plastic,Wood,Rubber,Copper
Which device controls current in a circuit?,Switch,Bulb,Cell,Ammeter,Switch
Which device produces light in circuit?,Bulb,Switch,Cell,Wire,Bulb
Which component stores electrical energy?,Battery,Switch,Bulb,Wire,Battery
Which type of circuit has one path?,Series,Parallel,Open,Closed,Series
Which type of circuit has multiple paths?,Parallel,Series,Open,Closed,Parallel
Which is an open circuit?,Broken wire,Complete path,Switch on,All of these,Broken wire
Which is a closed circuit?,Complete path,Broken wire,Switch off,All of these,Complete path
Which device converts chemical energy to electrical energy?,Cell,Bulb,Switch,Wire,Cell
Which device is used to connect components?,Wire,Bulb,Switch,Cell,Wire
Which of these is a good conductor?,Iron,Rubber,Plastic,Wood,Iron
Which of these is a poor conductor?,Rubber,Copper,Aluminium,Iron,Rubber
Which device is used to break circuit?,Switch,Cell,Bulb,Wire,Switch
Which device is used to complete circuit?,Switch,Cell,Bulb,Wire,Switch
Which device glows when current flows?,Bulb,Switch,Cell,Wire,Bulb
Which material is used in wires?,Copper,Plastic,Wood,Rubber,Copper
Which component stores chemical energy?,Battery,Bulb,Switch,Wire,Battery
Which type of circuit allows only one path?,Series,Parallel,Open,Closed,Series
Which type of circuit allows multiple paths?,Parallel,Series,Open,Closed,Parallel
Which component measures electrical current?,Ammeter,Voltmeter,Cell,Bulb,Ammeter
Which component measures voltage?,Voltmeter,Ammeter,Cell,Bulb,Voltmeter
Which device converts chemical energy to electrical energy?,Battery,Bulb,Wire,Switch,Battery
Which is used to connect electrical components?,Wire,Switch,Bulb,Cell,Wire
Which is a good conductor of electricity?,Copper,Rubber,Plastic,Wood,Copper
Which is an insulator?,Plastic,Copper,Iron,Aluminium,Plastic
Which device produces light when current flows?,Bulb,Switch,Cell,Wire,Bulb
Which device stores electrical energy?,Cell,Bulb,Wire,Switch,Cell
Which type of circuit has single path?,Series,Parallel,Open,Closed,Series
Which type of circuit has multiple paths?,Parallel,Series,Open,Closed,Parallel
Which circuit is broken?,Open,Closed,Series,Parallel,Open
Which circuit is complete?,Closed,Open,Series,Parallel,Closed
Which component converts chemical energy to electrical energy?,Battery,Bulb,Wire,Switch,Battery
Which device connects or disconnects circuit?,Switch,Cell,Bulb,Wire,Switch
Which conducts electricity well?,Copper,Rubber,Plastic,Wood,Copper
Which does not conduct electricity?,Plastic,Copper,Aluminium,Iron,Plastic
Which measures electric current?,Ammeter,Voltmeter,Cell,Bulb,Ammeter
Which measures electric potential?,Voltmeter,Ammeter,Cell,Bulb,Voltmeter
Which allows electricity to flow?,Closed circuit,Open circuit,Broken wire,Switch off,Closed circuit
Which prevents electricity flow?,Open circuit,Closed circuit,Wire,Bulb,Open circuit
Which component emits light in a circuit?,Bulb,Switch,Cell,Wire,Bulb
Which stores chemical energy?,Battery,Bulb,Wire,Switch,Battery
Which material is used for connecting circuit?,Copper,Plastic,Wood,Rubber,Copper
Which is used to control electric flow?,Switch,Bulb,Wire,Cell,Switch
Which component shows voltage?,Voltmeter,Ammeter,Cell,Bulb,Voltmeter
Which component shows current?,Ammeter,Voltmeter,Cell,Bulb,Ammeter
Which type of circuit has only one path?,Series,Parallel,Open,Closed,Series
Which type of circuit has more than one path?,Parallel,Series,Open,Closed,Parallel
