Question,Option A,Option B,Option C,Option D,Correct Answer
What is the unit of electric current?,Ampere,Volt,Ohm,Watt,Ampere
What is the unit of voltage?,Volt,Ampere,Ohm,Watt,Volt
What is the unit of resistance?,Ohm,Volt,Ampere,Watt,Ohm
Which device measures current?,Ammeter,Voltmeter,Galvanometer,Resistor,Ammeter
Which device measures potential difference?,Voltmeter,Ammeter,Resistor,Galvanometer,Voltmeter
Which device resists flow of current?,Resistor,Wire,Cell,Switch,Resistor
Which of the following is a conductor?,Copper,Rubber,Plastic,Glass,Copper
Which of the following is an insulator?,Rubber,Copper,Aluminium,Iron,Rubber
Which material allows electricity to flow?,Conductor,Insulator,Plastic,Glass,Conductor
Which material blocks electricity?,Insulator,Conductor,Copper,Aluminium,Insulator
What is a simple circuit?,Path for current,No path for current,Closed switch,Open switch,Path for current
What is an open circuit?,Circuit with switch open,Circuit closed,Circuit with battery only,Circuit with resistor, Circuit with switch open
What is a closed circuit?,Circuit with switch closed,Circuit open,Circuit with battery only,Circuit with resistor,Circuit with switch closed
Which component stores electrical energy?,Capacitor,Resistor,Cell,Wire,Capacitor
Which device protects circuit from excess current?,Fuse,Switch,Resistor,Battery,Fuse
Which is a source of electricity?,Cell,Wire,Resistor,Switch,Cell
Which of the following is an electric conductor?,Iron,Wood,Rubber,Plastic,Iron
Which of the following is an electric insulator?,Plastic,Copper,Aluminium,Iron,Plastic
Which is used to connect components in a circuit?,Wire,Resistor,Cell,Switch,Wire
Which device can turn current on/off?,Switch,Wire,Resistor,Cell,Switch
Which of the following stores energy?,Battery,Switch,Wire,Resistor,Battery
Which of the following converts chemical energy to electrical energy?,Cell,Wire,Resistor,Switch,Cell
Which of the following produces magnetic field around it?,Current-carrying wire,Battery,Resistor,Switch,Current-carrying wire
Which of the following is a source of direct current?,Cell,Generator,Switch,Wire,Cell
Which of the following is a source of alternating current?,AC generator,Battery,Cell,Switch,AC generator
Which of the following is series circuit?,All components in single path,Components in multiple paths,Open circuit,Short circuit,All components in single path
Which of the following is parallel circuit?,Components in multiple paths,Components in single path,Open circuit,Short circuit,Components in multiple paths
Which component limits current in circuit?,Resistor,Wire,Cell,Switch,Resistor
Which device measures electrical energy?,Wattmeter,Ammeter,Voltmeter,Resistor,Wattmeter
Which device converts electrical energy to light?,Bulb,Resistor,Wire,Cell,Bulb
Which device converts electrical energy to motion?,Motor,Bulb,Resistor,Wire,Motor
Which device converts electrical energy to heat?,Heater,Bulb,Wire,Switch,Heater
Which component completes circuit when pressed?,Switch,Resistor,Wire,Cell,Switch
Which component stops flow of electricity?,Switch off,Resistor,Wire,Cell,Switch off
Which is a closed path for current?,Circuit,Circuit breaker,Wire,Switch,Circuit
Which is measured in ohms?,Resistance,Voltage,Current,Power,Resistance
Which is measured in volts?,Voltage,Current,Resistance,Power,Voltage
Which is measured in amperes?,Current,Voltage,Resistance,Power,Current
Which is measured in watts?,Power,Voltage,Current,Resistance,Power
Which of the following is a good conductor?,Silver,Plastic,Rubber,Wood,Silver
Which of the following is a poor conductor?,Wood,Copper,Aluminium,Iron,Wood
Which is used to prevent electric shock?,Insulator,Conductor,Wire,Resistor,Insulator
Which is series connection characteristic?,Same current in all components,Different current,Voltage same,Resistance zero,Same current in all components
Which is parallel connection characteristic?,Voltage same across components,Current same,Different voltage,Resistance zero,Voltage same across components
Which connection reduces overall resistance?,Parallel,Series,Open,Short,Parallel
Which connection increases overall resistance?,Series,Parallel,Open,Short,Series
Which of the following device protects appliances?,Fuse,Switch,Resistor,Wire,Fuse
Which of the following is used to store electric charge?,Capacitor,Resistor,Switch,Wire,Capacitor
Which component controls current?,Resistor,Switch,Battery,Wire,Resistor
Which type of current flows in one direction?,Direct current,Alternating current,Both,None,Direct current
Which type of current reverses direction periodically?,Alternating current,Direct current,Both,None,Alternating current
Which of the following converts AC to DC?,Rectifier,Generator,Cell,Resistor,Rectifier
Which of the following converts DC to AC?,Inverter,Rectifier,Switch,Battery,Inverter
Which of the following circuit is safer at home?,Parallel,Series,Both,None,Parallel
Which of the following is used to indicate current flow?,Ammeter,Voltmeter,Resistor,Wire,Ammeter
Which component stores energy temporarily?,Capacitor,Battery,Resistor,Switch,Capacitor
Which is used in series connection?,Bulbs in same path,Bulbs in separate paths,Wire only,Resistor only,Bulbs in same path
Which is used in parallel connection?,Bulbs in separate paths,Bulbs in same path,Wire only,Resistor only,Bulbs in separate paths
