Question,Option A,Option B,Option C,Option D,Correct Answer
What is the main component of air?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is essential for respiration?,Oxygen,Nitrogen,Carbon dioxide,Helium,Oxygen
Which gas is used in photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is needed by plants for growth?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is most abundant in air?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas supports combustion?,Oxygen,Nitrogen,Carbon dioxide,Helium,Oxygen
Which gas is released during burning?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is lighter than air?,Hydrogen,Oxygen,Nitrogen,Carbon dioxide,Hydrogen
Which gas is essential for balloons to float?,Helium,Oxygen,Nitrogen,Carbon dioxide,Helium
Which gas is harmful in excess?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which instrument measures air pressure?,Barometer,Thermometer,Hygrometer,Anemometer,Barometer
Which instrument measures wind speed?,Anemometer,Barometer,Thermometer,Hygrometer,Anemometer
Which instrument measures humidity?,Hygrometer,Barometer,Anemometer,Thermometer,Hygrometer
Which of the following is a mixture of gases?,Air,Water,Soil,Rock,Air
Which layer of air is closest to Earth?,Troposphere,Stratosphere,Mesosphere,Thermosphere,Troposphere
Which layer of air contains ozone?,Stratosphere,Troposphere,Mesosphere,Thermosphere,Stratosphere
Which layer of air is hot and thin?,Thermosphere,Troposphere,Stratosphere,Mesosphere,Thermosphere
Which phenomenon occurs due to air?,Wind,Gravity,Magnetism,Electricity,Wind
Which is used to demonstrate air pressure?,Glass of water and card,Magnet,Wire,Switch,Glass of water and card
Which component of air is responsible for rusting?,Oxygen,Nitrogen,Carbon dioxide,Helium,Oxygen
Which gas is essential for burning?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Which gas is required by all living beings for survival?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is absorbed by oceans?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is needed for photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is used in fire extinguishers?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is needed for respiration in animals?,Oxygen,Nitrogen,Carbon dioxide,Helium,Oxygen
Which gas makes air breathable?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is used in neon signs?,Neon,Oxygen,Nitrogen,Hydrogen,Neon
Which gas is used in balloons to float?,Helium,Oxygen,Nitrogen,Carbon dioxide,Helium
Which gas is used in welding?,Acetylene,Oxygen,Nitrogen,Helium,Acetylene
Which gas is needed in greenhouse effect?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in respiration?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is essential for plants?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is heavier than air?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is lighter than air?,Hydrogen,Carbon dioxide,Oxygen,Nitrogen,Hydrogen
Which gas is responsible for global warming?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is released by humans during breathing?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in air conditioners?,Freon,Oxygen,Nitrogen,Carbon dioxide,Freon
Which gas is needed for burning fuels?,Oxygen,Nitrogen,Carbon dioxide,Helium,Oxygen
Which gas is used in scuba diving tanks?,Oxygen,Nitrogen,Helium,Carbon dioxide,Oxygen
Which gas is removed by plants at night?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Carbon dioxide
Which gas is removed by plants during day?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Oxygen
Which gas is used in balloons?,Helium,Oxygen,Nitrogen,Carbon dioxide,Helium
Which gas is responsible for air pollution?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is essential for combustion?,Oxygen,Carbon dioxide,Nitrogen,Helium,Oxygen
Which gas is main component of air?,Nitrogen,Oxygen,Carbon dioxide,Helium,Nitrogen
Which gas is absorbed by plants?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is found in ozone layer?,Ozone,Oxygen,Nitrogen,Carbon dioxide,Ozone
Which gas is measured using barometer?,Air pressure,Oxygen,Nitrogen,Carbon dioxide,Air pressure
Which gas is used in fire extinguishers?,Carbon dioxide,Oxygen,Nitrogen,Helium,Carbon dioxide
Which gas is released from burning fossil fuels?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is lighter than oxygen?,Hydrogen,Nitrogen,Carbon dioxide,Oxygen,Hydrogen
Which gas is heavier than nitrogen?,Carbon dioxide,Oxygen,Hydrogen,Nitrogen,Carbon dioxide
Which gas helps in formation of clouds?,Water vapor,Oxygen,Nitrogen,Carbon dioxide,Water vapor
Which gas causes suffocation in closed room?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
