Question,Option A,Option B,Option C,Option D,Correct Answer
What is the environment of an organism called?,Habitat,Food,Water,Shelter,Habitat
Which of these is a terrestrial habitat?,Forest,Pond,River,Lake,Forest
Which of these is an aquatic habitat?,Pond,Desert,Mountain,Forest,Pond
Which habitat has very little water?,Desert,Ocean,River,Swamp,Desert
Which habitat is very cold?,Tundra,Desert,Forest,Grassland,Tundra
Which habitat has many trees?,Forest,Desert,Pond,River,Forest
Which habitat has salt water?,Ocean,Lake,Desert,Forest,Ocean
Which habitat has fresh water?,Pond,Ocean,Desert,Forest,Pond
Which of these is a producer?,Plant,Deer,Lion,Snake,Plant
Which of these is a consumer?,Deer,Tree,Grass,Algae,Deer
Which of these is a herbivore?,Deer,Lion,Snake,Frog,Deer
Which of these is a carnivore?,Lion,Deer,Grass,Algae,Lion
Which of these is an omnivore?,Bear,Lion,Deer,Grass,Bear
Which of these is a decomposer?,Fungus,Lion,Deer,Grass,Fungus
Which of these gives shelter?,Tree,Hut,Rock,All of these,All of these
Which of these provides food?,Plant,Grass,Rice,All of these,All of these
Which of these provides water?,Pond,River,Ocean,All of these,All of these
Which of these is a freshwater animal?,Frog,Shark,Lion,Snake,Frog
Which of these is a saltwater animal?,Shark,Frog,Lion,Deer,Shark
Which of these lives in desert?,Camel,Frog,Fish,Lion,Camel
Which of these lives in ocean?,Whale,Lion,Deer,Snake,Whale
Which of these lives on mountains?,Goat,Whale,Frog,Camel,Goat
Which of these lives in forest?,Tiger,Whale,Shark,Camel,Tiger
Which of these lives in grassland?,Deer,Camel,Shark,Frog,Deer
Which of these is a nocturnal animal?,Owl,Deer,Lion,Frog,Owl
Which of these is diurnal?,Sparrow,Owl,Owl,Lion,Sparrow
Which organism makes its own food?,Plant,Frog,Lion,Deer,Plant
Which organism eats plants?,Herbivore,Carnivore,Omnivore,Decomposer,Herbivore
Which organism eats animals?,Carnivore,Herbivore,Omnivore,Decomposer,Carnivore
Which organism eats both plants and animals?,Omnivore,Herbivore,Carnivore,Decomposer,Omnivore
Which organism decomposes dead matter?,Fungus,Plant,Lion,Deer,Fungus
Which is a micro-organism?,Bacteria,Deer,Lion,Tree,Bacteria
Which is a producer in pond?,Algae,Fish,Frog,Lion,Algae
Which is a consumer in forest?,Deer,Tree,Grass,Algae,Deer
Which is a predator?,Tiger,Deer,Grass,Algae,Tiger
Which is a prey?,Deer,Tiger,Algae,Lion,Deer
Which of these organisms live in groups?,Elephants,Lion,Deer,All of these,All of these
Which organism lives alone?,Tiger,Elephant,Deer,Lion,Tiger
Which of these is aquatic plant?,Hydrilla,Rose,Grass,Tree,Hydrilla
Which of these is terrestrial plant?,Mango,Rose,Grass,Lotus,Mango
Which organism can fly?,Bird,Elephant,Frog,Lion,Bird
Which organism cannot fly?,Elephant,Bird,Frog,Lion,Elephant
Which of these is a scavenger?,Vulture,Lion,Deer,Tiger,Vulture
Which of these is a predator?,Lion,Deer,Grass,Tree,Lion
Which of these is prey for tiger?,Deer,Lion,Elephant,Grass,Deer
Which of these provides oxygen?,Plant,Frog,Lion,Deer,Plant
Which of these provides shelter for birds?,Tree,Rock,Hut,Water,Tree
Which of these lives in water?,Fish,Elephant,Lion,Deer,Fish
Which of these lives on land?,Tiger,Fish,Whale,Shark,Tiger
Which of these is a scavenger in forest?,Vulture,Lion,Deer,Tiger,Vulture
Which of these is herbivore?,Deer,Lion,Tiger,Bear,Deer
Which of these is carnivore?,Lion,Deer,Tiger,Bear,Lion
Which of these is omnivore?,Bear,Lion,Deer,Tiger,Bear
Which organism decomposes dead plants?,Fungus,Lion,Deer,Tiger,Fungus
Which organism decomposes dead animals?,Fungus,Lion,Deer,Tiger,Fungus
