Question,Option A,Option B,Option C,Option D,Correct Answer
Water is essential for?,Life,Air,Soil,Sun,Life
Which is purest form of water?,Distilled,Tap,River,Lake,Distilled
Which state of water has definite shape?,Solid,Liquid,Gas,Plasma,Solid
Which state of water has no definite shape?,Liquid,Gas,Solid,Plasma,Liquid
Water boils at?,100°C,0°C,50°C,90°C,100°C
Water freezes at?,0°C,100°C,50°C,25°C,0°C
Which is a source of fresh water?,River,Sea,Lake,All of these,River
Which is a source of salt water?,Sea,Lake,River,Pond,Sea
Which process changes water to vapor?,Evaporation,Condensation,Freezing,Melting,Evaporation
Which process changes vapor to liquid?,Condensation,Evaporation,Melting,Freezing,Condensation
Water is universal?,Solvent,Solid,Liquid,Gas,Solvent
Which substance dissolves in water?,Sugar,Sand,Oil,Plastic,Sugar
Which substance does not dissolve in water?,Sand,Sugar,Salt,Milk,Sand
Water cycle involves?,Evaporation and condensation,Freezing and melting,Boiling,Heating,Evaporation and condensation
Which process forms clouds?,Condensation,Evaporation,Freezing,Melting,Condensation
Which process forms rain?,Condensation,Evaporation,Freezing,Melting,Condensation
Which is underground water?,Groundwater,River,Sea,Lake,Groundwater
Which source is surface water?,River,Lake,Sea,Pond,River
Water is used in?,Drinking,Cooking,Cleaning,All of these,All of these
Which property of water makes boats float?,Buoyancy,Viscosity,Hardness,Color,Buoyancy
Water expands on?,Freezing,Boiling,Condensation,Evaporation,Freezing
Water changes to ice by?,Freezing,Evaporation,Condensation,Melting,Freezing
Water changes to vapor by?,Evaporation,Freezing,Condensation,Melting,Evaporation
Which is liquid water?,River,Ice,Steam,Snow,River
Which is solid water?,Ice,Steam,River,Lake,Ice
Which is gaseous water?,Steam,Ice,River,Lake,Steam
Which is purest water for lab?,Distilled,Tap,River,Lake,Distilled
Which is used for drinking?,Potable water,River water,Sea water,Salt water,Potable water
Which is contaminated water?,Polluted water,River water,Sea water,Distilled water,Polluted water
Which process makes water safe to drink?,Boiling,Freezing,Evaporation,Melting,Boiling
Which process purifies water in labs?,Distillation,Boiling,Melting,Freezing,Distillation
Water covers how much of Earth?,71%,50%,25%,90%,71%
Which water has salts?,Sea water,Fresh water,Lake water,River water,Sea water
Which water is drinkable?,Fresh water,Sea water,Lake water,River water,Fresh water
Which contains minerals?,Groundwater,Distilled,River,Lake,Groundwater
Which water is used in boilers?,Soft water,Hard water,Sea water,Lake water,Soft water
Which water is hard?,Contains dissolved salts,Distilled water,Fresh water,Tap water,Contains dissolved salts
Which water is soft?,No dissolved salts,Sea water,Lake water,River water,No dissolved salts
Water is important for plants?,Yes,No,Maybe,Sometimes,Yes
Which process gives water to plants?,Transpiration,Photosynthesis,Respiration,Evaporation,Transpiration
Which process returns water to atmosphere?,Evaporation,Condensation,Precipitation,Melting,Evaporation
Which is a renewable source of water?,Rain,Groundwater,Sea,Ice,Rain
Which water is used for irrigation?,Canal water,Sea water,Lake water,Tap water,Canal water
Which water contains salt?,Sea water,Fresh water,Lake water,River water,Sea water
Water is tasteless and?,Odorless,Colorful,Smelly,Colored,Odorless
Which process purifies water naturally?,Filtration,Evaporation,Condensation,Melting,Filtration
Which process causes cloud formation?,Condensation,Evaporation,Freezing,Melting,Condensation
Rainwater harvesting helps?,Store water,Pollute water,Boil water,Destroy water,Store water
Which is potable water source?,Tube well,River,Sea,Lake,Tube well
Water is used in?,Drinking,Cleaning,Industry,All of these,All of these
