Question,Option A,Option B,Option C,Option D,Answer
Which of these is a natural fibre?,Nylon,Polyester,Cotton,Acrylic,Cotton
Which fibre is obtained from sheep?,Cotton,Silk,Wool,Nylon,Wool
Which fibre is obtained from silkworm?,Cotton,Wool,Silk,Polyester,Silk
Which plant gives us cotton fibre?,Cotton plant,Jute plant,Flax plant,Hemp plant,Cotton plant
Which fibre is used to make woollen clothes?,Cotton,Wool,Silk,Nylon,Wool
Which of these is a synthetic fibre?,Cotton,Silk,Nylon,Wool,Nylon
Which fibre keeps us warm?,Cotton,Wool,Jute,Silk,Wool
Which fibre is used to make sarees?,Wool,Cotton,Silk,Nylon,Silk
Which fibre is obtained from plants?,Silk,Wool,Cotton,Nylon,Cotton
Which fibre is obtained from animals?,Cotton,Jute,Wool,Flax,Wool
Which of these is an animal fibre?,Nylon,Polyester,Wool,Rayon,Wool
Which fibre is obtained from jute plant?,Jute,Cotton,Silk,Wool,Jute
Which fibre is used to make gunny bags?,Cotton,Silk,Jute,Nylon,Jute
Which fibre is used in making ropes?,Jute,Silk,Wool,Polyester,Jute
Which fibre is smooth and shiny?,Wool,Cotton,Silk,Jute,Silk
Which of these is not a natural fibre?,Cotton,Wool,Silk,Nylon,Nylon
Which fibre is obtained from cotton bolls?,Cotton,Jute,Silk,Wool,Cotton
Which fibre is obtained from cocoons?,Cotton,Wool,Silk,Jute,Silk
Which fibre is obtained from flax plant?,Jute,Linen,Cotton,Wool,Linen
Which of these is a plant fibre?,Wool,Silk,Jute,Nylon,Jute
Which fibre is used to make sweaters?,Cotton,Wool,Silk,Nylon,Wool
Which fibre is obtained from goat hair?,Cotton,Wool,Silk,Nylon,Wool
Which of these fibres is synthetic?,Rayon,Silk,Cotton,Jute,Rayon
Which fibre is used to make carpets?,Wool,Cotton,Silk,Nylon,Wool
Which fibre is obtained from animals?,Jute,Cotton,Wool,Flax,Wool
Which fibre is light and shiny?,Cotton,Silk,Wool,Jute,Silk
Which fibre is strong and coarse?,Cotton,Wool,Silk,Jute,Jute
Which fibre is obtained from sheep hair?,Cotton,Silk,Wool,Jute,Wool
Which fibre is used to make summer clothes?,Wool,Cotton,Silk,Nylon,Cotton
Which fibre absorbs sweat easily?,Nylon,Cotton,Silk,Wool,Cotton
Which fibre is used to make shawls?,Cotton,Silk,Wool,Jute,Wool
Which of these is a natural fibre?,Acrylic,Nylon,Polyester,Wool,Wool
Which fibre is obtained from plant stems?,Cotton,Jute,Silk,Wool,Jute
Which fibre is obtained from silk moth?,Cotton,Wool,Silk,Nylon,Silk
Which fibre is obtained from plant seeds?,Cotton,Jute,Wool,Silk,Cotton
Which fibre is used to make winter clothes?,Cotton,Silk,Wool,Nylon,Wool
Which fibre is used to make curtains?,Cotton,Silk,Wool,Nylon,Cotton
Which fibre is soft and comfortable?,Jute,Cotton,Wool,Nylon,Cotton
Which fibre is obtained from flax?,Linen,Cotton,Silk,Wool,Linen
Which of these is not obtained from plants?,Cotton,Jute,Flax,Silk,Silk
Which fibre is obtained from animals?,Nylon,Polyester,Wool,Rayon,Wool
Which fibre is obtained from cocoons of insects?,Cotton,Wool,Silk,Jute,Silk
Which fibre is used to make mats?,Cotton,Silk,Jute,Wool,Jute
Which fibre is used for making bags?,Jute,Cotton,Silk,Wool,Jute
Which fibre is obtained from sheep?,Silk,Wool,Cotton,Nylon,Wool
Which fibre is shiny and smooth?,Wool,Cotton,Silk,Jute,Silk
Which fibre is used to make blankets?,Cotton,Wool,Silk,Nylon,Wool
Which of these is a plant fibre?,Silk,Wool,Jute,Nylon,Jute
Which fibre is man-made?,Cotton,Wool,Silk,Polyester,Polyester
