Question,Option A,Option B,Option C,Option D,Correct Answer
What is the habitat of fish?,Water,Land,Air,Desert,Water
What is the habitat of camel?,Desert,Water,Forest,Air,Desert
Which organism lives in water and on land?,Frog,Snake,Eagle,Elephant,Frog
Which organism lives in trees?,Monkey,Fish,Snake,Crab,Monkey
Which of the following is a producer?,Grass,Lion,Tiger,Snake,Grass
Which of the following is a consumer?,Lion,Grass,Sunflower,Algae,Lion
Which of the following is a decomposer?,Fungus,Lion,Grass,Snake,Fungus
Which of the following eats plants?,Herbivore,Carnivore,Omnivore,Decomposer,Herbivore
Which of the following eats meat?,Carnivore,Herbivore,Omnivore,Producer,Carnivore
Which of the following eats both plants and animals?,Omnivore,Herbivore,Carnivore,Producer,Omnivore
Which organism lives in polar regions?,Penguin,Camel,Elephant,Frog,Penguin
Which organism lives in aquatic habitat?,Fish,Elephant,Camel,Snake,Fish
Which organism lives in desert?,Camel,Fish,Monkey,Frog,Camel
Which organism lives in forest?,Elephant,Camel,Fish,Penguin,Elephant
Which of the following is an abiotic component?,Soil,Grass,Lion,Frog,Soil
Which of the following is a biotic component?,Tree,Water,Air,Sun,Tree
Which of the following is a carnivore?,Tiger,Cow,Goat,Sheep,Tiger
Which of the following is an herbivore?,Cow,Tiger,Lion,Snake,Cow
Which of the following is a scavenger?,Vulture,Lion,Elephant,Snake,Vulture
Which of the following is a decomposer?,Bacteria,Fish,Elephant,Snake,Bacteria
Which of the following organisms is nocturnal?,Owl,Lion,Elephant,Cow,Owl
Which organism is diurnal?,Elephant,Snake,Owl,Owl,Elephant
Which organism migrates during winter?,Swan,Lion,Elephant,Snake,Swan
Which of the following is an aquatic plant?,Hydrilla,Grass,Pea,Sunflower,Hydrilla
Which of the following is a terrestrial plant?,Mango,Hydrilla,Water lily,Nymphaea,Mango
Which organism is amphibian?,Frog,Lion,Snake,Elephant,Frog
Which organism is reptile?,Snake,Frog,Lion,Elephant,Snake
Which organism is mammal?,Elephant,Frog,Snake,Fish,Elephant
Which organism is bird?,Parrot,Frog,Elephant,Snake,Parrot
Which organism provides shelter to others?,Tree,Snake,Frog,Elephant,Tree
Which organism provides food to others?,Grass,Lion,Frog,Snake,Grass
Which of the following organisms pollinates flowers?,Bee,Lion,Elephant,Snake,Bee
Which organism disperses seeds?,Bird,Snake,Lion,Elephant,Bird
Which of the following organisms are decomposers?,Fungi,Lion,Elephant,Snake,Fungi
Which of the following organism is omnivore?,Bear,Lion,Cow,Elephant,Bear
Which of the following is a predator?,Tiger,Goat,Grass,Elephant,Tiger
Which of the following is prey?,Deer,Tiger,Lion,Camel,Deer
Which organism depends on sunlight for food?,Grass,Lion,Snake,Elephant,Grass
Which organism depends on plants for food?,Cow,Lion,Frog,Snake,Cow
Which organism depends on other animals for food?,Tiger,Cow,Grass,Pea,Tiger
Which of the following is a food chain producer?,Grass,Lion,Tiger,Snake,Grass
Which of the following is a food chain consumer?,Cow,Grass,Sunlight,Water,Cow
Which of the following is a decomposer in food chain?,Fungi,Grass,Cow,Lion,Fungi
Which of the following is a part of ecosystem?,Biotic components,Abiotic components,All of these,None,All of these
Which is a terrestrial habitat?,Forest,Lake,River,Ocean,Forest
Which is an aquatic habitat?,Pond,Desert,Forest,Grassland,Pond
Which of the following organisms live in desert?,Camel,Lion,Frog,Elephant,Camel
Which of the following organisms live in ocean?,Fish,Lion,Elephant,Camel,Fish
Which organism lives in freshwater?,Frog,Snake,Camel,Lion,Frog
Which organism lives in saltwater?,Shark,Elephant,Camel,Frog,Shark
Which of the following is a keystone species?,Bee,Lion,Grass,Snake,Bee
Which organism provides oxygen?,Grass,Lion,Elephant,Snake,Grass
Which of the following is a producer in ecosystem?,Grass,Lion,Snake,Elephant,Grass
Which of the following is a consumer in ecosystem?,Tiger,Grass,Sunlight,Water,Tiger
Which of the following is abiotic factor?,Water,Lion,Elephant,Grass,Water
Which of the following is biotic factor?,Grass,Water,Sunlight,Soil,Grass
