Question,Option A,Option B,Option C,Option D,Correct Answer
Garbage is also called?,Waste,Water,Air,Food,Waste
Which is biodegradable?,Fruit peels,Plastic,Glass,Metal,Fruit peels
Which is non-biodegradable?,Plastic,Vegetable peels,Paper,Fruit peels,Plastic
Which garbage can rot?,Food waste,Plastic,Glass,Metal,Food waste
Which garbage cannot rot?,Plastic,Vegetable,Paper,Fruit peels,Plastic
Segregation of waste means?,Separating waste,Collecting all together,Burning waste,Burying waste,Separating waste
Which waste is collected separately?,Wet and dry,Only wet,Only dry,Only paper,Wet and dry
Composting helps in?,Making manure,Pollution,Smell,Air pollution,Making manure
Which waste is used in compost?,Wet waste,Dry waste,Plastic,Metal,Wet waste
Which waste pollutes soil?,Chemical waste,Food waste,Paper peels,Vegetable peels,Chemical waste
Which waste pollutes water?,Plastic,Food waste,Leaves,Vegetable peels,Plastic
Which waste pollutes air?,Smoke,Food,Leaves,Paper,Smoke
Which method reduces waste?,Recycling,Burning,Throwing,All of these,Recycling
Which waste is reused?,Paper,Plastic,Metal,All of these,All of these
Which waste is recycled?,Plastic,Paper,Metal,All of these,All of these
Which waste is dumped in landfill?,Non-biodegradable,Biodegradable,Wet waste,Fruit peels,Non-biodegradable
Which waste is thrown in river?,Plastic,Food waste,Paper,Vegetable peels,Plastic
Which waste causes health problems?,Garbage,Water,Air,Soil,Garbage
Which is dry waste?,Plastic,Food,Leaves,Fruit peels,Plastic
Which is wet waste?,Food,Plastic,Glass,Metal,Food
Which waste can be used to make biogas?,Wet waste,Dry waste,Plastic,Metal,Wet waste
Which waste can be burned for energy?,Dry waste,Wet waste,Food,Vegetable peels,Dry waste
Segregation helps in?,Recycling,Pollution,Burning,Throwing,Recycling
Which waste is hazardous?,Chemical waste,Food waste,Paper,Vegetable peels,Chemical waste
Which waste pollutes environment?,Non-biodegradable,Biodegradable,Wet,Dry,Non-biodegradable
Which helps reduce garbage?,Recycling,Throwing,Dumping,Burning,Recycling
Composting produces?,Manure,Garbage,Smoke,Plastic,Manure
Which waste is collected in blue bin?,Dry waste,Wet waste,Plastic,Food,Blue bin: Dry waste
Which waste is collected in green bin?,Wet waste,Dry waste,Plastic,Paper,Green bin: Wet waste
Which waste is reusable?,Plastic,Biodegradable,Food peels,Leaves,Plastic
Which waste is recyclable?,Paper,Plastic,Metal,All of these,All of these
Which is harmful to environment?,Plastic,Vegetable peels,Leaves,Food waste,Plastic
Which can be reduced by using cloth bags?,Plastic,Food waste,Paper,Metal,Plastic
Which type of waste is electronic?,E-waste,Plastic,Food,Paper,E-waste
Which is biodegradable waste?,Vegetable peels,Plastic,Metal,Glass,Vegetable peels
Which is non-biodegradable waste?,Glass,Vegetable peels,Food,Leaves,Glass
Which waste can be incinerated?,Plastic,Food waste,Leaves,Vegetable peels,Plastic
Which waste pollutes water bodies?,Plastic,Food,Leaves,Vegetable peels,Plastic
Which method reduces solid waste?,Recycling,Throwing,Burying,Burning,Recycling
Which bin is used for recyclable waste?,Blue,Green,Red,Yellow,Blue
Which bin is used for wet waste?,Green,Blue,Red,Yellow,Green
Which helps reduce landfill?,Segregation,Throwing,Dumping,Burning,Segregation
Which is e-waste?,Old mobile,Plastic,Paper,Food,Old mobile
Which is chemical waste?,Pesticides,Plastic,Paper,Food,Pesticides
Which is sanitary waste?,Used tissues,Plastic,Metal,Glass,Used tissues
Which is hazardous w
