Question,Option A,Option B,Option C,Option D,Answer
Which part of plant absorbs water?,Root,Stem,Leaf,Flower,Root
Which part of plant makes food?,Leaf,Root,Stem,Flower,Leaf
Which part of plant supports it?,Root,Stem,Leaf,Flower,Stem
Which part of plant helps in reproduction?,Flower,Root,Stem,Leaf,Flower
Which part stores food?,Root,Stem,Leaf,Flower,Root
Which part of plant is underground?,Root,Stem,Leaf,Flower,Root
Which part of plant is green and flat?,Leaf,Stem,Root,Flower,Leaf
Which part of plant carries water?,Stem,Leaf,Root,Flower,Stem
Which part attracts insects for pollination?,Flower,Leaf,Stem,Root,Flower
Which part of plant holds it upright?,Root,Stem,Leaf,Flower,Stem
Which part of plant is involved in photosynthesis?,Leaf,Root,Stem,Flower,Leaf
Which part of plant absorbs minerals?,Root,Stem,Leaf,Flower,Root
Which part of plant bears seeds?,Fruit,Leaf,Stem,Root,Fruit
Which part protects the plant?,Root,Leaf,Thorns,Flower,Thorns
Which part of plant stores starch?,Stem,Root,Leaf,Flower,Stem
Which part of plant transports food?,Leaf,Stem,Root,Flower,Stem
Which part of plant grows towards sunlight?,Leaf,Root,Stem,Flower,Stem
Which part of plant grows into soil?,Root,Stem,Leaf,Flower,Root
Which part is colorful to attract pollinators?,Flower,Leaf,Stem,Root,Flower
Which part of plant holds flowers?,Stem,Leaf,Root,Flower,Stem
Which part of plant supports leaves?,Stem,Root,Leaf,Flower,Stem
Which part carries sap?,Stem,Leaf,Root,Flower,Stem
Which part grows below the ground?,Root,Stem,Leaf,Flower,Root
Which part stores water in cactus?,Leaf,Root,Stem,Flower,Stem
Which part of plant protects from herbivores?,Thorns,Leaf,Stem,Root,Thorns
Which part of plant is eaten by animals?,Fruit,Leaf,Root,Stem,Fruit
Which part produces seeds?,Flower,Root,Stem,Leaf,Flower
Which part of plant is edible?,Root,Stem,Leaf,Fruit,All of these,All of these
Which part of plant helps in gas exchange?,Leaf,Root,Stem,Flower,Leaf
Which part absorbs sunlight?,Leaf,Root,Stem,Flower,Leaf
Which part is involved in transpiration?,Leaf,Root,Stem,Flower,Leaf
Which part of plant helps in reproduction?,Flower,Leaf,Stem,Root,Flower
Which part produces nectar?,Flower,Leaf,Stem,Root,Flower
Which part helps in climbing of plants?,Stem,Leaf,Root,Flower,Stem
Which part of plant holds soil?,Root,Stem,Leaf,Flower,Root
Which part stores nutrients?,Root,Stem,Leaf,Flower,Root
Which part protects young buds?,Leaf,Stem,Flower,Sepal,Sepal
Which part develops into fruit?,Flower,Leaf,Stem,Root,Flower
Which part absorbs carbon dioxide?,Leaf,Root,Stem,Flower,Leaf
Which part grows above ground?,Stem,Root,Leaf,Flower,Stem
Which part of plant is green and performs photosynthesis?,Leaf,Stem,Root,Flower,Leaf
Which part supports the plant body?,Stem,Root,Leaf,Flower,Stem
Which part helps in vegetative propagation?,Stem,Leaf,Root,Flower,Stem
Which part produces pollen?,Flower,Leaf,Stem,Root,Flower
Which part stores food underground?,Root,Stem,Leaf,Flower,Root
Which part of plant is soft and green?,Stem,Root,Leaf,Flower,Stem
Which part of plant protects reproductive organs?,Sepal,Leaf,Stem,Root,Sepal
Which part develops into seeds?,Flower,Leaf,Stem,Root,Flower
Which part of plant conducts water?,Stem,Root,Leaf,Flower,Stem
Which part supports flowers and leaves?,Stem,Root,Leaf,Flower,Stem
Which part is important for plant growth?,Root,Stem,Leaf,Flower,All of these,All of these
Which part of plant carries out photosynthesis?,Leaf,Root,Stem,Flower,Leaf
Which part of plant produces seeds?,Flower,Leaf,Stem,Root,Flower
Which part of plant stores starch?,Root,Leaf,Stem,Flower,Root
