Question,Option A,Option B,Option C,Option D,Answer
Which method is used to separate sand from water?,Filtration,Evaporation,Decantation,Condensation,Filtration
Which method is used to remove impurities from water?,Filtration,Evaporation,Decantation,Condensation,Filtration
Which method is used to separate oil from water?,Decantation,Filtration,Evaporation,Distillation,Decantation
Which method is used to separate salt from water?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which method is used to separate grains from husk?,Winnowing,Filtration,Evaporation,Decantation,Winnowing
Which method is used to separate soluble and insoluble substances?,Filtration,Evaporation,Decantation,Condensation,Filtration
Which method is used to separate mixture of salt and sand?,Filtration,Evaporation,Decantation,Handpicking,Filtration
Which method is used to separate cotton seeds from cotton?,Handpicking,Winnowing,Filtration,Evaporation,Handpicking
Which method is used to separate mixture of two liquids with different boiling points?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to separate tea leaves from tea?,Filtration,Evaporation,Decantation,Condensation,Filtration
Which method is used to remove mud from water?,Decantation,Filtration,Evaporation,Centrifugation,Decantation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to separate mixture of salt and water?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate husk from rice?,Winnowing,Filtration,Decantation,Evaporation,Winnowing
Which method is used to remove stones from wheat?,Handpicking,Winnowing,Filtration,Decantation,Handpicking
Which method is used to separate water from sugar solution?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate mixture of sand and salt?,Filtration,Decantation,Evaporation,Condensation,Filtration
Which method is used to separate oil from water?,Decantation,Filtration,Evaporation,Distillation,Decantation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to separate leaves from water?,Filtration,Decantation,Evaporation,Condensation,Filtration
Which method is used to separate sugar from water?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate mixture of two liquids?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to remove stones from pulses?,Handpicking,Filtration,Decantation,Evaporation,Handpicking
Which method is used to remove husk from grains?,Winnowing,Filtration,Decantation,Evaporation,Winnowing
Which method is used to separate insoluble solids from liquids?,Filtration,Evaporation,Decantation,Condensation,Filtration
Which method is used to separate cream from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to remove mud from water?,Decantation,Filtration,Evaporation,Condensation,Decantation
Which method is used to separate sand from water?,Filtration,Decantation,Evaporation,Centrifugation,Filtration
Which method is used to separate sugar from water?,Evaporation,Filtration,Decantation,Distillation,Evaporation
Which method is used to separate mixture of liquids?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to separate oil and water?,Decantation,Filtration,Evaporation,Condensation,Decantation
Which method is used to remove solid impurities from liquids?,Filtration,Decantation,Evaporation,Condensation,Filtration
Which method is used to separate salt from seawater?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate husk from wheat?,Winnowing,Handpicking,Filtration,Evaporation,Winnowing
Which method is used to separate cream from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to remove stones from pulses?,Handpicking,Winnowing,Filtration,Decantation,Handpicking
Which method is used to separate mixture of salt and sand?,Filtration,Decantation,Evaporation,Handpicking,Filtration
Which method is used to remove leaves from water?,Filtration,Decantation,Evaporation,Condensation,Filtration
Which method is used to separate sugar from water?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to remove mud from water?,Decantation,Filtration,Evaporation,Condensation,Decantation
Which method is used to separate mixture of two liquids?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to separate sand from water?,Filtration,Decantation,Evaporation,Centrifugation,Filtration
Which method is used to remove husk from grains?,Winnowing,Filtration,Decantation,Evaporation,Winnowing
Which method is used to separate insoluble solids from liquids?,Filtration,Evaporation,Decantation,Condensation,Filtration
Which method is used to separate oil from water?,Decantation,Filtration,Evaporation,Distillation,Decantation
Which method is used to separate mixture of salt and water?,Evaporation,Filtration,Decantation,Condensation,Evaporation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to remove stones from pulses?,Handpicking,Winnowing,Filtration,Decantation,Handpicking
Which method is used to separate sugar from water?,Evaporation,Filtration,Decantation,Distillation,Evaporation
