Question,Option A,Option B,Option C,Option D,Correct Answer
Food comes from which two main sources?,Plants and animals,Plants and water,Animals and air,Soil and water,Plants and animals
Milk is obtained from?,Cow,Hen,Plant,Tree,Cow
Which of the following is a plant product?,Rice,Milk,Egg,Meat,Rice
Egg is obtained from?,Hen,Goat,Plant,Tree,Hen
Honey is collected from?,Beehive,Cow shed,Field,Tree,Bees
Which part of plant do we eat as carrot?,Root,Stem,Leaf,Flower,Root
Which part of plant is potato?,Root,Stem,Leaf,Fruit,Stem
Which of these is a fruit?,Apple,Carrot,Potato,Spinach,Apple
Spinach is which part of plant?,Leaf,Root,Stem,Flower,Leaf
Which part of plant is cauliflower?,Flower,Root,Stem,Leaf,Flower
Pulses are obtained from?,Seeds,Roots,Leaves,Flowers,Seeds
Which food item is obtained from animals?,Milk,Rice,Wheat,Spinach,Milk
Which of these is a cereal?,Wheat,Potato,Carrot,Spinach,Wheat
Which of these is a vegetable?,Carrot,Rice,Milk,Egg,Carrot
Which of these comes from plants?,Sugar,Milk,Egg,Meat,Sugar
Which animal gives us wool?,Sheep,Cow,Hen,Goat,Sheep
Which food item comes from sugarcane?,Sugar,Milk,Butter,Cheese,Sugar
Which of the following is a herbivore?,Cow,Lion,Tiger,Dog,Cow
Which animal gives us eggs?,Hen,Cow,Goat,Sheep,Hen
Which of these is a root vegetable?,Radish,Potato,Onion,Spinach,Radish
Which food is made from milk?,Butter,Rice,Bread,Apple,Butter
Which of these is obtained from plants?,Oil,Meat,Egg,Fish,Oil
Which part of plant is onion?,Stem,Root,Leaf,Flower,Stem
Which food item is from animals?,Cheese,Rice,Wheat,Potato,Cheese
Which is a source of protein?,Pulses,Sugar,Oil,Water,Pulses
Which of these is a seed?,Peas,Carrot,Potato,Spinach,Peas
Which of these is an edible stem?,Potato,Carrot,Apple,Leaf,Potato
Which part of plant is tomato?,Fruit,Root,Stem,Leaf,Fruit
Which food comes from animals?,Meat,Bread,Rice,Wheat,Meat
Which of these is a leafy vegetable?,Spinach,Potato,Onion,Carrot,Spinach
Which animal gives us milk?,Buffalo,Hen,Dog,Cat,Buffalo
Which is not a plant product?,Milk,Rice,Wheat,Fruits,Milk
Which food is obtained from wheat?,Bread,Milk,Egg,Butter,Bread
Which of these is a cereal crop?,Rice,Potato,Carrot,Onion,Rice
Which food comes from honey bees?,Honey,Milk,Butter,Cheese,Honey
Which of these is an animal product?,Egg,Apple,Rice,Potato,Egg
Which part of plant is sugarcane?,Stem,Root,Leaf,Flower,Stem
Which of these is a fruit?,Banana,Potato,Spinach,Carrot,Banana
Which of these is a vegetable?,Brinjal,Apple,Mango,Banana,Brinjal
Which animal gives us meat?,Goat,Cow,Hen,All of these,All of these
Which of these is obtained from plants?,Tea,Milk,Egg,Fish,Tea
Which part of plant is wheat grain?,Seed,Root,Stem,Leaf,Seed
Which food comes from animals?,Curd,Rice,Wheat,Vegetables,Curd
Which is a plant source of oil?,Mustard,Cow,Hen,Sheep,Mustard
Which of these is a plant food?,Vegetables,Meat,Egg,Fish,Vegetables
Which food is obtained from animals?,Butter,Rice,Apple,Potato,Butter
Which of these is a plant product?,Fruits,Milk,Meat,Egg,Fruits
Which of these comes from animals?,Wool,Cotton,Jute,Flax,Wool
Which is an edible root?,Carrot,Spinach,Potato,Onion,Carrot
