Question,Option A,Option B,Option C,Option D,Answer
What is garbage?,Waste material,Food,Water,Air,Waste material
Which is biodegradable waste?,Vegetable peels,Plastic,Glass,Metal,Vegetable peels
Which is non-biodegradable waste?,Plastic,Paper,Food,Leaves,Plastic
Which waste can be decomposed by microbes?,Biodegradable,Non-biodegradable,Hazardous,All,Biodegradable
Which waste is harmful to environment?,Non-biodegradable,Biodegradable,Organic,Green,Non-biodegradable
Which method is used to treat biodegradable waste?,Composting,Burning,Landfill,Recycling,Composting
Which method is used to reduce non-biodegradable waste?,Recycling,Composting,Burning,Landfill,Recycling
Which waste should not be thrown in river?,Plastic,Biodegradable,Biodegradable food,Leaves,Plastic
Which waste can be recycled?,Plastic,Metal,Paper,All of these,All of these
Which waste is hazardous?,Batteries,Paper,Leaves,Vegetables,Batteries
Which waste can be converted into manure?,Vegetable peels,Plastic,Glass,Metal,Vegetable peels
Which is an example of e-waste?,Old mobile,Paper,Leaves,Food,Old mobile
Which is not biodegradable?,Glass,Food,Leaves,Vegetable peels,Glass
Which waste is harmful to animals?,Plastic,Vegetables,Leaves,Paper,Plastic
Which waste can be reused?,Glass bottle,Food,Leaves,Vegetables,Glass bottle
Which is hazardous waste?,Chemical waste,Food,Leaves,Paper,Chemical waste
Which waste can be converted into compost?,Vegetable peels,Plastic,Glass,Metal,Vegetable peels
Which is non-biodegradable?,Plastic,Biodegradable,Leaves,Food,Plastic
Which is biodegradable?,Food,Plastic,Metal,Glass,Food
Which can pollute soil?,Plastic,Vegetable peels,Leaves,Food,Plastic
Which can pollute water?,Plastic,Vegetable peels,Leaves,Food,Plastic
Which can pollute air?,Burning plastic,Vegetable peels,Leaves,Food,Burning plastic
Which is example of solid waste?,Paper,Air,Water,Sunlight,Paper
Which is example of liquid waste?,Sewage,Paper,Metal,Plastic,Sewage
Which is example of e-waste?,Old computer,Paper,Leaves,Vegetable peels,Old computer
Which waste is harmful to humans?,Hazardous waste,Biodegradable waste,Green waste,Organic waste,Hazardous waste
Which is method to reduce waste?,Recycling,Throwing in river,Burning in air,Burying in field,Recycling
Which is method to treat biodegradable waste?,Composting,Recycling,Burning,Landfill,Composting
Which is method to treat non-biodegradable waste?,Recycling,Composting,Burning,All,Recycling
Which waste can be reused?,Glass bottle,Food,Leaves,Vegetables,Glass bottle
Which waste can be recycled?,Plastic,Metal,Paper,All of these,All of these
Which waste is hazardous?,Batteries,Chemical waste,Old medicines,All of these,All of these
Which is biodegradable?,Vegetable peels,Plastic,Metal,Glass,Vegetable peels
Which is non-biodegradable?,Plastic,Food,Leaves,Vegetable peels,Plastic
Which waste harms soil?,Plastic,Food,Leaves,Vegetable peels,Plastic
Which waste harms water?,Plastic,Food,Leaves,Vegetable peels,Plastic
Which waste harms air?,Burning plastic,Vegetable peels,Leaves,Food,Burning plastic
Which is example of solid waste?,Paper,Water,Air,Sunlight,Paper
Which is example of liquid waste?,Sewage,Paper,Metal,Plastic,Sewage
Which is example of e-waste?,Old mobile,Paper,Leaves,Vegetables,Old mobile
Which is method to treat biodegradable waste?,Composting,Recycling,Burning,Landfill,Composting
Which is method to treat non-biodegradable waste?,Recycling,Composting,Burning,All,Recycling
Which waste can be reused?,Glass bottle,Food,Leaves,Vegetables,Glass bottle
Which waste can be recycled?,Plastic,Metal,Paper,All of these,All of these
Which waste is hazardous?,Batteries,Chemical waste,Old medicines,All of these,All of these
Which is biodegradable?,Vegetable peels,Plastic,Metal,Glass,Vegetable peels
Which is non-biodegradable?,Plastic,Food,Leaves,Vegetable peels,Plastic
Which can pollute soil?,Plastic,Vegetable peels,Leaves,Food,Plastic
Which can pollute water?,Plastic,Vegetable peels,Leaves,Food,Plastic
Which can pollute air?,Burning plastic,Vegetable peels,Leaves,Food,Burning plastic
Which can be converted into manure?,Vegetable peels,Plastic,Glass,Metal,Vegetable peels
Which can harm animals?,Plastic,Vegetable peels,Leaves,Food,Plastic
