Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is a physical change?,Melting of ice,Rusting of iron,Burning of wood,Cooking an egg,Melting of ice
Which of the following is a chemical change?,Rusting of iron,Melting of ice,Boiling water,Chopping wood,Rusting of iron
Which of the following changes is reversible?,Freezing of water,Burning of paper,Rusting of iron,Cooking an egg,Freezing of water
Which of the following changes is irreversible?,Melting of ice,Freezing of water,Rusting of iron,Condensation of water,Rusting of iron
Boiling of water is an example of?,Physical change,Chemical change,Reversible change,Irreversible change,Physical change
Which of the following is a change in state of matter?,Melting of wax,Rusting of iron,Burning of candle,Cooking an egg,Melting of wax
Which of the following produces new substances?,Burning of paper,Melting of ice,Boiling water,Condensation,Burning of paper
Which of the following is a physical change in food?,Cutting vegetables,Cooking rice,Frying egg,Rusting iron,Cutting vegetables
Which of the following is a chemical change in food?,Ripening of fruit,Fermentation,Boiling milk,Cutting apple,Fermentation
Which of the following is caused by mixing vinegar and baking soda?,Physical change,Chemical change,Reversible change,None of these,Chemical change
Which of the following is an example of oxidation?,Rusting of iron,Melting of wax,Boiling water,Cutting paper,Rusting of iron
Which of the following is a sign of chemical change?,Change in colour,Change in shape,Change in size,Change in state,Change in colour
Which of the following is an example of reversible change?,Dissolving sugar in water,Burning wood,Rusting iron,Cooking egg,Dissolving sugar in water
Which of the following is an irreversible change?,Freezing of water,Dissolving salt in water,Boiling water,Baking cake,Baking cake
Which of the following produces heat and light?,Burning of candle,Melting ice,Boiling water,Cutting paper,Burning of candle
Which of the following change can be undone?,Melting of ice,Rusting of iron,Cooking rice,Burning paper,Melting of ice
Which of the following is a physical change in daily life?,Breaking glass,Cooking rice,Rusting nail,Burning paper,Breaking glass
Which of the following is a chemical change in daily life?,Cooking food,Melting ice,Condensation,Freezing water,Cooking food
Which of the following is a reversible chemical change?,Dissolving salt in water,Burning paper,Rusting iron,Cooking egg,Dissolving salt in water
Which of the following is irreversible?,Freezing water,Dissolving sugar,Boiling water,Rusting iron,Rusting iron
Which of the following change produces gas?,Vinegar and baking soda,Melting ice,Freezing water,Cutting paper,Vinegar and baking soda
Which of the following is a physical change in metal?,Cutting aluminium foil,Rusting iron,Cooking egg,Burning paper,Cutting aluminium foil
Which of the following is a chemical change in metal?,Rusting of iron,Melting aluminium,Boiling water,Cutting foil,Rusting of iron
Which of the following is an endothermic change?,Melting ice,Burning paper,Combustion,Respiration,Melting ice
Which of the following is an exothermic change?,Burning wood,Melting ice,Boiling water,Cutting paper,Burning wood
Which of the following changes is seen when milk turns sour?,Physical,Chemical,Reversible,Irreversible,Chemical
Which of the following is a physical change in air?,Expansion on heating,Combustion,Rusting,Cooking,Expansion on heating
Which of the following is a chemical change in air?,Combustion,Expansion,Condensation,Freezing,Combustion
Which of the following is reversible?,Boiling water,Rusting of iron,Burning paper,Cooking egg,Boiling water
Which of the following is irreversible?,Melting ice,Dissolving sugar in water,Condensation,Rusting of iron,Rusting of iron
Which of the following change does not produce new substance?,Boiling water,Burning paper,Rusting nail,Cooking egg,Boiling water
Which of the following is a chemical change in daily life?,Ripening of fruit,Melting ice,Freezing water,Boiling water,Ripening of fruit
Which of the following change is reversible in daily life?,Dissolving sugar in water,Boiling egg,Cooking food,Rusting nail,Dissolving sugar in water
Which of the following change is irreversible in daily life?,Baking cake,Melting ice,Dissolving salt,Boiling water,Baking cake
Which of the following produces sound during change?,Burning wood,Boiling water,Melting wax,Cutting paper,Burning wood
Which of the following is a sign of chemical change?,Change in temperature,Change in shape,Change in size,Change in state,Change in temperature
Which of the following is a sign of physical change?,Change in shape,Change in colour,Gas formation,Precipitate formation,Change in shape
Which of the following is an example of chemical change in daily life?,Cooking rice,Melting ice,Freezing water,Breaking glass,Cooking rice
Which of the following is a physical change in daily life?,Ice melting,Paper burning,Rusting nail,Cooking egg,Ice melting
Which of the following is irreversible chemical change?,Rusting nail,Melting ice,Boiling water,Dissolving salt,Rusting nail
Which of the following is a physical change?,Folding paper,Boiling egg,Rusting iron,Cooking meat,Folding paper
Which of the following produces light?,Burning candle,Melting ice,Freezing water,Cutting paper,Burning candle
Which change produces gas and bubbles?,Baking soda and vinegar,Melting ice,Freezing water,Cutting wood,Baking soda and vinegar
Which of the following changes is used in industry to produce new compounds?,Chemical reaction,Melting,Boiling,Dissolving,Chemical reaction
Which of the following change is used in making curd?,Physical change,Chemical change,Reversible change,None,Chemical change
Which of the following is a physical change in plant?,Wilting of leaves,Photosynthesis,Rusting,Cooking egg,Wilting of leaves
Which of the following is irreversible in plant?,Wilting of leaves,Photosynthesis,Rusting,Cooking egg,Photosynthesis
Which of the following is a chemical change in plant?,Ripening of fruit,Wilting leaves,Melting wax,Cutting flower,Ripening of fruit
Which of the following is a physical change in plant?,Cutting stem,Ripening fruit,Wilting leaves,Cooking plant,Cutting stem
Which of the following change is reversible?,Melting wax,Ripening fruit,Cooking egg,Burning paper,Melting wax
Which of the following change is irreversible?,Ripening fruit,Melting wax,Dissolving salt,Boiling water,Ripening fruit
