Question,Option A,Option B,Option C,Option D,Correct Answer
Air is a?,Mixture of gases,Liquid,Solid,Plasma,Mixture of gases
Air is essential for?,Breathing,Swimming,Digging,Walking,Breathing
Which gas is needed for respiration?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas plants use for photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is most abundant in air?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is released during respiration?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Air occupies?,Space,Water,Land,Rock,Space
Air has?,Mass,Color,Taste,Shape,Mass
Which gas is needed for burning?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Which gas causes suffocation?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Air is?,Invisible,Visible,Colored,Opaque,Invisible
Wind is caused by?,Movement of air,Sunlight,Rain,Friction,Movement of air
Air exerts?,Pressure,Weight,Color,Shape,Pressure
Which instrument measures wind speed?,Anemometer,Barometer,Thermometer,Hygrometer,Anemometer
Air contains?,Nitrogen,Oxygen,Carbon dioxide,All of these,All of these
Which gas is essential for plants?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is essential for humans?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Which gas is heavier than air?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is lighter than air?,Hydrogen,Oxygen,Carbon dioxide,Nitrogen,Hydrogen
Air is needed for?,Breathing,Photosynthesis,Combustion,All of these,All of these
Which gas causes fire to burn?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Air has?,Mass,Volume,Pressure,All of these,All of these
Which instrument measures air pressure?,Barometer,Anemometer,Thermometer,Hygrometer,Barometer
Which instrument measures wind direction?,Wind vane,Barometer,Anemometer,Thermometer,Wind vane
Which instrument measures humidity?,Hygrometer,Anemometer,Barometer,Thermometer,Hygrometer
Air pollution is caused by?,Smoke,Gases,Dust,All of these,All of these
Which gas is harmful in excess?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is produced by plants at night?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is present in air in small amount?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Air pollution affects?,Health,Plants,Animals,All of these,All of these
Air can be polluted by?,Factories,Vehicles,Smoke,All of these,All of these
Which layer of air is closest to Earth?,Troposphere,Stratosphere,Mesosphere,Thermosphere,Troposphere
Which layer protects from UV rays?,Stratosphere,Troposphere,Mesosphere,Thermosphere,Stratosphere
Which layer is hottest?,Thermosphere,Stratosphere,Mesosphere,Troposphere,Thermosphere
Which layer has weather phenomena?,Troposphere,Stratosphere,Mesosphere,Thermosphere,Troposphere
Which gas helps in greenhouse effect?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in balloons?,Hydrogen,Carbon dioxide,Oxygen,Nitrogen,Hydrogen
Air helps in?,Sound travel,Breathing,Wind,All of these,All of these
Which gas is used in photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in respiration?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Air is a mixture of?,Nitrogen,Oxygen,Other gases,All of these,All of these
Which gas is used in fire extinguishers?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Air has?,Weight,Mass,Pressure,All of these,All of these
Which gas is used in breathing?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Air moves from?,High pressure to low pressure,Low to high pressure,Randomly,Stationary,High pressure to low pressure
Air can be polluted by?,Smoke,Exhaust,Industrial waste,All of these,All of these
Which gas is part of air but not visible?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Air supports?,Life,Combustion,Wind,All of these,All of these
Air occupies?,Space,Water,Rock,Land,Space
Air exerts?,Pressure,Weight,Volume,Shape,Pressure
Which gas is essential for combustion?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Which gas is recycled by plants and animals?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Wind direction is shown by?,Wind vane,Anemometer,Barometer,Thermometer,Wind vane
Air pressure is measured in?,Pascal,Newton,Joule,Watt,Pascal
Which gas is harmful for environment?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
