Question,Option A,Option B,Option C,Option D,Answer
Which part of magnet has strongest force?,Pole,Middle,Edge,Tip,Pole
What are ends of magnet called?,Poles,Middle,Edges,Tips,Poles
Which pole of magnet attracts north pole of another magnet?,South,N,S,N,S,South
Which pole of magnet attracts south pole of another magnet?,North,South,N,S,N,North
Which magnet loses magnetism easily?,Temporary,Permanent,Artificial,All,Temporary
Which magnet keeps magnetism for long?,Permanent,Temporary,Artificial,All,Permanent
Which of these is a magnetic material?,Iron,Copper,Wood,Plastic,Iron
Which of these is non-magnetic?,Wood,Iron,Steel,Nickel,Wood
Which magnet is used in electric bell?,Permanent,Temporary,Bar,All,Permanent
Which magnet can be made by electricity?,Electromagnet,Temporary,Permanent,All,Electromagnet
Which of these is strongest magnet?,Bar,Temporary,Electromagnet,Permanent,Electromagnet
Which part of compass points north?,Needle,Box,Case,Magnet,Needle
Which pole of compass points north?,North,South,Magnet,Needle,North
Which material is attracted by magnet?,Iron,Wood,Plastic,Copper,Iron
Which material is not attracted by magnet?,Plastic,Iron,Steel,Nickel,Plastic
Which magnet can be switched on and off?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which is temporary magnet?,Soft iron bar,Bar,Electromagnet,Permanent,Soft iron bar
Which is permanent magnet?,Bar,Permanent,Electromagnet,Temporary,Bar
Which of these is used in doorbell?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which of these is used in motor?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which pole of magnet repels same pole?,Like,Opposite,All,None,Like
Which pole attracts opposite pole?,Opposite,Like,All,None,Opposite
Which of these is artificial magnet?,Bar,Permanent,Electromagnet,Temporary,Electromagnet
Which magnet is made of steel?,Bar,Permanent,Electromagnet,Temporary,Bar
Which of these is temporary magnet?,Soft iron,Bar,Electromagnet,Permanent,Soft iron
Which magnet can be made by electric current?,Electromagnet,Bar,Permanent,Temporary,Electromagnet
Which of these is magnetic material?,Nickel,Wood,Plastic,Copper,Nickel
Which of these is non-magnetic material?,Plastic,Iron,Steel,Nickel,Plastic
Which magnet can be switched on or off?,Electromagnet,Bar,Permanent,Temporary,Electromagnet
Which is strongest type of magnet?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which of these is used in compass?,Magnet,Wood,Plastic,Wire,Magnet
Which magnet loses magnetism quickly?,Temporary,Electromagnet,Permanent,Bar,Temporary
Which magnet retains magnetism long?,Permanent,Temporary,Electromagnet,Bar,Permanent
Which material is strongly attracted by magnet?,Iron,Copper,Plastic,Wood,Iron
Which material is weakly attracted by magnet?,Steel,Iron,Wood,Plastic,Steel
Which material is not attracted by magnet?,Plastic,Iron,Steel,Nickel,Plastic
Which pole of magnet attracts opposite pole?,Opposite,Like,All,None,Opposite
Which pole repels same pole?,Like,Opposite,All,None,Like
Which magnet is made of soft iron?,Temporary,Permanent,Electromagnet,Bar,Temporary
Which magnet is made of steel?,Permanent,Temporary,Electromagnet,Soft iron,Permanent
Which magnet can be made by electricity?,Electromagnet,Permanent,Temporary,Bar,Electromagnet
Which of these is used in motor?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which of these is used in doorbell?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which magnet can be switched on and off?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which magnet loses magnetism quickly?,Temporary,Electromagnet,Permanent,Bar,Temporary
Which magnet retains magnetism long?,Permanent,Temporary,Electromagnet,Bar,Permanent
Which of these materials is magnetic?,Iron,Copper,Wood,Plastic,Iron
Which of these materials is non-magnetic?,Plastic,Iron,Steel,Nickel,Plastic
Which magnet is strongest?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which magnet has north and south poles?,All magnets,Temporary,Permanent,Electromagnet,All magnets
Which magnet is used in electric bell?,Electromagnet,Bar,Temporary,Permanent,Electromagnet
Which magnet is temporary?,Soft iron,Bar,Electromagnet,Permanent,Soft iron
Which magnet is permanent?,Bar,Permanent,Electromagnet,Temporary,Bar
