Question,Option A,Option B,Option C,Option D,Correct Answer
What is an electric circuit?,Path for current,Path for water,Path for air,Path for light,Path for current
Which is a conductor of electricity?,Copper,Wood,Plastic,Rubber,Copper
Which is an insulator?,Rubber,Copper,Aluminium,Iron,Rubber
Which device controls flow of electricity?,Switch,Bulb,Battery,Wire,Switch
Which device produces light?,Bulb,Switch,Battery,Wire,Bulb
Which device stores electricity?,Battery,Bulb,Wire,Switch,Battery
Which is negative terminal of battery?,Flat end,Round end,Top end,Middle end,Flat end
Which is positive terminal of battery?,Round end,Flat end,Top end,Middle end,Round end
Current flows from?,Positive to Negative,Negative to Positive,Left to Right,Right to Left,Positive to Negative
Which is needed to complete a circuit?,Wire,Switch,Bulb,All of these,All of these
Which part of circuit carries current?,Wire,Bulb,Switch,Battery,Wire
Which circuit does not work?,Open circuit,Closed circuit,Short circuit,Series circuit,Open circuit
Which circuit works?,Closed circuit,Open circuit,Short circuit,Broken circuit,Closed circuit
Which circuit has only one path?,Series circuit,Parallel circuit,Open circuit,Closed circuit,Series circuit
Which circuit has multiple paths?,Parallel circuit,Series circuit,Open circuit,Closed circuit,Parallel circuit
Which device protects from excess current?,Fuse,Switch,Bulb,Wire,Fuse
Which metal is commonly used in wires?,Copper,Aluminium,Iron,Steel,Copper
Which material is poor conductor?,Plastic,Copper,Iron,Aluminium,Plastic
Which is used to switch on/off circuit?,Switch,Bulb,Battery,Wire,Switch
Which is unit of electric current?,Ampere,Volt,Ohm,Watt,Ampere
Which measures current?,Ammeter,Voltmeter,Ohmmeter,Watmeter,Ammeter
Which measures voltage?,Voltmeter,Ammeter,Ohmmeter,Watmeter,Voltmeter
Which measures resistance?,Ohmmeter,Voltmeter,Ammeter,Watmeter,Ohmmeter
Which is the source of electricity in circuit?,Battery,Bulb,Wire,Switch,Battery
Which is live wire in circuit?,Red,Black,Green,Blue,Red
Which is neutral wire in circuit?,Black,Red,Green,Blue,Black
Which is earth wire?,Green,Red,Black,Blue,Green
Which protects from electric shock?,Earth wire,Live wire,Neutral wire,Fuse,Earth wire
Which wire carries current to appliance?,Live wire,Neutral wire,Earth wire,Fuse,Live wire
Which wire carries current back from appliance?,Neutral wire,Live wire,Earth wire,Fuse,Neutral wire
Which wire is for safety?,Earth wire,Live wire,Neutral wire,Fuse,Earth wire
What is used to light a bulb?,Current,Voltage,Resistance,Switch,Current
Which device can break circuit?,Switch,Fuse,Bulb,Battery,Switch
Which is an example of insulator?,Wood,Aluminium,Copper,Iron,Wood
Which is example of conductor?,Copper,Rubber,Plastic,Glass,Copper
Which is short circuit?,Current bypasses load,Normal current flow,No current,Excess voltage,Current bypasses load
Which is series connection?,Appliances connected one after another,All appliances together,Parallel connection,No connection,Appliances connected one after another
Which is parallel connection?,Appliances connected on multiple paths,One after another,Series connection,No connection,Appliances connected on multiple paths
Fuse protects appliance from?,Excess current,Excess voltage,Low current,Low voltage,Excess current
Which is used to join wires?,Connector,Switch,Bulb,Battery,Connector
Which is common in homes?,Parallel connection,Series connection,Open circuit,Broken circuit,Parallel connection
Which is safer?,Parallel connection,Series connection,Open circuit,Broken circuit,Parallel connection
Which is voltage unit?,Volt,Ampere,Ohm,Watt,Volt
Which is resistance unit?,Ohm,Volt,Ampere,Watt,Ohm
Which is current unit?,Ampere,Volt,Ohm,Watt,Ampere
Which is power unit?,Watt,Volt,Ampere,Ohm,Watt
Which wire is usually colored red?,Live,Neutral,Earth,Ground,Live
Which wire is usually colored black?,Neutral,Live,Earth,Ground,Neutral
Which wire is usually colored green?,Earth,Live,Neutral,Ground,Earth
Electric current flows due to?,Potential difference,Resistance,Voltage drop,All of these,Potential difference
Which protects entire circuit?,Main fuse,Appliance fuse,Switch,Bulb,Main fuse
Which is used in bulbs?,Filament,Wire,Switch,Battery,Filament
Which device indicates current?,Ammeter,Voltmeter,Ohmmeter,Watmeter,Ammeter
