Question,Option A,Option B,Option C,Option D,Correct Answer
Motion is a change in?,Position,Colour,Shape,Size,Position
Which is uniform motion?,Car moving at constant speed,Car stopping,Swinging pendulum,Person walking slowly,Car moving at constant speed
Which is non-uniform motion?,Car accelerating,Car moving at constant speed,Car parked,Person standing still,Car accelerating
Which instrument is used to measure length?,Ruler,Clock,Weight scale,Thermometer,Ruler
Which unit is used to measure distance?,Meter,Liter,Kilogram,Second,Meter
Which instrument is used to measure long distances?,Odometer,Ruler,Clock,Weight scale,Odometer
Which unit is used to measure mass?,Kilogram,Meter,Liter,Second,Kilogram
Which unit is used to measure time?,Second,Meter,Kilogram,Liter,Second
Which is used to measure short lengths?,Ruler,Odometer,Clock,Weight scale,Ruler
Which is used to measure long lengths?,Measuring tape,Ruler,Clock,Weight scale,Measuring tape
The SI unit of length is?,Meter,Liter,Kilogram,Second,Meter
The SI unit of mass is?,Kilogram,Meter,Liter,Second,Kilogram
The SI unit of time is?,Second,Meter,Liter,Kilogram,Second
Which measures distance travelled by vehicle?,Odometer,Ruler,Clock,Weight scale,Odometer
Which measures distance between two points?,Meter scale,Clock,Weight scale,Ruler,Meter scale
Which measures short distance?,Ruler,Odometer,Measuring tape,Clock,Ruler
Which measures very long distance?,Odometer,Ruler,Measuring tape,Clock,Odometer
Which instrument measures curved distance?,Measuring tape,Ruler,Clock,Weight scale,Measuring tape
Which instrument measures straight distance?,Ruler,Measuring tape,Clock,Weight scale,Ruler
Motion is caused by?,Force,Mass,Length,Time,Force
Which is circular motion?,Wheel turning,Car moving straight,Swinging pendulum,Person walking,Wheel turning
Which is linear motion?,Car moving straight,Wheel turning,Swinging pendulum,Person spinning,Car moving straight
Which is periodic motion?,Pendulum swinging,Car moving straight,Car parked,Person standing still,Pendulum swinging
Which is rectilinear motion?,Car moving straight,Wheel turning,Pendulum swinging,Person running,Car moving straight
Which is rotational motion?,Wheel turning,Car moving straight,Person running,Pendulum swinging,Wheel turning
Which instrument measures motion?,Odometer,Ruler,Clock,Weight scale,Odometer
Which instrument measures speed?,Speedometer,Ruler,Odometer,Clock,Speedometer
Which instrument measures time?,Clock,Speedometer,Ruler,Odometer,Clock
Which unit measures speed?,m/s,kilogram,meter,liter,m/s
Which unit measures distance?,Meter,Liter,Kilogram,Second,Meter
Which is non-uniform motion?,Car accelerating,Car moving at constant speed,Car parked,Person standing still,Car accelerating
Which is uniform motion?,Car moving at constant speed,Car accelerating,Person standing still,Car parked,Car moving at constant speed
Which instrument measures long distances?,Odometer,Ruler,Clock,Weight scale,Odometer
Which instrument measures very short distances?,Vernier calipers,Ruler,Measuring tape,Clock,Vernier calipers
Which instrument measures curved distance?,Measuring tape,Ruler,Clock,Weight scale,Measuring tape
Which measures displacement?,Ruler,Odometer,Measuring tape,Clock,Ruler
Which is distance covered along path?,Distance,Displacement,Length,Time,Distance
Which is shortest distance between two points?,Displacement,Distance,Length,Time,Displacement
Which measures distance travelled by wheel?,Odometer,Ruler,Clock,Weight scale,Odometer
Which measures small distances accurately?,Vernier calipers,Ruler,Measuring tape,Clock,Vernier calipers
Which measures very long distances?,Odometer,Ruler,Clock,Weight scale,Odometer
Which is scalar quantity?,Distance,Displacement,Force,Velocity,Distance
Which is vector quantity?,Displacement,Distance,Time,Mass,Displacement
Which instrument measures distance in vehicle?,Odometer,Ruler,Clock,Weight scale,Odometer
Which measures distance in building?,Measuring tape,Ruler,Clock,Weight scale,Measuring tape
Which unit measures length?,Meter,Liter,Kilogram,Second,Meter
Which unit measures mass?,Kilogram,Meter,Liter,Second,Kilogram
Which unit measures time?,Second,Meter,Liter,Kilogram,Second
Which unit measures speed?,m/s,kilogram,meter,liter,m/s
Which motion repeats after fixed time?,Periodic motion,Linear motion,Circular motion,Rotational motion,Periodic motion
Which motion follows straight line?,Linear motion,Circular motion,Rotational motion,Periodic motion,Linear motion
Which motion follows circle?,Circular motion,Linear motion,Periodic motion,Rotational motion,Circular motion
Which motion rotates about axis?,Rotational motion,Linear motion,Circular motion,Periodic motion,Rotational motion
Which measures very small distances precisely?,Vernier calipers,Ruler,Measuring tape,Clock,Vernier calipers
