Question,Option A,Option B,Option C,Option D,Answer
Which type of joint allows bending and straightening?,Hinge Joint,Ball and Socket Joint,Pivot Joint,Fixed Joint,Hinge Joint
Which joint allows rotation of head?,Pivot Joint,Hinge Joint,Ball and Socket Joint,Fixed Joint,Pivot Joint
Which joint is found in shoulder?,Ball and Socket Joint,Hinge Joint,Pivot Joint,Fixed Joint,Ball and Socket Joint
Which joint is found in elbow?,Hinge Joint,Ball and Socket Joint,Pivot Joint,Fixed Joint,Hinge Joint
Which joint does not allow movement?,Fixed Joint,Hinge Joint,Ball and Socket Joint,Pivot Joint,Fixed Joint
Which joint allows movement in all directions?,Ball and Socket Joint,Hinge Joint,Pivot Joint,Fixed Joint,Ball and Socket Joint
Which type of joint is in knee?,Hinge Joint,Ball and Socket Joint,Pivot Joint,Fixed Joint,Hinge Joint
Which joint allows bending but no rotation?,Hinge Joint,Pivot Joint,Ball and Socket Joint,Fixed Joint,Hinge Joint
Which joint is found between skull bones?,Fixed Joint,Hinge Joint,Ball and Socket Joint,Pivot Joint,Fixed Joint
Which joint allows turning of head from side to side?,Pivot Joint,Hinge Joint,Ball and Socket Joint,Fixed Joint,Pivot Joint
Which part connects bones together?,Ligament,Tendon,Cartilage,Muscle,Ligament
Which connects muscle to bone?,Tendon,Ligament,Cartilage,Bone,Tendon
Which protects bones from friction?,Cartilage,Ligament,Tendon,Muscle,Cartilage
Which type of muscle is voluntary?,Skeletal,Cardiac,Smooth,Involuntary,Skeletal
Which muscle is involuntary?,Cardiac,Skeletal,Smooth,All of these,Smooth
Which muscle pumps blood?,Cardiac,Skeletal,Smooth,Voluntary,Cardiac
Which muscles are attached to bones?,Skeletal,Cardiac,Smooth,Involuntary,Skeletal
Which type of joint is in hip?,Ball and Socket,Hinge,Pivot,Fixed,Ball and Socket
Which joint allows movement like swinging?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which part covers the ends of bones?,Cartilage,Ligament,Tendon,Muscle,Cartilage
Which connects bone to bone?,Ligament,Tendon,Muscle,Cartilage,Ligament
Which joint is in neck?,Pivot,Hinge,Ball and Socket,Fixed,Pivot
Which muscle is voluntary?,Skeletal,Cardiac,Smooth,Involuntary,Skeletal
Which muscle is found in heart?,Cardiac,Skeletal,Smooth,Voluntary,Cardiac
Which muscle is non-striated?,Smooth,Skeletal,Cardiac,Voluntary,Smooth
Which joint allows side to side movement?,Ball and Socket,Hinge,Pivot,Fixed,Ball and Socket
Which joint is immovable?,Fixed,Hinge,Ball and Socket,Pivot,Fixed
Which joint is in fingers?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which joint is in wrist?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which joint allows rotational movement?,Pivot,Hinge,Ball and Socket,Fixed,Pivot
Which joint allows swinging movement?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which muscles help in movement?,Skeletal,Cardiac,Smooth,All muscles,Skeletal
Which joint is in ankle?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which joint is in thumb?,Saddle,Hinge,Pivot,Ball and Socket,Saddle
Which joint is in skull?,Fixed,Hinge,Ball and Socket,Pivot,Fixed
Which type of muscle is voluntary?,Skeletal,Cardiac,Smooth,Involuntary,Skeletal
Which muscle pumps blood?,Cardiac,Skeletal,Smooth,Voluntary,Cardiac
Which muscle is in digestive system?,Smooth,Skeletal,Cardiac,Voluntary,Smooth
Which protects bones from friction?,Cartilage,Ligament,Tendon,Muscle,Cartilage
Which connects bones to muscles?,Tendon,Ligament,Cartilage,Muscle,Tendon
Which connects bones to bones?,Ligament,Tendon,Cartilage,Muscle,Ligament
Which joint allows bending and straightening?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which joint is in shoulder?,Ball and Socket,Hinge,Pivot,Fixed,Ball and Socket
Which joint allows turning head side to side?,Pivot,Hinge,Ball and Socket,Fixed,Pivot
Which joint is found in hip?,Ball and Socket,Hinge,Pivot,Fixed,Ball and Socket
Which joint is immovable?,Fixed,Hinge,Ball and Socket,Pivot,Fixed
Which joint is in elbow?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which joint allows all directions of movement?,Ball and Socket,Hinge,Pivot,Fixed,Ball and Socket
Which joint is in knee?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which type of muscle is non-striated?,Smooth,Skeletal,Cardiac,Voluntary,Smooth
Which muscle is involuntary?,Smooth,Cardiac,Skeletal,Voluntary,Smooth
Which joint is in fingers?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which joint is in wrist?,Hinge,Ball and Socket,Pivot,Fixed,Hinge
Which connects bone to bone?,Ligament,Tendon,Cartilage,Muscle,Ligament
