Question,Option A,Option B,Option C,Option D,Correct Answer
Which of the following is a correct plant source–product pair?,Milk–Cow,Curd–Buffalo,Mustard oil–Mustard seeds,Butter–Cow,Mustard oil–Mustard seeds
Which food item is obtained from a single plant but processed into multiple products?,Wheat,Apple,Milk,Egg,Wheat
Which of the following is NOT directly obtained from plants?,Rice,Potato,Sugar,Butter,Butter
Honey is produced by bees using nectar collected from?,Leaves,Roots,Flowers,Stems,Flowers
Which part of the plant is mainly used to obtain sugar?,Root,Stem,Leaf,Flower,Stem
Which of the following foods is obtained from animals and then processed further?,Milk,Carrot,Wheat,Spinach,Milk
Which of the following groups contains only plant products?,Rice, milk, honey,Wheat, rice, apple,Egg, fish, milk,Bread, butter, cheese,Wheat, rice, apple
Which of the following is an example of edible stem?,Carrot,Potato,Sugarcane,Spinach,Sugarcane
Which of the following food items is obtained from an animal but not from milk?,Curd,Butter,Cheese,Egg,Egg
Which plant part do we eat in the case of carrot?,Leaf,Stem,Root,Flower,Root
Which of the following statements is correct?,All food comes from animals,All food comes from plants,Food comes from plants and animals,Food comes only from fruits,Food comes from plants and animals
Which of the following is a cereal crop?,Wheat,Gram,Pea,Mustard,Wheat
Which food product is obtained after processing milk?,Rice,Butter,Apple,Banana,Butter
Which part of plant is eaten in the case of cabbage?,Root,Stem,Leaf,Flower,Leaf
Which of the following pairs is correctly matched?,Potato–Root,Carrot–Stem,Spinach–Leaf,Apple–Root,Spinach–Leaf
Which of the following is a product of animals used as food?,Cotton,Wool,Milk,Jute,Milk
Which of the following is an oil-yielding plant?,Rice,Wheat,Mustard,Gram,Mustard
Which of the following is obtained from sugarcane?,Salt,Sugar,Oil,Butter,Sugar
Which food item comes from both plant and animal sources in different forms?,Milk,Rice,Bread,Cheese,Bread
Which of the following is a pulse?,Wheat,Rice,Gram,Maize,Gram
Which of the following foods is NOT eaten raw?,Apple,Carrot (sometimes),Milk,Salad leaves,Milk
Which of the following animals gives us wool?,Cow,Sheep,Hen,Goat,Sheep
Which part of the plant do we eat in onion?,Root,Stem,Leaf,Flower,Stem
Which of the following is a milk product?,Curd,Rice,Apple,Spinach,Curd
Which of the following is a plant product used as a beverage?,Milk,Tea,Coffee,Both B and C,Both B and C
Which food item is obtained from the seeds of plants?,Wheat,Rice,Gram,All of these,All of these
Which of the following is obtained from animals?,Honey,Milk,Curd,All of these,All of these
Which is the correct source of ghee?,Milk,Butter,Curd,Paneer,Butter
Which of the following plant parts is eaten in cauliflower?,Leaf,Stem,Flower,Root,Flower
Which one is an example of food from both plant and animal sources?,Ice cream,Apple,Rice,Spinach,Ice cream
Which of the following is obtained from fruits?,Sugar,Oil,Juice,Butter,Juice
Which of the following is NOT a plant product?,Wheat,Rice,Egg,Potato,Egg
Which is the correct pair?,Carrot–Root,Potato–Stem,Spinach–Leaf,All of these,All of these
Which food item is obtained from an animal but used in plant-based cooking?,Milk,Butter,Honey,Egg,Honey
Which of the following is a spice obtained from plant seeds?,Coriander,Wheat,Rice,Potato,Coriander
Which part of the plant is eaten in ginger?,Root,Stem,Leaf,Flower,Stem
Which food item comes from underground stem?,Carrot,Potato,Radish,Beetroot,Potato
Which of the following is obtained from flowering part?,Cauliflower,Spinach,Carrot,Potato,Cauliflower
Which of the following statements is true?,All food is eaten raw,Some food needs cooking,All food is cooked,Plants do not give food,Some food needs cooking
Which of the following is an animal food product rich in protein?,Milk,Rice,Potato,Apple,Milk
Which is an example of a leafy vegetable?,Spinach,Potato,Carrot,Onion,Spinach
Which of the following is obtained from grains?,Bread,Butter,Milk,Egg,Bread
Which food item is derived from fermentation?,Curd,Apple,Rice,Milk,Curd
Which of the following is not directly eaten?,Sugarcane,Milk,Wheat grains,Apple,Sugarcane
Which part of wheat plant is eaten?,Root,Leaf,Seed,Stem,Seed
Which food product comes from coconut?,Oil,Butter,Cheese,Curd,Oil
Which of the following is obtained from animals but used as sweetener?,Honey,Sugar,Jagguery,Glucose,Honey
Which is the correct classification?,Rice–cereal,Gram–pulse,Mustard–oilseed,All of these,All of these
Which of the following foods comes from both plants and animals indirectly?,Bread,Butter,Milk,Curd,Bread
