Question,Option A,Option B,Option C,Option D,Answer
What is air mostly made of?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is essential for breathing?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is used by plants for photosynthesis?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is harmful in excess?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is needed for combustion?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is invisible?,All gases,Nitrogen,Carbon dioxide,Hydrogen,All gases
Which gas is abundant in air?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is needed for life?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is used in fire extinguishers?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in balloons?,Helium,Oxygen,Nitrogen,Carbon dioxide,Helium
Which gas is used in air conditioning?,Nitrogen,Oxygen,Carbon dioxide,Freon,Freon
Which gas supports burning?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is measured by oxygen meter?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is used in soda drinks?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is lightest?,Hydrogen,Oxygen,Nitrogen,Carbon dioxide,Hydrogen
Which gas is used in welding?,Acetylene,Oxygen,Nitrogen,Carbon dioxide,Acetylene
Which gas is used in lamps?,Hydrogen,Oxygen,Nitrogen,Carbon dioxide,Hydrogen
Which gas is used in airbags?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is produced during respiration?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is produced by burning fuel?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is essential for plants?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is found in lungs?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Which gas is used in breathing apparatus?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is in small amount in air?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is odorless?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,All gases listed are odorless
Which gas is tasteless?,Oxygen,Nitrogen,Carbon dioxide,All,All gases listed are tasteless
Which gas supports life?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas makes air breathable?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is used in fire extinguishing?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in air balloons?,Helium,Oxygen,Nitrogen,Carbon dioxide,Helium
Which gas is major component of air?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is minor component of air?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,Carbon dioxide
Which gas is needed for burning?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is produced by plants?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is used in welding?,Acetylene,Oxygen,Nitrogen,Carbon dioxide,Acetylene
Which gas is used in lamps?,Hydrogen,Oxygen,Nitrogen,Carbon dioxide,Hydrogen
Which gas is present in lungs?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is harmful if inhaled in excess?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in soda?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is lightest?,Hydrogen,Oxygen,Nitrogen,Carbon dioxide,Hydrogen
Which gas is in air in largest amount?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is used in airbags?,Nitrogen,Oxygen,Carbon dioxide,Hydrogen,Nitrogen
Which gas is essential for respiration?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is produced during respiration?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in welding?,Acetylene,Oxygen,Nitrogen,Carbon dioxide,Acetylene
Which gas is used in fire extinguishers?,Carbon dioxide,Oxygen,Nitrogen,Hydrogen,Carbon dioxide
Which gas is used in balloons?,Helium,Oxygen,Nitrogen,Carbon dioxide,Helium
Which gas is found in oceans and lakes?,Oxygen,Carbon dioxide,Nitrogen,Hydrogen,Oxygen
Which gas supports combustion?,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Oxygen
Which gas is in minor amount in air?,Carbon dioxide,Nitrogen,Oxygen,Hydrogen,Carbon dioxide
Which gas is tasteless and colorless?,Oxygen,Nitrogen,Carbon dioxide,All,All gases listed
