Question,Option A,Option B,Option C,Option D,Correct Answer
Which part of magnet is strongest?,Pole,Middle,Edge,All same,Pole
Like poles of magnets?,Repel,Attract,Neutral,Disappear,Repel
Unlike poles of magnets?,Attract,Repel,Neutral,Disappear,Attract
Which metal is strongly attracted by magnet?,Iron,Aluminium,Copper,Wood,Iron
Which metal is weakly attracted by magnet?,Steel,Aluminium,Copper,Wood,Steel
Magnet attracts which materials?,Iron and steel,Copper and aluminium,Wood and plastic,All metals,Iron and steel
Which part of magnet is weaker?,Middle,Pole,Edge,Tip,Middle
Which shape of magnet is bar?,Long and straight,Disc,U-shaped,Ring,Long and straight
Which shape of magnet is horseshoe?,U-shaped,Bar,Disc,Ring,U-shaped
Which magnet has strongest poles together?,Horseshoe,Bar,Disc,Ring,Horseshoe
Compass needle points to?,North,South,East,West,North
Compass works due to?,Earth’s magnetism,Sun’s heat,Wind,Gravity,Earth’s magnetism
Magnet attracts nails due to?,Magnetic force,Electric force,Gravity,Friction,Magnetic force
Which magnet can lift heavy object?,Electromagnet,Bar,Disc,Horseshoe,Electromagnet
Magnet loses magnetism by?,Heating,Cooling,Freezing,Stretching,Heating
Which is temporary magnet?,Iron piece near magnet,Bar magnet,Earth,All metals,Iron piece near magnet
Which is permanent magnet?,Bar magnet,Horseshoe magnet,Electromagnet,Soft iron,Bar magnet
Magnet repels?,Like pole,Unlike pole,All objects,Non-metal,Like pole
Magnet attracts?,Unlike pole,Like pole,Non-metal,All objects,Unlike pole
Which material is non-magnetic?,Wood,Iron,Nickel,Cobalt,Wood
Which material is magnetic?,Nickel,Wood,Plastic,Glass,Nickel
Which magnet is circular?,Ring,Bar,Horseshoe,Disc,Ring
Which magnet is flat and round?,Disc,Bar,Horseshoe,Ring,Disc
Which magnet is used in crane?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Which magnet is temporary?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Which force pulls magnetic materials?,Magnetic force,Electric force,Gravity,Friction,Magnetic force
Which magnet can be switched on/off?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Earth behaves like?,Big magnet,Electric generator,Water source,Gravity,Big magnet
Magnet attracts?,Iron nails,Wooden stick,Plastic,Paper,Iron nails
Magnet attracts?,Steel pins,Copper wire,Aluminium foil,Plastic,Steel pins
Which magnet is strongest?,Horseshoe,Bar,Disc,Ring,Horseshoe
Which magnet is used in compass?,Small bar magnet,Large bar,Horseshoe,Ring,Small bar magnet
Poles of magnet?,North and South,East and West,Up and Down,Left and Right,North and South
Magnet has?,Two poles,Three poles,Four poles,No poles,Two poles
Magnet attracts?,Only ferromagnetic metals,All metals,Plastic,Wood,Only ferromagnetic metals
Like poles?,Repel each other,Attract each other,Neutral,Disappear,Repel each other
Unlike poles?,Attract each other,Repel each other,Neutral,Disappear,Attract each other
Which part of bar magnet attracts most?,Ends,Pole,Middle,Center,Ends
Which is soft magnet?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Which magnet is permanent?,Bar magnet,Horseshoe,Electromagnet,Soft iron,Bar magnet
Which is temporary magnet?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Magnet exerts force?,Without touching,By touching,Through water,Through air,Without touching
Which material is attracted weakly?,Steel,Iron,Nickel,Cobalt,Steel
Magnetism lost by?,Heating,Cooling,Freezing,Stretching,Heating
Magnet attracts?,Only metals,All objects,Paper,Plastic,Only metals
Magnet used in crane?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Which magnet can lift heavy weights?,Electromagnet,Bar,Horseshoe,Ring,Electromagnet
Magnet is used in compass to?,Find direction,Lift weight,Make sound,Measure distance,Find direction
Magnet attracts nails due to?,Magnetic force,Electric force,Gravity,Friction,Magnetic force
Magnet can attract?,Iron,Copper,Plastic,Wood,Iron
Poles of magnet are?,North and South,East and West,Up and Down,Left and Right,North and South
Magnet exerts force?,Without contact,Only by contact,Only in water,Only on wood,Without contact
