Question,Option A,Option B,Option C,Option D,Correct Answer
What is the chemical formula of water?,H2O,CO2,O2,H2,H2O
Which state of water has fixed volume but no fixed shape?,Liquid,Solid,Gas,Plasma,Liquid
Which state of water has neither fixed shape nor fixed volume?,Gas,Liquid,Solid,Plasma,Gas
Which process converts water into vapor?,Evaporation,Condensation,Freezing,Melting,Evaporation
Which process converts water vapor into liquid?,Condensation,Evaporation,Melting,Freezing,Condensation
Which process converts ice to water?,Melting,Freezing,Condensation,Evaporation,Melting
Which process converts water to ice?,Freezing,Melting,Condensation,Evaporation,Freezing
Which of the following is a natural source of fresh water?,Rain,River,Ocean,Sewage,River
Which of the following is a source of salt water?,Ocean,Lake,River,Pond,Ocean
Which device is used to measure rainfall?,Rain gauge,Thermometer,Barometer,Hygrometer,Rain gauge
Which of the following is responsible for water cycle?,Sun,Wind,Earth,Plants,Sun
Which process returns water from land to atmosphere?,Evaporation,Condensation,Freezing,Melting,Evaporation
Which process returns water from atmosphere to land?,Precipitation,Evaporation,Freezing,Melting,Precipitation
Which of the following is a contaminant of water?,Bacteria,Sand,Gravel,Rocks,Bacteria
Which of the following purifies water?,Filtration,Condensation,Evaporation,Melting,Filtration
Which of the following is a method to obtain potable water?,Boiling,Filtering,Evaporation,All of these,All of these
Which of the following is a renewable source of water?,Rain,River,Glacier,Ocean,Rain
Which method removes dissolved salts from water?,Distillation,Filtration,Evaporation,Melting,Distillation
Which of the following is hard water?,Water with dissolved calcium,Distilled water,River water,Rain water,Water with dissolved calcium
Which of the following is soft water?,Rain water,Hard water,River water,Sea water,Rain water
Which of the following is used to store water at home?,Tank,Reservoir,River,Lake,Tank
Which process removes suspended particles from water?,Filtration,Distillation,Condensation,Evaporation,Filtration
Which process removes dissolved substances from water?,Distillation,Filtration,Condensation,Evaporation,Distillation
Which of the following water sources is underground?,Aquifer,Lake,River,Ocean,Aquifer
Which water source flows naturally on surface?,River,Well,Aquifer,Lake,River
Which process causes water to move from soil to plants?,Transpiration,Condensation,Evaporation,Precipitation,Transpiration
Which process releases water vapor from plants?,Transpiration,Condensation,Evaporation,Precipitation,Transpiration
Which process releases water from oceans to atmosphere?,Evaporation,Condensation,Freezing,Melting,Evaporation
Which phenomenon causes rain?,Condensation of water vapor,Evaporation of ice,Freezing of water,Melting of ice,Condensation of water vapor
Which of the following is a human activity polluting water?,Dumping waste,Planting trees,Cleaning ponds,All of these,Dumping waste
Which of the following is used for water conservation?,Rainwater harvesting,Pollution,Waste dumping,All of these,Rainwater harvesting
Which of the following is saltwater?,Sea,Well,Lake,River,Sea
Which of the following is freshwater?,River,Sea,Lake,Oceans,River
Which process changes liquid water into ice?,Freezing,Evaporation,Condensation,Melting,Freezing
Which process changes ice into water vapor?,Sublimation,Evaporation,Condensation,Melting,Sublimation
Which process changes water vapor into ice?,Deposition,Condensation,Evaporation,Melting,Deposition
Which of the following contains maximum water?,Ocean,River,Lake,Well,Ocean
Which of the following contains minimum water?,Desert,Ocean,Lake,River,Desert
Which of the following is potable water?,Boiled water,Sea water,River water,Lake water,Boiled water
Which of the following is obtained by desalination?,Fresh water from sea water,Potable water from rain,River water,Lake water,Fresh water from sea water
Which of the following is used to separate solid impurities from water?,Filtration,Distillation,Evaporation,Freezing,Filtration
Which of the following is used to separate dissolved salts from water?,Distillation,Filtration,Evaporation,Freezing,Distillation
Which water source is stored in dams?,Reservoir,River,Ocean,Well,Reservoir
Which of the following is a method to make water safe to drink?,Boiling,Distillation,Filtration,All of these,All of these
Which of the following process cleans water naturally?,Evaporation,Condensation,Filtration,Precipitation,Filtration
Which water source is found under ground?,Well,Lake,River,Ocean,Well
Which is used to measure water level in rivers?,Gauge,Ruler,Stopwatch,Odometer,Gauge
Which of the following causes water pollution?,Chemicals,Bacteria,Plastic,All of these,All of these
Which of the following is used to conserve water?,Rainwater harvesting,Dumping waste,Overuse,Pollution,Rainwater harvesting
Which process forms clouds?,Condensation,Evaporation,Precipitation,Transpiration,Condensation
Which process releases water vapor from leaves?,Transpiration,Evaporation,Condensation,Precipitation,Transpiration
Which process forms dew?,Condensation,Evaporation,Precipitation,Transpiration,Condensation
Which of the following is used to remove microbes from water?,Boiling,Distillation,Filtration,All of these,Boiling
