Question,Option A,Option B,Option C,Option D,Correct Answer
Which part of the plant makes food?,Leaf,Root,Stem,Flower,Leaf
Which part of the plant absorbs water?,Root,Leaf,Stem,Flower,Root
Which part of the plant supports it?,Stem,Root,Leaf,Flower,Stem
Which part of the plant contains seeds?,Fruit,Leaf,Stem,Root,Fruit
Which plant part is usually underground?,Root,Leaf,Stem,Flower,Root
Which plant part is green and flat?,Leaf,Root,Stem,Flower,Leaf
Which plant part contains xylem and phloem?,Stem,Leaf,Root,Flower,Stem
Which plant part helps in reproduction?,Flower,Root,Stem,Leaf,Flower
Which plant part stores food?,Root,Leaf,Stem,Flower,Root
Which plant part protects the seed?,Seed coat,Leaf,Stem,Flower,Seed coat
Which of these is a flowering plant?,Rose,Grass,Moss,Fern,Rose
Which of these is a non-flowering plant?,Fern,Rose,Mango,Sunflower,Fern
Which plant is called the “King of Plants”?,Banyan,Mango,Rose,Grass,Banyan
Which plant grows on rocks?,Moss,Banyan,Sunflower,Grass,Moss
Which plant is used to make jute fibre?,Jute plant,Cotton,Silk,Wheat,Jute plant
Which plant produces oxygen?,All plants,Animals,Humans,Insects,All plants
Which plant part is modified for climbing?,Stem,Root,Leaf,Flower,Stem
Which plant part is modified for storage?,Root,Stem,Leaf,Flower,Root
Which plant has needle-like leaves?,Pine,Rose,Mango,Banyan,Pine
Which plant produces fruits?,Flowering plants,Non-flowering plants,Ferns,Moss,Flowering plants
Which plant has underground stems?,Ginger,Cucumber,Rose,Mango,Ginger
Which part of plant carries food?,Phloem,Xylem,Leaf,Flower,Phloem
Which part of plant carries water?,Xylem,Phloem,Leaf,Flower,Xylem
Which plant reproduces by spores?,Fern,Mango,Rose,Banyan,Fern
Which plant reproduces by seeds?,Sunflower,Fern,Moss,Liverwort,Sunflower
Which plant has aerial roots?,Banyan,Mango,Rose,Sunflower,Banyan
Which plant produces flowers?,Rose,Fern,Moss,Liverwort,Rose
Which part of plant contains chlorophyll?,Leaf,Root,Stem,Flower,Leaf
Which plant has fibrous roots?,Grass,Banyan,Rose,Mango,Grass
Which plant has tap roots?,Carrot,Grass,Strawberry,Moss,Carrot
Which plant grows in water?,Lotus,Rose,Sunflower,Banyan,Lotus
Which plant grows in deserts?,Cactus,Rose,Banyan,Grass,Cactus
Which plant stores water in leaves?,Aloe vera,Rose,Sunflower,Grass,Aloe vera
Which plant has thorns?,Rose,Banyan,Sunflower,Grass,Rose
Which plant has aerial stems?,Money plant,Rose,Grass,Sunflower,Money plant
Which plant has creeping stems?,Strawberry,Rose,Banyan,Sunflower,Strawberry
Which plant produces edible roots?,Carrot,Grass,Rose,Mango,Carrot
Which plant produces edible stems?,Potato,Rose,Grass,Sunflower,Potato
Which plant produces edible leaves?,Spinach,Rose,Grass,Banyan,Spinach
Which plant produces edible fruits?,Mango,Rose,Grass,Banyan,Mango
Which plant reproduces by runners?,Strawberry,Rose,Grass,Moss,Strawberry
Which plant reproduces by offsets?,Pine,Rose,Water hyacinth,Moss,Water hyacinth
Which plant reproduces by suckers?,Banana,Rose,Grass,Sunflower,Banana
Which plant reproduces by bulbs?,Onion,Rose,Grass,Moss,Onion
Which plant reproduces by rhizomes?,Ginger,Rose,Grass,Banyan,Ginger
Which plant reproduces by spores?,Fern,Rose,Grass,Banyan,Fern
Which plant reproduces by seeds?,Sunflower,Fern,Moss,Liverwort,Sunflower
Which plant produces cones?,Pine,Rose,Mango,Banyan,Pine
Which plant has floating leaves?,Lotus,Rose,Mango,Banyan,Lotus
Which plant has submerged leaves?,Hydrilla,Rose,Sunflower,Grass,Hydrilla
Which plant has aerial roots?,Banyan,Mango,Rose,Sunflower,Banyan
Which plant reproduces vegetatively?,Potato,Fern,Moss,Grass,Potato
Which plant reproduces sexually?,Mango,Fern,Moss,Grass,Mango
