Question,Option A,Option B,Option C,Option D,Answer
Which of the following is obtained from plants?,Milk,Eggs,Wheat,Meat,Wheat
Which of the following is obtained from animals?,Rice,Wheat,Milk,Potato,Milk
Honey is prepared by,Humans,Ants,Bees,Butterflies,Bees
Which part of plant is carrot?,Root,Stem,Leaf,Flower,Root
Which part of plant is potato?,Root,Stem,Leaf,Fruit,Stem
Which part of plant is cauliflower?,Leaf,Stem,Flower,Root,Flower
Which part of plant is spinach?,Root,Stem,Leaf,Flower,Leaf
Which food item is obtained from animals?,Apple,Rice,Egg,Potato,Egg
Which of these is a plant product?,Cheese,Butter,Oil,Curd,Oil
Which of the following is a cereal?,Wheat,Peas,Gram,Groundnut,Wheat
Which of the following is a pulse?,Rice,Wheat,Gram,Maize,Gram
Which food is obtained from sugarcane?,Jaggery,Salt,Oil,Butter,Jaggery
Milk is obtained from which animal?,Hen,Cow,Bee,Dog,Cow
Which part of plant gives us seeds?,Root,Stem,Leaf,Fruit,Fruit
Which of these is an edible stem?,Carrot,Potato,Spinach,Radish,Potato
Which of these is an edible root?,Potato,Ginger,Carrot,Onion,Carrot
Which of these is an edible leaf?,Cabbage,Carrot,Potato,Radish,Cabbage
Which food item is obtained from animals?,Butter,Rice,Wheat,Maize,Butter
Which of these is a food from plants?,Egg,Meat,Fish,Pulses,Pulses
Which of these are oil-yielding plants?,Mustard,Gram,Wheat,Rice,Mustard
Which part of plant is ginger?,Root,Stem,Leaf,Flower,Stem
Which of these is not obtained from plants?,Apple,Rice,Milk,Potato,Milk
Which of these is a fruit we eat?,Carrot,Potato,Tomato,Spinach,Tomato
Which of the following is an animal product?,Curd,Oil,Rice,Wheat,Curd
Which of these is obtained from flowers?,Honey,Sugar,Oil,Salt,Honey
Which food comes from seeds?,Rice,Milk,Butter,Curd,Rice
Which of these is a pulse crop?,Lentil,Maize,Rice,Wheat,Lentil
Which of these is a vegetable?,Apple,Potato,Milk,Egg,Potato
Which food is prepared from milk?,Butter,Sugar,Oil,Rice,Butter
Which part of plant gives us wheat?,Root,Stem,Leaf,Seed,Seed
Which of these foods come from animals?,Cheese,Potato,Rice,Wheat,Cheese
Which of the following is a plant-based food?,Meat,Fish,Rice,Egg,Rice
Which food comes from animals?,Curd,Spinach,Potato,Rice,Curd
Which part of plant is onion?,Root,Stem,Leaf,Seed,Stem
Which of these is an edible flower?,Cauliflower,Potato,Carrot,Radish,Cauliflower
Which food item is obtained from plants?,Rice,Milk,Egg,Curd,Rice
Which of these is a seed we eat?,Wheat,Milk,Butter,Curd,Wheat
Which of these comes from animals?,Honey,Potato,Spinach,Carrot,Honey
Which part of plant is tomato?,Root,Stem,Leaf,Fruit,Fruit
Which of these is a plant product?,Mustard oil,Butter,Cheese,Curd,Mustard oil
Which food is obtained from cereals?,Rice,Milk,Egg,Meat,Rice
Which of these is an edible stem?,Ginger,Carrot,Spinach,Radish,Ginger
Which part of plant gives us pulses?,Seed,Root,Stem,Leaf,Seed
Which of these is not a plant product?,Oil,Butter,Rice,Wheat,Butter
Which of these is an animal food?,Egg,Potato,Spinach,Rice,Egg
Which food item is obtained from sugarcane?,Sugar,Salt,Butter,Oil,Sugar
Which of these is a vegetable?,Tomato,Apple,Mango,Banana,Tomato
Which of these foods come from plants?,Pulses,Meat,Fish,Egg,Pulses
Which of the following is a plant product?,Rice,Milk,Egg,Curd,Rice
