Question,Option A,Option B,Option C,Option D,Answer
What is the habitat of fish?,Water,Land,Air,Desert,Water
Where do birds live?,Air,Water,Trees,Soil,Trees
Which organism lives in deserts?,Camel,Fish,Frog,Parrot,Camel
Where do frogs live?,Water,Land,Both A and B,Air,Both A and B
Which of these is a water habitat?,Pond,Forest,Desert,Grassland,Pond
Which of these is a forest habitat?,Trees,Pond,Sand,Grass, Trees
Which of these is a desert habitat?,Sand,Dirt,Grass,Water,Sand
Which organism can live in both land and water?,Frog,Camel,Parrot,Snake,Frog
Which of these organisms live in air?,Birds,Elephants,Fish,Lion,Birds
Which is a terrestrial habitat?,Forest,Pond,River,Lake,Forest
Which organism lives in water?,Fish,Elephant,Lion,Parrot,Fish
Which habitat has little rainfall?,Desert,Forest,Ocean,River,Desert
Which habitat has many trees?,Forest,Desert,River,Ocean,Forest
Which organism lives in trees?,Parrot,Fish,Snake,Camel,Parrot
Which organism lives underground?,Earthworm,Parrot,Frog,Camel,Earthworm
Which habitat is dry and sandy?,Desert,Forest,Lake,Pond,Desert
Which organism can live in ponds?,Frog,Elephant,Camel,Parrot,Frog
Which of these organisms live on land?,Lion,Shark,Frog,Fish,Lion
Which habitat has freshwater?,River,Desert,Ocean,Forest,River
Which habitat has saltwater?,Ocean,Desert,Lake,Forest,Ocean
Which organism can fly?,Bird,Fish,Lion,Camel,Bird
Which organism can swim?,Fish,Lion,Parrot,Camel,Fish
Which organism lives in forests?,Tiger,Camel,Fish,Frog,Tiger
Which organism lives in desert?,Camel,Frog,Fish,Bird,Camel
Which habitat is cold and icy?,Polar region,Desert,Forest,Grassland,Polar region
Which organism lives in polar regions?,Penguin,Camel,Frog,Parrot,Penguin
Which organism burrows in soil?,Earthworm,Frog,Fish,Bird,Earthworm
Which habitat is grassy?,Grassland,Desert,Ocean,Forest,Grassland
Which organism lives in grasslands?,Lion,Frog,Fish,Camel,Lion
Which of these is an aquatic animal?,Fish,Elephant,Lion,Camel,Fish
Which of these is a desert animal?,Camel,Frog,Fish,Lion,Camel
Which of these is a forest animal?,Tiger,Camel,Fish,Parrot,Tiger
Which organism lives on land and water?,Frog,Camel,Parrot,Fish,Frog
Which of these lives in water?,Shark,Lion,Camel,Elephant,Shark
Which habitat is wet?,Pond,Desert,Grassland,Forest,Pond
Which organism lives on trees?,Monkey,Frog,Fish,Camel,Monkey
Which organism lives in the ocean?,Shark,Camel,Lion,Elephant,Shark
Which habitat has sand and rocks?,Desert,Forest,Lake,Grassland,Desert
Which habitat has freshwater rivers?,River,Desert,Ocean,Forest,River
Which organism lives in rivers?,Fish,Lion,Camel,Parrot,Fish
Which organism lives underground?,Earthworm,Parrot,Fish,Camel,Earthworm
Which habitat has many plants and animals?,Forest,Desert,Ocean,Grassland,Forest
Which organism lives in grass?,Rabbit,Fish,Camel,Lion,Rabbit
Which organism lives in mountains?,Goat,Camel,Fish,Parrot,Goat
Which organism lives in ocean?,Dolphin,Frog,Lion,Camel,Dolphin
Which organism lives in polar regions?,Seal,Parrot,Camel,Lion,Seal
Which of these is a terrestrial animal?,Lion,Fish,Dolphin,Frog,Lion
Which of these is an aquatic animal?,Shark,Camel,Lion,Frog,Shark
Which organism lives in desert?,Camel,Frog,Elephant,Fish,Camel
Which organism can live in both land and water?,Frog,Camel,Lion,Parrot,Frog
Which habitat is wet and muddy?,Swamp,Desert,Grassland,Forest,Swamp
Which organism lives in swamp?,Frog,Lion,Camel,Fish,Frog
