Question,Option A,Option B,Option C,Option D,Correct Answer
What is the SI unit of distance?,Meter,Kilogram,Second,Ampere,Meter
Which device is used to measure short distances accurately?,Vernier caliper,Ruler,Stopwatch,Weighing scale,Vernier caliper
Which device is used to measure long distances?,Odometer,Ruler,Stopwatch,Micrometer,Odometer
What is the SI unit of speed?,m/s,kg,m,s,m/s
Which of the following is an example of uniform motion?,Car moving at constant speed,Car accelerating,Person running fast,Train braking,Car moving at constant speed
Which of the following is an example of non-uniform motion?,Car accelerating,Car moving at constant speed,Train moving at constant speed,Person walking slowly,Car accelerating
What is the speed of an object?,Distance/Time,Time/Distance,Distance×Time,Mass/Time,Distance/Time
Which instrument measures time?,Stopwatch,Micrometer,Ruler,Odometer,Stopwatch
Which instrument measures mass?,Balance,Stopwatch,Ruler,Odometer,Balance
Which instrument measures volume?,Measuring cylinder,Stopwatch,Ruler,Odometer,Measuring cylinder
Which of the following is used to measure curved distance?,Odometer,Thread,Ruler,Stopwatch,Thread
Which of the following is used to measure height of tall building?,Clinometer,Ruler,Stopwatch,Micrometer,Clinometer
Which of the following is an example of periodic motion?,Pendulum,Scooter moving,Car braking,Person walking,Pendulum
Which of the following is scalar quantity?,Speed,Velocity,Acceleration,Displacement,Speed
Which of the following is a vector quantity?,Displacement,Speed,Distance,Time,Displacement
Which quantity has magnitude and direction?,Velocity,Speed,Distance,Time,Velocity
Which quantity has only magnitude?,Speed,Displacement,Velocity,Acceleration,Speed
Which device measures very small distances?,Micrometer,Ruler,Stopwatch,Odometer,Micrometer
Which device measures diameter of wire?,Micrometer screw gauge,Vernier caliper,Ruler,Stopwatch,Micrometer screw gauge
Which quantity is measured in m/s?,Speed,Mass,Time,Distance,Speed
Which quantity is measured in m/s²?,Acceleration,Speed,Distance,Time,Acceleration
Which quantity is measured in kg?,Mass,Distance,Time,Speed,Mass
Which quantity is measured in m?,Distance,Mass,Time,Speed,Distance
Which is an example of rectilinear motion?,Car moving on straight road,Bike turning,Pendulum swinging,Wheel rotating,Car moving on straight road
Which is an example of circular motion?,Ferris wheel,Car moving straight,Pendulum swinging,Bike moving straight,Ferris wheel
Which of the following is an example of oscillatory motion?,Pendulum,Car moving,Bike moving,Scooter moving,Pendulum
Which instrument measures angles?,Protractor,Ruler,Stopwatch,Odometer,Protractor
Which of the following measures distance in meters?,Odometer,Ruler,Stopwatch,Micrometer,Odometer
Which device measures displacement?,Ruler,Stopwatch,Odometer,Balance,Ruler
Which device measures time interval?,Stopwatch,Ruler,Odometer,Balance,Stopwatch
Which of the following measures velocity?,Distance/Time,Time×Distance,Distance-Time,Mass/Time,Distance/Time
Which of the following measures acceleration?,Change in velocity/Time,Distance/Time,Mass×Time,Velocity/Time,Change in velocity/Time
Which of the following is uniform speed?,Car moving 60 km/h constantly,Car accelerating,Train stopping,Bus slowing down,Car moving 60 km/h constantly
Which of the following is non-uniform speed?,Car speeding up,Car at constant speed,Train at constant speed,Bike moving slowly,Car speeding up
Which of the following measures curved path?,Odometer,Thread,Ruler,Stopwatch,Thread
Which is used to measure small diameter?,Micrometer,Ruler,Stopwatch,Odometer,Micrometer
Which is used to measure length of table?,Meter scale,Odometer,Micrometer,Stopwatch,Meter scale
Which instrument measures the circumference of a circle?,Pi formula,Ruler,Micrometer,Stopwatch,Pi formula
Which of the following is used to measure large distance?,Odometer,Meter scale,Ruler,Micrometer,Odometer
Which of the following is SI unit of time?,Second,Meter,Kg,Newton,Second
Which of the following is SI unit of mass?,Kilogram,Meter,Second,Ampere,Kilogram
Which instrument measures thickness of paper?,Micrometer screw gauge,Ruler,Stopwatch,Odometer,Micrometer screw gauge
Which instrument measures distance travelled by wheel?,Odometer,Ruler,Micrometer,Stopwatch,Odometer
Which of the following is vector?,Velocity,Speed,Time,Distance,Velocity
Which of the following is scalar?,Distance,Displacement,Velocity,Acceleration,Distance
Which device measures very small length?,Micrometer,Ruler,Stopwatch,Odometer,Micrometer
Which device measures thickness of wire?,Micrometer,Ruler,Stopwatch,Odometer,Micrometer
Which is measured in m/s?,Speed,Mass,Time,Force,Speed
Which is measured in m/s²?,Acceleration,Distance,Speed,Time,Acceleration
Which is measured in kg?,Mass,Distance,Time,Force,Mass
Which device measures distance along curve?,Thread,Odometer,Ruler,Micrometer,Thread
Which device measures diameter of pipe?,Micrometer,Ruler,Stopwatch,Odometer,Micrometer
Which device measures straight line distance?,Meter scale,Ruler,Odometer,Stopwatch,Meter scale
Which measures distance in moving vehicle?,Odometer,Ruler,Micrometer,Stopwatch,Odometer
