Question,Option A,Option B,Option C,Option D,Correct Answer
Which nutrient gives energy?,Carbohydrates,Proteins,Vitamins,Minerals,Carbohydrates
Which nutrient helps in growth and repair of body?,Proteins,Carbohydrates,Fats,Vitamins,Proteins
Which nutrient protects us from diseases?,Vitamins,Proteins,Carbohydrates,Fats,Vitamins
Which nutrient keeps the body warm?,Fats,Proteins,Carbohydrates,Water,Fats
Which of these is a carbohydrate-rich food?,Rice,Egg,Milk,Meat,Rice
Which of these is rich in proteins?,Pulses,Rice,Sugar,Oil,Pulses
Which of these is rich in fats?,Butter,Apple,Carrot,Spinach,Butter
Which of these is rich in vitamins?,Fruits,Oil,Sugar,Rice,Fruits
Which of these is rich in minerals?,Milk,Butter,Oil,Sugar,Milk
Which nutrient is required in small amounts?,Vitamins,Carbohydrates,Proteins,Fats,Vitamins
Which nutrient provides energy for daily activities?,Carbohydrates,Proteins,Vitamins,Minerals,Carbohydrates
Which food is a source of protein?,Egg,Rice,Sugar,Oil,Egg
Which nutrient is needed to keep bones strong?,Minerals,Carbohydrates,Proteins,Fats,Minerals
Which of these is a balanced diet?,All nutrients in right amount,Only carbohydrates,Only fats,Only proteins,All nutrients in right amount
Which vitamin helps in good eyesight?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
Which vitamin helps in healing wounds?,Vitamin C,Vitamin A,Vitamin D,Vitamin B,Vitamin C
Which vitamin helps in strong bones?,Vitamin D,Vitamin A,Vitamin B,Vitamin C,Vitamin D
Which of these is a fat-rich food?,Ghee,Rice,Apple,Spinach,Ghee
Which nutrient helps to build muscles?,Proteins,Carbohydrates,Vitamins,Minerals,Proteins
Which of these is a mineral?,Iron,Vitamin C,Protein,Fat,Iron
Which nutrient is needed to prevent night blindness?,Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin A
Which of these is rich in calcium?,Milk,Oil,Sugar,Butter,Milk
Which food is rich in vitamin C?,Orange,Rice,Milk,Egg,Orange
Which nutrient helps in blood formation?,Iron,Vitamin A,Fat,Carbohydrate,Iron
Which nutrient is also called body-building food?,Proteins,Carbohydrates,Fats,Vitamins,Proteins
Which of these is a protective food?,Fruits and vegetables,Meat,Rice,Bread,Fruits and vegetables
Which nutrient gives us more energy per gram?,Fats,Carbohydrates,Proteins,Vitamins,Fats
Which food contains roughage?,Vegetables,Milk,Egg,Butter,Vegetables
Which of these is needed for digestion?,Roughage,Protein,Fat,Carbohydrate,Roughage
Which nutrient helps to keep the digestive system healthy?,Roughage,Proteins,Fats,Vitamins,Roughage
Which nutrient helps transport nutrients in body?,Water,Protein,Carbohydrate,Fat,Water
Which nutrient helps maintain body temperature?,Water,Protein,Fat,Vitamin,Water
Which of these is a deficiency disease?,Scurvy,Cold,Fever,Headache,Scurvy
Which disease is caused by lack of vitamin C?,Scurvy,Rickets,Beri-beri,Night blindness,Scurvy
Which disease is caused by lack of vitamin D?,Rickets,Scurvy,Beri-beri,Anaemia,Rickets
Which disease is caused by lack of vitamin B1?,Beri-beri,Rickets,Scurvy,Night blindness,Beri-beri
Which disease is caused by lack of iron?,Anaemia,Rickets,Scurvy,Beri-beri,Anaemia
Which nutrient is required for healthy skin?,Vitamins,Proteins,Carbohydrates,Fats,Vitamins
Which of these is an energy-giving food?,Rice,Spinach,Apple,Carrot,Rice
Which of these is a body-building food?,Egg,Rice,Sugar,Oil,Egg
Which of these is a protective food?,Orange,Butter,Rice,Bread,Orange
Which nutrient prevents constipation?,Roughage,Protein,Fat,Carbohydrate,Roughage
Which of these is a balanced meal?,Rice+dal+vegetables,Only rice,Only bread,Only meat,Rice+dal+vegetables
Which nutrient helps in absorption of vitamins?,Fats,Proteins,Carbohydrates,Water,Fats
Which of these is a source of vitamins?,Green vegetables,Oil,Sugar,Butter,Green vegetables
Which nutrient is needed in the largest amount?,Carbohydrates,Proteins,Vitamins,Minerals,Carbohydrates
Which nutrient is called energy food?,Carbohydrates,Proteins,Vitamins,Minerals,Carbohydrates
