Question,Option A,Option B,Option C,Option D,Correct Answer
Which method is used to separate sand from water?,Filtration,Evaporation,Magnetism,Distillation,Filtration
Which method is used to obtain sugar from sugar solution?,Evaporation,Filtration,Magnetism,Decantation,Evaporation
Which method is used to separate iron from sand?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to separate cream from milk?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which method is used to separate tea leaves from tea?,Filtration,Evaporation,Magnetism,Centrifugation,Filtration
Which method is used to separate oil from water?,Decantation,Filtration,Evaporation,Magnetism,Decantation
Which method is used to separate soluble solids from liquids?,Evaporation,Filtration,Decantation,Magnetism,Evaporation
Which method is used to separate insoluble solids from liquids?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate impurities from water?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate mixture of powders using magnet?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to obtain pure water from salt water?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to separate mixture of liquids with different boiling points?,Distillation,Filtration,Evaporation,Decantation,Distillation
Which method is used to remove suspended particles from water?,Filtration,Evaporation,Distillation,Magnetism,Filtration
Which method is used to separate mixture of liquids and solids?,Filtration,Evaporation,Distillation,Decantation,Filtration
Which method is used to remove dust from liquids?,Filtration,Evaporation,Magnetism,Decantation,Filtration
Which method is used to separate water from milk?,Centrifugation,Filtration,Decantation,Evaporation,Centrifugation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which method is used to separate soluble solid from solution?,Evaporation,Filtration,Decantation,Magnetism,Evaporation
Which method is used to remove tea leaves from tea?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate sand and iron?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to separate oil from water?,Decantation,Filtration,Evaporation,Distillation,Decantation
Which method is used to separate mixture of powders with one magnetic?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to separate salt from water?,Evaporation,Filtration,Magnetism,Decantation,Evaporation
Which method is used to obtain sugar from sugar solution?,Evaporation,Filtration,Decantation,Magnetism,Evaporation
Which method is used to remove suspended particles?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate mixtures by boiling points?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which method is used to separate insoluble solid from liquid?,Filtration,Evaporation,Distillation,Decantation,Filtration
Which method is used to separate mixture of liquids?,Distillation,Filtration,Evaporation,Decantation,Distillation
Which method is used to separate soluble solids?,Evaporation,Filtration,Magnetism,Decantation,Evaporation
Which method is used to separate mixture of sand and salt?,Filtration,Evaporation,Decantation,Distillation,Filtration
Which method is used to separate tea leaves from tea?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate oil from water?,Decantation,Filtration,Evaporation,Magnetism,Decantation
Which method is used to separate mixture of iron and sand?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to obtain sugar crystals from sugar solution?,Evaporation,Filtration,Decantation,Magnetism,Evaporation
Which method is used to separate dust from water?,Filtration,Evaporation,Magnetism,Decantation,Filtration
Which method is used to separate soluble solid from mixture?,Evaporation,Filtration,Decantation,Magnetism,Evaporation
Which method is used to separate oil and water?,Decantation,Filtration,Evaporation,Distillation,Decantation
Which method is used to separate cream from milk?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which method is used to separate mixture of magnetic and non-magnetic materials?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to remove insoluble impurities?,Filtration,Evaporation,Distillation,Decantation,Filtration
Which method is used to separate salt from sea water?,Distillation,Filtration,Decantation,Evaporation,Distillation
Which method is used to remove suspended solids from water?,Filtration,Evaporation,Distillation,Decantation,Filtration
Which method is used to separate sugar from water?,Evaporation,Filtration,Decantation,Magnetism,Evaporation
Which method is used to separate sand from water?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate iron filings from sand?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
Which method is used to separate mixture of liquids with different boiling points?,Distillation,Filtration,Evaporation,Decantation,Distillation
Which method is used to obtain cream from milk?,Centrifugation,Filtration,Evaporation,Decantation,Centrifugation
Which method is used to remove dirt from water?,Filtration,Evaporation,Magnetism,Decantation,Filtration
Which method is used to separate soluble and insoluble substances?,Filtration,Evaporation,Decantation,Magnetism,Filtration
Which method is used to separate mixture of oil and water?,Decantation,Filtration,Evaporation,Magnetism,Decantation
Which method is used to separate iron from sand?,Magnetism,Filtration,Evaporation,Decantation,Magnetism
