Question,Option A,Option B,Option C,Option D,Answer
Which is a source of light?,Sun,Tree,Book,Chair,Sun
Which objects produce their own light?,Lamp,Sun,Fire,All of these,All of these
Which objects do not produce light?,Moon,Sun,Electric bulb,Fire,Moon
Which is an artificial source of light?,Sun,Lamp,Fire,Lightning,Lamp
Which type of light is from Sun?,Natural,Artificial,Electric,None,Natural
Which of these casts shadows?,Tree,Lamp,Sun,Fire,Tree
Which of these does not cast shadow?,Transparent objects,Opaque objects,All objects,Semi-transparent,Transparent objects
Which type of objects allow light to pass completely?,Transparent,Opaque,Translucent,All,Transparent
Which type of objects partially allow light to pass?,Transparent,Opaque,Translucent,All,Translucent
Which type of objects do not allow light to pass?,Opaque,Transparent,Translucent,All,Opaque
Which is used to see reflection?,Mirror,Water,Glass,All of these,Mirror
Which of these gives clear reflection?,Plane mirror,Concave mirror,Convex mirror,None,Plane mirror
Which mirror curves inward?,Concave,Convex,Plane,All,Concave
Which mirror curves outward?,Convex,Concave,Plane,All,Convex
Which mirror is flat?,Plane,Concave,Convex,All,Plane
Which of these bends light?,Lens,Mirror,Screen,Paper,Lens
Which of these is used to see far objects bigger?,Concave,Convex,Plane,Screen,Concave
Which mirror is used in vehicles to see wide area?,Convex,Concave,Plane,All,Convex
Which object reflects most light?,Mirror,Paper,Book,Stone,Mirror
Which is natural source of light?,Sun,Lamp,Tube light,LED,Sun
Which of these produces shadow?,Tree,Air,Water,Glass,Tree
Which is a transparent object?,Glass,Stone,Wood,Wall,Glass
Which is a translucent object?,Frosted glass,Stone,Wood,Metal,Frosted glass
Which is opaque object?,Wood,Glass,Water,Air,Wood
Which of these reflects light?,Mirror,Air,Water,Glass,Mirror
Which of these gives clear reflection?,Plane mirror,Concave,Convex,All,Plane mirror
Which mirror is used in torch?,Concave,Convex,Plane,All,Concave
Which mirror is used in street lights?,Concave,Convex,Plane,All,Convex
Which mirror is used in shaving?,Concave,Convex,Plane,All,Concave
Which mirror is used in vehicles?,Convex,Concave,Plane,All,Convex
Which type of mirror curves inward?,Concave,Convex,Plane,All,Concave
Which type of mirror curves outward?,Convex,Concave,Plane,All,Convex
Which object produces its own light?,Sun,Lamp,Fire,All of these,All of these
Which object does not produce light?,Moon,Lamp,Sun,Fire,Moon
Which object is artificial source of light?,Lamp,Sun,Fire,Lightning,Lamp
Which object is natural source of light?,Sun,Lamp,Electric bulb,LED,Sun
Which type of object completely allows light to pass?,Transparent,Opaque,Translucent,All,Transparent
Which type of object partially allows light to pass?,Translucent,Opaque,Transparent,All,Translucent
Which type of object blocks light?,Opaque,Transparent,Translucent,All,Opaque
Which object casts shadow?,Tree,Air,Glass,Water,Tree
Which object does not cast shadow?,Transparent objects,Opaque objects,Translucent objects,All,Transparent objects
Which mirror is used to see oneself?,Plane,Concave,Convex,All,Plane
Which mirror is flat?,Plane,Concave,Convex,All,Plane
Which mirror curves inward?,Concave,Convex,Plane,All,Concave
Which mirror curves outward?,Convex,Concave,Plane,All,Convex
Which mirror shows wider area?,Convex,Concave,Plane,All,Convex
Which mirror is used to see far objects bigger?,Concave,Convex,Plane,All,Concave
Which object reflects light?,Mirror,Paper,Wood,Stone,Mirror
Which gives clear reflection?,Plane mirror,Concave,Convex,All,Plane mirror
Which bends light?,Lens,Mirror,Screen,Paper,Lens
