Question,Option A,Option B,Option C,Option D,Answer
What is the standard unit of length?,Metre,Litre,Kilogram,Second,Metre
Which instrument is used to measure short distances?,Ruler,Measuring tape,Scale,Stopwatch,Ruler
Which instrument is used to measure long distances?,Measuring tape,Ruler,Stopwatch,Weight scale,Measuring tape
Which device is used to measure curved distances?,Measuring tape,Ruler,Stopwatch,Scale,Measuring tape
Which unit is used to measure height of a building?,Metre,Litre,Kilogram,Second,Metre
Which unit is used to measure the length of a pencil?,Centimetre,Metre,Kilogram,Litre,Centimetre
Which instrument is used to measure distance between two towns?,Odometer,Measuring tape,Scale,Ruler,Odometer
Which unit is suitable for measuring width of a table?,Centimetre,Kilometre,Metre,Litre,Centimetre
Which unit is used to measure distance between cities?,Kilometre,Metre,Centimetre,Millimetre,Kilometre
Which instrument measures exact distance on maps?,Scale,Ruler,Stopwatch,Measuring tape,Scale
Which of these is an example of motion?,Running,Standing,Sleeping,Sitting,Running
Which of these is stationary?,Tree,Bike in motion,Car moving,Fish swimming,Tree
Which term is used for change in position?,Motion,Rest,Speed,Distance,Motion
Which term is used for no change in position?,Rest,Motion,Speed,Distance,Rest
Which device measures time?,Stopwatch,Ruler,Scale,Measuring tape,Stopwatch
Which device measures speed?,Speedometer,Odometer,Stopwatch,Ruler,Speedometer
Which device measures distance travelled by a vehicle?,Odometer,Stopwatch,Ruler,Scale,Odometer
Which unit is used to measure very small lengths?,Millimetre,Metre,Kilometre,Centimetre,Millimetre
Which unit is used to measure very large distances?,Kilometre,Metre,Centimetre,Millimetre,Kilometre
Which unit is used to measure length of a room?,Metre,Centimetre,Kilometre,Millimetre,Metre
Which term describes the path covered by a moving body?,Distance,Speed,Time,Motion,Distance
Which is a measure of how fast a body moves?,Speed,Distance,Time,Motion,Speed
Which unit is used to measure speed?,Metre per second,Kilogram,Litre,Second,Metre per second
Which unit is used to measure time?,Second,Metre,Kilometre,Centimetre,Second
Which device measures short intervals of time?,Stopwatch,Ruler,Odometer,Scale,Stopwatch
Which device measures long distances on road?,Odometer,Ruler,Scale,Stopwatch,Odometer
Which unit is used to measure thickness of a paper?,Millimetre,Metre,Kilometre,Centimetre,Millimetre
Which unit is suitable for measuring height of a person?,Metre,Kilometre,Centimetre,Litre,Metre
Which instrument measures distances accurately?,Scale,Ruler,Measuring tape,All of these,All of these
Which unit is used to measure height of a mountain?,Kilometre,Metre,Centimetre,Millimetre,Metre
Which term describes a body not changing its position?,Rest,Motion,Speed,Distance,Rest
Which term describes a body changing its position?,Motion,Rest,Speed,Distance,Motion
Which instrument measures distance travelled by vehicle?,Odometer,Stopwatch,Ruler,Scale,Odometer
Which unit is used to measure small objects?,Centimetre,Metre,Kilometre,Litre,Centimetre
Which unit is used to measure long roads?,Kilometre,Metre,Centimetre,Millimetre,Kilometre
Which unit is suitable for measuring table length?,Metre,Centimetre,Kilometre,Millimetre,Centimetre
Which device measures distance travelled by a moving car?,Odometer,Stopwatch,Ruler,Scale,Odometer
Which term is used for change in position?,Motion,Rest,Speed,Time,Motion
Which term is used for no movement?,Rest,Motion,Distance,Speed,Rest
Which unit measures height of a building?,Metre,Kilometre,Centimetre,Millimetre,Metre
Which unit measures distance between cities?,Kilometre,Metre,Centimetre,Millimetre,Kilometre
Which unit measures small distances?,Centimetre,Metre,Kilometre,Millimetre,Centimetre
Which instrument measures short distances?,Ruler,Measuring tape,Odometer,Stopwatch,Ruler
Which instrument measures long distances?,Measuring tape,Odometer,Ruler,Stopwatch,Measuring tape
Which unit is used to measure thickness of a sheet?,Millimetre,Centimetre,Metre,Kilometre,Millimetre
Which unit measures distance covered by a car?,Kilometre,Metre,Centimetre,Millimetre,Kilometre
Which unit measures time?,Second,Metre,Kilometre,Centimetre,Second
Which unit measures speed of a moving body?,Metre per second,Kilometre,Litre,Centimetre,Metre per second
Which device measures time intervals?,Stopwatch,Ruler,Odometer,Scale,Stopwatch
Which device measures speed of a car?,Speedometer,Odometer,Ruler,Scale,Speedometer
Which device measures distance on a road?,Odometer,Stopwatch,Ruler,Scale,Odometer
Which unit measures distance travelled on map?,Centimetre,Kilometre,Metre,Millimetre,Centimetre
