Question,Option A,Option B,Option C,Option D,Correct Answer
Which change cannot be reversed?,Burning,Rusting,Freezing,Melting,Burning
Which change is reversible?,Melting,Burning,Rusting,Cooking,Melting
Which change is permanent?,Cooking,Melting,Freezing,Dissolving,Cooking
Which change is temporary?,Ice melting,Paper burning,Rusting,Cooking,Ice melting
Which change is physical?,Melting,Burning,Cooking,Rusting,Melting
Which change is chemical?,Burning,Rusting,Melting,Freezing,Burning
Which change is caused by heat?,Melting,Freezing,Rusting,Cooling,Melting
Which change is caused by cold?,Freezing,Melting,Burning,Cooking,Freezing
Rusting occurs due to?,Air and water,Heat,Cold,Sunlight,Air and water
Burning is an example of?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Melting of ice is an example of?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Boiling of water is an example of?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Dissolving sugar in water is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Baking a cake is an example of?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Cutting paper is an example of?,Physical change,Chemical change,Reversible change,Irreversible change,Physical change
Rusting of iron is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Boiling milk to make curd is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Freezing water to make ice is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Condensation of water vapour is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Evaporation of water is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Breaking a glass is?,Physical change,Chemical change,Reversible change,Irreversible change,Physical change
Chopping vegetables is?,Physical change,Chemical change,Reversible change,Irreversible change,Physical change
Burning paper produces?,Smoke and ash,Water,Ice,Steam,Smoke and ash
Cooking food causes?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Melting butter is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Tearing paper is?,Physical change,Chemical change,Reversible change,Irreversible change,Physical change
Dissolving salt in water is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Souring of milk is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Inflating a balloon is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Freezing juice is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Boiling an egg is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Breaking a stick is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Mixing salt and water is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Rusting of nail is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Boiling water to make steam is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Making tea is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Burning candle is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Crushing sugar is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Frying potatoes is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Melting chocolate is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Breaking chalk is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Fermentation of fruits is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Condensation on cold surface is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Burning matchstick is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Chopping wood is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Dissolving sugar in tea is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Making butter from cream is?,Physical change,Chemical change,Reversible change,Irreversible change,Physical change
Making curd from milk is?,Chemical change,Physical change,Reversible change,Temporary change,Chemical change
Boiling water to cook rice is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
Mixing oil and water is?,Physical change,Chemical change,Irreversible change,Permanent change,Physical change
