Question,Answer
Light travels in a straight line in a _______,,homogeneous medium
The path followed by light is called a _______,,ray
A narrow beam of light is called a _______,,ray
The band of light formed on a screen by a narrow slit is called a _______,,beam
Light striking a surface and bouncing back is called _______,,reflection
The mirror that curves inward is called a _______,,concave mirror
The mirror that curves outward is called a _______,,convex mirror
The image formed by a plane mirror is always _______,,virtual
The law stating “angle of incidence = angle of reflection” is called _______,,law of reflection
The mirror used by vehicles to see traffic behind is a _______,,convex mirror
The mirror that can focus sunlight on a point is a _______,,concave mirror
The part of the mirror where light rays meet is called the _______,,focus
The distance between the mirror surface and the focus is called _______,,focal length
The mirror used by dentists to see teeth is _______,,concave mirror
Shadows are formed when an object _______ the path of light,,"blocks"
A sharp shadow is formed by a _______,,point source of light
A fuzzy shadow is formed by a _______,,diffused source of light
The bright area around the shadow is called _______,,penumbra
The dark area of the shadow is called _______,,umbra
Reflection from a rough surface is called _______,,diffused reflection
A plane mirror always produces an image that is _______,,upright
A convex mirror always produces a _______,,virtual and diminished image
A concave mirror can produce a real image if the object is _______,,beyond the focus
The size of image depends on _______,,distance from the mirror
The surface which does not reflect light is called _______,,non-luminous
A light ray falling on a mirror is called the _______,,incident ray
The ray reflected from a mirror is called the _______,,reflected ray
A mirror used in torches is _______,,concave
The type of mirror that gives magnified images is _______,,concave mirror
Light from the sun takes about _______ to reach the earth,,"8 minutes"
The concave lens is also called a _______,,diverging lens
The convex lens is also called a _______,,converging lens
A lens that is thicker at the center than edges is _______,,convex
A lens that is thinner at the center than edges is _______,,concave
The bending of light as it passes from one medium to another is called _______,,refraction
The rainbow is formed due to _______,,dispersion of light
A lens that can form real or virtual images is _______,,convex lens
The principal axis of a mirror passes through its _______,,center of curvature
The mirror that can magnify small objects is used in _______,,microscope
The image formed by a convex lens placed very close to an object is _______,,virtual
The shadow formed when sun is at noon is _______,,shortest
Shadows are used in _______,,sundials
The type of image formed by a plane mirror is always _______,,laterally inverted
The mirror used in security and shops is _______,,convex mirror
The angle between incident ray and normal is called _______,,angle of incidence
The angle between reflected ray and normal is called _______,,angle of reflection
The part of shadow where all light is blocked is called _______,,umbra
