Question,Answer
Garbage is another term for _______,,waste
The process of converting waste into reusable material is called _______,,recycling
Biodegradable waste is broken down by _______,,microorganisms
Non-biodegradable waste cannot be broken down easily and includes _______,,"plastic, metals"
The process of burning waste to reduce its volume is called _______,,incineration
Composting helps in making _______,,organic fertilizer
Segregation of waste involves separating _______,,biodegradable and non-biodegradable waste
Reusing items reduces the need for _______,,new raw materials
Plastic waste is harmful because it is _______,,non-biodegradable
E-waste includes discarded _______,,"computers, mobile phones, batteries"
Landfills are areas where _______ is dumped,,"solid waste"
Segregation of waste should be done at _______,,source
Recycling helps in conserving _______,,natural resources
Waste that can rot and decay naturally is called _______,,biodegradable
Non-biodegradable wastes cause _______,,pollution
The symbol ♻️ represents _______,,recycling
Hazardous waste includes _______,,"chemicals, pesticides"
Segregating wet and dry waste helps in _______,,proper disposal
Reducing, reusing, and recycling is called the _______,,"3Rs of waste management"
Waste disposal in water bodies causes _______,,water pollution
Plastic bags can be harmful to _______,,animals
Compost pits are used for treating _______,,biodegradable waste
Incineration reduces the _______,,volume of waste
E-waste contains toxic metals like _______,,"lead, mercury"
Segregation of garbage helps in _______,,efficient recycling
The process of separating recyclable materials is called _______,,sorting
Non-biodegradable waste can remain in the environment for _______,,hundreds of years
Landfills produce harmful gases like _______,,methane
Composting converts organic waste into _______,,humus
Waste management helps in maintaining _______,,cleanliness and hygiene
Recycling paper helps in saving _______,,trees
Plastic should be disposed in _______ bins,,"blue or designated"
Battery disposal should be done in _______,,special collection centers
Food waste can be used for _______,,composting
Medical waste must be disposed of in _______,,biohazard containers
Reducing use of plastic is called _______,,source reduction
Recycling metals saves _______,,energy and resources
The disposal of untreated waste can pollute _______,,soil and water
Biodegradable waste includes _______,,"vegetable peels, leaves"
Non-biodegradable waste includes _______,,"plastic, glass, metal"
Waste management helps prevent _______,,diseases
Recycling helps in reducing _______,,environmental pollution
E-waste recycling helps in recovering _______,,"metals and components"
Composting reduces the need for _______,,chemical fertilizers
Waste segregation at home helps in _______,,environmental conservation
Landfills occupy large _______,,areas of land
Incineration can produce harmful _______,,smoke and gases
Recycling glass reduces the need for _______,,raw materials
Proper waste management protects _______,,wildlife
Garbage thrown in drains can cause _______,,waterlogging
The 3Rs stand for _______,,"Reduce, Reuse, Recycle"
