Question,Answer
A device that produces electricity is called a _______,,cell
The flow of electric charge is called _______,,current
The S.I. unit of electric current is _______,,ampere
The flow of current is due to movement of _______,,"electrons"
The device used to measure current is called _______,,ammeter
The device used to measure voltage is called _______,,voltmeter
The complete path of electric current is called a _______,,circuit
A circuit without any break is called a _______,,closed circuit
A circuit with a break is called an _______,,open circuit
The material that allows electricity to pass through is called a _______,,conductor
The material that does not allow electricity to pass is called a _______,,insulator
The metallic wire in a circuit is generally made of _______,,copper
A switch is used to _______,,control the flow of current
The battery is made of one or more _______,,cells
The unit of electrical potential difference is _______,,volt
A device that converts chemical energy into electrical energy is _______,,cell
The electric current can be made stronger by increasing _______,,voltage
The resistance in a conductor opposes _______,,current
The S.I. unit of resistance is _______,,ohm
A combination of resistors in series has _______ total resistance,,"higher"
A combination of resistors in parallel has _______ total resistance,,"lower"
Electricity is produced by moving _______,,charges
A fuse is used to prevent _______,,overloading
The heating effect of current is used in _______,,"electric iron, heater"
The device that stores electric charge is called a _______,,capacitor
Current always flows from _______ to negative,,"positive terminal"
The current in metals is due to _______,,electron movement
A circuit diagram is a _______,,"symbolic representation"
The device that converts mechanical energy into electrical energy is called _______,,generator
A short circuit occurs when there is _______,,direct connection between terminals
The safety device that melts when current is too high is called _______,,fuse
The chemical reaction in a cell produces _______,,electrons
A switch in a circuit can _______,,break or complete the circuit
The total voltage in series connection is the _______ of individual voltages,,"sum"
In a parallel circuit, the voltage across each branch is _______,,same
The current in a series circuit is _______,,same in all components
The current in parallel branches _______ depending on resistance,,"divides"
The path of electric current from battery to device is called _______,,circuit
The battery in a torch is usually a _______,,dry cell
A circuit diagram uses standard _______,,symbols
The resistance of a conductor depends on length, cross-sectional area, and _______,,material
A good conductor of electricity is _______,,copper
Electric current can produce heat, light, magnetic effect, and _______,,chemical effect
The energy consumed by an electrical device is measured in _______,,joule
Current flows more easily in materials with _______,,low resistance
The electric bell works due to _______,,electromagnetism
In a series circuit, if one bulb blows, the _______ goes off,,"entire circuit"
The voltmeter is always connected in _______,,parallel
The ammeter is always connected in _______,,series
