Question,Answer
Air is a ___ that surrounds the Earth.,mixture
Air is essential for ___ of living beings.,breathing
Air occupies ___. ,space
Air has ___ and mass.,weight
Air exerts ___ in all directions.,pressure
The presence of air can be detected using a ___. ,fan
Air is a mixture of gases, mainly nitrogen and ___. ,oxygen
Oxygen in air is necessary for ___. ,combustion
Carbon dioxide in air is used by plants for ___. ,photosynthesis
Air is ___ and invisible.,transparent
The movement of air from high pressure to low pressure is called ___. ,wind
The gas responsible for global warming is ___. ,carbon dioxide
Nitrogen in air is important for the formation of ___. ,proteins
Air exerts ___ on objects immersed in it.,pressure
The weight of air on the Earth's surface is called ___.,atmospheric pressure
The layer of air surrounding the Earth is called the ___. ,atmosphere
Hot air ___ and cold air sinks.,rises
The flow of air from one place to another causes ___.,wind
Wind can be ___, gentle or strong.,variable
Air contains water in the form of ___.,vapour
Condensation of water vapour forms ___. ,clouds
Air helps in spreading ___.,sound
A vacuum is a space with no ___.,air
Air pollution is caused by harmful ___ in the air.,substances
Exhaust gases from vehicles pollute the ___. ,air
Smog is a type of ___ pollution.,air
Breathing polluted air can cause ___ problems.,health
Oxygen makes up about ___% of air.,21
Nitrogen makes up about ___% of air.,78
Air is necessary for ___ of food in the body.,respiration
Helium is lighter than ___.,air
Air is required for the burning of ___. ,fuel
The air inside a balloon is under ___.,pressure
The air we breathe is called ___ air.,atmospheric
A barometer is used to measure ___.,air pressure
The expansion of hot air can make a balloon ___. ,rise
Air exerts pressure in ___ directions.,all
Air is composed of oxygen, nitrogen, carbon dioxide, and ___. ,other gases
Dust and smoke particles in air are called ___. ,particulates
Air resistance opposes the ___ of objects.,motion
Wind energy can be used to generate ___.,electricity
The movement of hot air causes ___.,convection
Breezes along the coast are called ___.,sea and land breezes
Air is ___ and invisible to the human eye.,colorless
Air quality affects the ___ of living beings.,health
Air is a mixture of gases and ___. ,dust particles
Oxygen supports ___ and combustion.,life
Carbon dioxide is released during ___. ,respiration
Air is necessary for the spread of ___ waves.,sound
The protective layer of gases around Earth prevents harmful ___. ,radiation
The lower part of the atmosphere where we live is called the ___. ,troposphere
