Question,Answer
A magnet always has two ends called _______,,poles
The pole of a magnet that points north is called the _______,,north-seeking pole
The pole of a magnet that points south is called the _______,,south-seeking pole
Like poles of a magnet _______,,repel
Unlike poles of a magnet _______,,attract
The area around a magnet where magnetic force acts is called _______,,magnetic field
The lines that show the direction of magnetic force are called _______,,magnetic field lines
A freely suspended magnet always points in the _______,,north-south direction
The region where a magnet attracts iron is called _______,,magnetic pole
Materials that are attracted by a magnet are called _______,,magnetic materials
Iron, nickel, and cobalt are _______,,magnetic materials
Wood, plastic, and glass are _______,,non-magnetic materials
A magnet can lose its magnetism if heated or _______ it,,"hammered or struck"
A temporary magnet is made from a _______,,soft iron
A permanent magnet is made from _______,,steel
Magnets can attract objects through _______,,non-magnetic materials like paper
A compass needle is a small _______,,magnet
The substance used to make compass needles is _______,,steel
The magnetic field of Earth helps in _______,,navigation
A magnet attracts iron fillings due to _______,,magnetic force
Magnetism is the property of attracting _______,,iron and some metals
The strength of a magnet is maximum at its _______,,poles
The region where the magnetic effect is zero is called _______,,neutral zone
A magnet can be made by rubbing _______ on it,,"another magnet"
The magnet used in electric bells is an _______,,electromagnet
A solenoid with current acts as a _______,,magnet
Earth behaves like a huge _______,,bar magnet
A freely suspended magnet aligns itself along the _______ direction,,"magnetic north-south"
The north pole of a magnet points towards the _______,,geographic north
Magnets can attract iron fillings at a distance due to _______,,magnetic field
Soft iron loses magnetism easily and is called _______,,temporary magnet
Steel retains magnetism and is called _______,,permanent magnet
The lines of force always emerge from _______ and enter _______ of a magnet,,"north, south"
Magnetism is strongest near _______,,poles
The process of making a magnet by placing in magnetic field is called _______,,magnetization
A magnet can be destroyed by _______,,heating, hammering or dropping
Magnet attracts _______ but not wood or plastic,,"iron, nickel, cobalt"
The north pole of a compass points towards _______,,magnetic north
A solenoid is a coil of _______,,wire
Electromagnet can be turned on and off by controlling _______,,electric current
Temporary magnets are often made from _______,,soft iron
Permanent magnets are often made from _______,,steel
Magnet attracts objects made of _______,,iron
The strength of an electromagnet can be increased by increasing the number of _______,,coils
The process of aligning domains in a magnet is called _______,,magnetization
A magnet can also induce magnetism in a _______,,magnetic material
