Question,Answer
Carbohydrates are mainly used by the body to provide _______,,energy
Proteins are required for the _______,,growth and repair of body
Fats are stored in the body as a source of _______,,energy
The nutrient that protects the body against diseases is _______,,vitamins
Minerals are required in small amounts for maintaining _______,,health
Water is essential for _______,,all body functions
The deficiency of vitamin A can lead to _______,,night blindness
The deficiency of vitamin C causes _______,,scurvy
Calcium is necessary for _______,,strong bones and teeth
Iron is needed for the formation of _______,,hemoglobin
The vitamin obtained from sunlight is _______,,vitamin D
Proteins are made up of building blocks called _______,,amino acids
The main source of carbohydrates in our diet is _______,,cereals
Butter and ghee are rich sources of _______,,fats
Green leafy vegetables are rich in _______,,vitamin K
Fruits like orange and lemon provide _______,,vitamin C
Eggs and fish are rich sources of _______,,protein
Deficiency of vitamin D causes _______,,rickets
Salt is the main source of _______,,sodium
The body uses _______ for regulating body temperature, cushioning organs, and energy storage,,"fats"
Milk is a good source of _______,,calcium
Proteins help in _______,,repairing tissues
The deficiency of iron leads to _______,,anemia
The body needs water to maintain _______,,hydration
Vitamin B helps in the proper functioning of _______,,nervous system
Fats are stored in the form of _______,,adipose tissue
Proteins are important for _______,,enzymes and hormones
The deficiency of vitamin B1 leads to _______,,beriberi
The nutrient required for formation of blood is _______,,iron
Iodine prevents a disorder called _______,,goiter
The main function of carbohydrates is to provide _______,,energy
Vitamin K is necessary for _______,,blood clotting
Water is lost from the body mainly through _______,,sweat and urine
The nutrient that builds and maintains muscles is _______,,protein
The deficiency of vitamin B12 leads to _______,,pernicious anemia
Calcium is necessary for _______,,muscle contraction and bone strength
Vitamin D helps in the absorption of _______,,calcium
Fiber helps in maintaining _______,,digestion
Foods rich in protein include _______,,meat, pulses, eggs
Fats are a concentrated source of _______,,energy
The nutrient that helps in healing wounds is _______,,vitamin C
Minerals like potassium and sodium help in maintaining _______,,electrolyte balance
Vitamin E protects cells from _______,,oxidative damage
Milk and milk products provide _______,,calcium and protein
Carbohydrates are stored in the body as _______,,glycogen
The nutrient that helps in proper vision is _______,,vitamin A
Deficiency of vitamin K can cause _______,,bleeding disorders
The mineral required for strong bones and teeth is _______,,calcium
