Question,Answer
Air is a mixture of gases, mainly _______,,nitrogen and oxygen
Oxygen is required for _______,,respiration
The gas used by plants for photosynthesis is _______,,carbon dioxide
Nitrogen is essential for the formation of _______,,proteins
The gas that helps in burning is _______,,oxygen
The gas that does not support burning is _______,,carbon dioxide
The weight of air exerts _______,,pressure
The pressure exerted by air is called _______,,atmospheric pressure
Air contains about _______% oxygen,,"21%"
Air contains about _______% nitrogen,,"78%"
The gas present in small amounts in air that is essential for life is _______,,carbon dioxide
The layer of air surrounding Earth is called _______,,atmosphere
The force exerted by moving air is called _______,,wind
The mixture of gases surrounding us that we breathe is called _______,,air
The component of air used in combustion is _______,,oxygen
The gas used in making fertilizers is _______,,nitrogen
The gas that is lighter than air is _______,,hydrogen
Air helps in the transfer of _______,,sound
Air is a good _______ of heat,,"poor"
The process by which plants release oxygen is called _______,,photosynthesis
The movement of air from high pressure to low pressure is called _______,,wind
The density of air decreases with _______,,altitude
The invisible force of air on surfaces is called _______,,air pressure
Air contains water in the form of _______,,water vapour
The gas responsible for global warming is _______,,carbon dioxide
The gas that supports rusting of iron is _______,,oxygen
The gas used in electric bulbs is _______,,argon
The gas that makes the sky appear blue is _______,,nitrogen (scattering of light by N₂ molecules)
Air is necessary for the flight of _______,,"birds and airplanes"
The tool used to measure air pressure is called _______,,barometer
Air contains _______ in very small amounts,,"noble gases"
The gas used in photosynthesis is absorbed by _______,,leaves
The invisible layer of air that protects Earth from meteoroids is called _______,,atmosphere
The breathing in of oxygen and breathing out of carbon dioxide is called _______,,respiration
Air pollution is caused by release of _______,,harmful gases
The gas that contributes to the greenhouse effect is _______,,carbon dioxide
The air exhaled by humans contains _______% carbon dioxide,,"4%"
The mixture of dust and smoke in air is called _______,,smog
Air occupies _______,,space
The movement of air caused by heating of Earth’s surface is called _______,,convection current
The gas responsible for fire extinguisher operation is _______,,carbon dioxide
The study of air and its effects is called _______,,meteorology
The thin layer of gases around Earth is called _______,,atmosphere
The gas present in air that helps in breathing is _______,,oxygen
Air is a _______ that exerts force on objects,,"fluid"
The process by which air moves from one place to another is called _______,,wind
Air is essential for _______,,combustion
Air helps in keeping Earth’s temperature _______,,moderate
The instrument used to detect wind direction is called _______,,wind vane
The force of air decreases as altitude _______,,increases
The layer of air where weather occurs is called _______,,troposphere
