Question,Answer
Garbage is also called ______.,waste
Garbage can be solid or ______.,liquid
We should always throw garbage in a ______.,dustbin
Plastic takes a very long time to ______.,decompose
Organic waste can be used to make ______.,compost
Segregation of waste means separating ______ from each other.,types of garbage
Recycling helps in making new products from ______.,waste
Non-biodegradable waste does not ______ easily.,decay
Biodegradable waste can ______ naturally.,decay
Paper, glass, and plastic can be ______.,recycled
Wet garbage includes ______ and leftover food.,vegetable peel
Dry garbage includes ______, paper, and plastic.,metal
Garbage thrown in streets can cause ______.,pollution
Garbage can spread ______ if not disposed properly.,diseases
Composting turns organic waste into ______.,fertilizer
Plastic waste harms ______.,animals
Segregated waste is easier to ______.,process
Glass waste can be ______ to make new bottles.,reused
Throwing garbage in rivers causes water ______.,pollution
Garbage should not be thrown in ______ areas.,public
Recycling saves ______.,resources
Metal cans can be ______.,recycled
Used newspapers can be made into ______.,paper
Segregation helps in keeping the ______ clean.,environment
Biodegradable waste is also called ______.,wet waste
Non-biodegradable waste is also called ______.,dry waste
Burning garbage causes ______.,air pollution
Landfills are places to ______ waste.,dump
Plastic bags are ______ waste.,non-biodegradable
Kitchen waste is ______.,biodegradable
E-waste includes ______ gadgets.,old
Glass bottles can be sent to ______ factories.,glass
Recycling reduces the need for raw ______.,materials
Segregation reduces the amount of ______ in landfills.,waste
Composting is done in ______ bins.,organic
Throwing garbage in water bodies harms ______.,aquatic life
Recycling helps in saving ______.,energy
Plastic does not ______ easily.,decompose
We should use ______ bags instead of plastic.,cloth
Paper waste can be converted into ______.,new paper
Segregated garbage can be used for ______.,fertilizer
Non-biodegradable waste should be ______.,recycled
Composting helps in improving ______ of soil.,fertility
Throwing garbage properly keeps the ______ clean.,city
E-waste can release harmful ______.,chemicals
Garbage management is important for ______.,health
We should educate people about proper ______ of garbage.,disposal
Landfills can pollute the ______.,soil
Plastic waste can harm ______ birds.,sea
Reduce, reuse, and ______ is important.,recycle
Proper disposal of waste prevents ______.,diseases
