Question,Answer
The part of the plant that absorbs water and minerals from soil is _______,,root
The main function of the stem is to transport _______ and food,,"water"
The process by which plants prepare their own food is called _______,,photosynthesis
The green pigment present in leaves is called _______,,chlorophyll
The part of the plant where photosynthesis mainly occurs is the _______,,leaf
The upward movement of water in plants is called _______,,ascent of sap
The process by which water is lost from the aerial parts of plants is called _______,,transpiration
The male reproductive part of a flower is called _______,,stamen
The female reproductive part of a flower is called _______,,pistil
The swollen base of the pistil is called _______,,ovary
The part of the flower that attracts insects for pollination is _______,,petals
The transfer of pollen grains from anther to stigma is called _______,,pollination
The fusion of male and female gametes is called _______,,fertilization
After fertilization, the ovary develops into _______,,fruit
The structure that develops into a new plant is the _______,,seed
The flat and broad leaves with parallel venation belong to _______ plants,,"monocot"
Plants having reticulate venation are mostly _______,,dicot
The type of root system found in wheat is _______,,fibrous root
The type of root system found in mustard is _______,,tap root
The arrangement of leaves on the stem is called _______,,phyllotaxy
The part of the plant that supports and bears leaves, flowers and fruits is the _______,,stem
The pores present on leaves for gaseous exchange are called _______,,stomata
The loss of excess water from leaves helps in _______ the plant,,"cooling"
The veins in leaves form a network called _______,,venation
The flower that has both male and female parts is called _______,,bisexual
Plants that grow without support are called _______,,erect plants
Plants with weak stems that need support are called _______,,climbers
Plants that spread on the ground are called _______,,creepers
The thick and fleshy stem that stores food is called _______,,succulent stem
The main function of roots besides absorption is to provide _______,,anchorage
The process of making food in plants uses carbon dioxide and _______,,water
The opening and closing of stomata is controlled by _______,,guard cells
The part of the flower that produces pollen grains is _______,,anther
The sticky part of pistil that receives pollen is called _______,,stigma
The stalk that holds the flower is called _______,,pedicel
The young plant inside the seed is called _______,,embryo
The stored food in seed is present in _______,,cotyledons
The seed coat protects the _______,,embryo
The transfer of pollen within the same flower is called _______,,self-pollination
The transfer of pollen from one flower to another is called _______,,cross-pollination
The food prepared in leaves is transported to other parts by _______,,phloem
The upward movement of water occurs through _______,,xylem
The leaf vein pattern in banana plant is _______,,parallel venation
The tiny opening on seed through which water enters is called _______,,micropyle
The base of the flower where all floral parts are attached is called _______,,receptacle
The green colour of leaves is due to _______,,chlorophyll
The process of making seeds from flowers is called _______,,reproduction
The main function of fruit is to protect the _______,,seeds
