Question,Answer
The distance covered by an object in unit time is called _______,,speed
The S.I. unit of speed is _______,,m/s
The total path covered by an object is called _______,,distance
The shortest path between two points is called _______,,displacement
If an object covers equal distance in equal intervals of time, it has _______,,uniform motion
If an object covers unequal distances in equal intervals of time, it has _______,,non-uniform motion
The speed of a moving object can be calculated using the formula _______,,"speed = distance/time"
A car moving at a constant speed is an example of _______,,uniform motion
A train slowing down before a station is an example of _______,,non-uniform motion
The distance-time graph of uniform motion is a _______,,straight line
The slope of a distance-time graph gives the _______,,speed
The S.I. unit of distance is _______,,meter
The device used to measure long distances on land is called _______,,odometer
The measurement of very small distances is done using _______,,micrometer
The instrument used to measure height of a building indirectly is called _______,,clinometer
The total distance covered in one round trip is called _______,,round-trip distance
The speed of sound in air is approximately _______,,343 m/s
The distance covered per unit time in a particular direction is called _______,,velocity
Velocity differs from speed because it has _______,,direction
The acceleration is the rate of change of _______,,velocity
The S.I. unit of acceleration is _______,,m/s²
An object moving in a circular path has changing _______,,velocity
An object moving with uniform speed in a circle has _______,,centripetal acceleration
The formula to calculate acceleration is _______,,"acceleration = change in velocity/time"
The speedometer of a car measures _______,,instantaneous speed
The odometer of a vehicle measures _______,,distance traveled
A moving object is said to be at rest if its _______,,position does not change
The rate at which an object changes its position is called _______,,speed
The unit of displacement in the S.I. system is _______,,meter
The total distance covered in a given interval of time is called _______,,path length
A non-uniform motion is represented by a _______ line on a distance-time graph,,"curved"
The distance covered along a straight path from start to end is _______,,displacement
A cyclist moving 100 m east and then 100 m west has a net _______,,displacement of 0
The measurement of distance in nautical navigation is done in _______,,nautical miles
The time taken to cover a distance is called _______,,time interval
The device used to measure short intervals of time accurately is called _______,,stopwatch
Motion along a straight line is called _______,,linear motion
Motion along a circular path is called _______,,circular motion
The slope of a velocity-time graph gives _______,,acceleration
Distance and displacement differ in _______,,magnitude and direction
An object at rest has _______ speed,,"zero"
The motion of planets around the sun is an example of _______,,orbital motion
The average speed of an object is calculated as _______,,"total distance/total time"
The instantaneous speed is the speed at a _______,,specific moment
The uniform motion of a car is represented by a _______ line on a distance-time graph,,"straight"
The rate of change of speed without considering direction is called _______,,scalar acceleration
The distance covered in one hour by a train moving at 60 km/h is _______,,"60 km"
