Question,Answer
A change in which a new substance is formed is called a _______,,chemical change
A change in which no new substance is formed is called a _______,,physical change
The change of water into ice is an example of a _______,,reversible change
The change of milk into curd is an example of an _______,,irreversible change
Changes that can be undone are called _______,,reversible changes
Changes that cannot be undone are called _______,,irreversible changes
Burning of paper is a _______,,chemical change
Melting of ice is a _______,,physical change
Rusting of iron is an example of _______,,chemical change
The formation of rust requires moisture and _______,,oxygen
Changes that are slow and take a long time are called _______,,slow changes
Changes that happen quickly are called _______,,fast changes
The bending of a rubber band is a _______,,physical change
The process of burning produces _______ and heat,,"light"
The change of water vapour into water is called _______,,condensation
Freezing is the change of water into _______,,ice
Boiling is the process of converting liquid into _______,,vapour
The change of solid into liquid is called _______,,melting
The change of liquid into gas at any temperature is called _______,,evaporation
The change of vapour into liquid is called _______,,condensation
A change that is useful and planned is called a _______,,desirable change
A change that is harmful is called an _______,,undesirable change
Ripening of fruits is a _______,,chemical change
The formation of clouds is due to _______,,condensation
The change of shape of clay while making a pot is a _______,,physical change
The burning of candle wax is a _______,,chemical change
The melting of candle wax is a _______,,physical change
Cooking of food is a _______,,chemical change
Breaking of glass is an _______,,irreversible change
The stretching of a spring is a _______,,reversible change
The drying of clothes is due to _______,,evaporation
The change of raw egg into boiled egg is _______,,irreversible
The formation of ice cream from liquid mixture is a _______,,physical change
The change that produces gas is often a _______,,chemical change
The change in size of balloon when filled with air is a _______,,physical change
The process of rusting needs _______,,air and moisture
The change of water to steam is _______,,boiling
The change of butter into ghee is a _______,,chemical change
The process of sublimation changes solid directly into _______,,gas
The change that occurs periodically is called a _______,,periodic change
The change of seasons is a _______,,periodic change
The tearing of paper is an _______,,irreversible change
The cooling of hot tea is a _______,,physical change
The formation of curd from milk is due to _______,,bacteria
The change of iron to rust is called _______,,corrosion
The process of converting steam into water is _______,,condensation
The change that produces heat is usually a _______,,chemical change
The sharpening of a pencil is a _______,,physical change
