Question,Answer
A magnet is a material that can attract ___ objects.,iron
Magnets have two ___ called poles.,ends
The end of a magnet that points north is called the ___ pole.,north
The opposite end of a magnet is called the ___ pole.,south
Like poles of two magnets ___ each other.,repel
Unlike poles of two magnets ___ each other.,attract
Magnets can attract magnetic materials like ___ and steel.,iron
The force exerted by a magnet is called ___. ,magnetic force
The line joining the north and south pole of a magnet is called a ___ line.,magnetic
A freely suspended magnet always points towards the ___. ,north
Earth itself behaves like a ___ magnet.,giant
The region around a magnet where its force can be felt is called ___. ,magnetic field
A magnetic compass has a needle which is a small ___ magnet.,bar
The magnetic field lines emerge from the ___ pole.,north
Magnetic field lines enter the ___ pole.,south
Magnets can be natural or ___. ,artificial
A magnet can lose its magnetism if it is ___.,heated
Hammering a magnet may cause it to lose its ___. ,magnetism
Magnetic materials can be made into a ___ magnet.,permanent
Temporary magnets lose their magnetism when ___.,removed from a magnetic field
The material used to make permanent magnets is called ___.,steel or alnico
Iron filings show the ___ of a magnet.,magnetic field
The north pole of a compass needle points towards the ___.,geographic north
The south pole of a compass needle points towards the ___.,geographic south
Bar magnets are usually made of ___ or steel.,alnico
The shape of a horseshoe magnet resembles the letter ___. ,U
Magnets attract small pieces of ___.,iron
Magnets attract and ___ metals.,steel
Two magnets placed with like poles together ___ each other.,repel
A magnet can be used to separate iron from ___.,sand
Magnets can pull objects without ___.,touching
The strongest part of a magnet is at its ___.,poles
A magnet can be made by stroking a magnetic ___.,material
Permanent magnets retain their ___ for a long time.,magnetism
Temporary magnets are usually made from ___.,soft iron
Electromagnets are formed by passing current through a ___.,coil of wire
Magnets can lose their magnetism if they are ___ or dropped.,hammered
A compass is used to find ___. ,direction
Magnetic field lines never ___ each other.,cross
A bar magnet has ___ poles.,two
The north pole of a bar magnet is sometimes marked with ___.,red
Magnets are used in electric ___ and motors.,generators
Magnetism is a property of ___ and some alloys.,iron
A magnet can attract objects from a ___ distance.,short
The needle of a compass aligns along the ___ lines.,magnetic field
Earth’s magnetic field helps in ___ navigation.,marine
Magnets are used in ___ speakers.,loudspeakers
