Question,Answer
The universal solvent is _______,,water
Water in the form of gas is called _______,,water vapour
The process of water changing from liquid to gas is called _______,,evaporation
The process of water changing from gas to liquid is called _______,,condensation
The movement of water from soil to plants and then into the atmosphere is called _______,,water cycle
Water present underground is called _______,,groundwater
The layer of water found above rocks underground is called _______,,water table
The water that falls from clouds is called _______,,precipitation
The flow of water from rivers into oceans is called _______,,runoff
Water vapour in the air forms clouds through _______,,condensation
Water in rivers, lakes, and oceans is called _______,,surface water
Water that is safe for drinking is called _______,,potable water
The process of removing impurities from water is called _______,,purification
Boiling water kills _______,,microorganisms
The process of passing water through sand, gravel, and charcoal is called _______,,filtration
The water cycle includes evaporation, condensation, and _______,,precipitation
Water can dissolve _______,,many substances
Water helps in transporting _______,,nutrients
The property of water that allows it to climb up narrow tubes is called _______,,capillarity
Ice is less dense than water, so it _______,,floats
The ocean covers nearly _______,,"71% of Earth’s surface"
Water is essential for _______,,all forms of life
The largest source of fresh water is _______,,glaciers
The water containing salts is called _______,,saline water
Water with no dissolved salts is called _______,,fresh water
The underground water collected in rocks is called _______,,aquifer
Water pollution is caused by release of _______,,waste and chemicals
The process of water absorption by roots is called _______,,imbibition
Water moves from roots to leaves through _______,,xylem
The water released from leaves into the air is called _______,,transpiration
Rainwater harvesting helps in _______,,conserving water
Water helps in regulating _______ in living organisms,,"body temperature"
Water expands on _______,,freezing
The process of changing water from solid to liquid is _______,,melting
The water used for washing and cleaning is called _______,,grey water
Water has _______ surface tension,,"high"
Water is a good _______,,coolant
Water is used as a _______,,solvent
Water cycle maintains _______,,climate balance
The process by which water soaks into the soil is called _______,,infiltration
Clouds are formed due to _______,,condensation
The first step of water purification is usually _______,,screening
Water collected from roofs is called _______,,rainwater
Seawater can be converted into drinking water by _______,,desalination
Water provides habitat for _______,,aquatic organisms
The movement of water from rivers to oceans is aided by _______,,gravity
The boiling point of water is _______,,100°C
The freezing point of water is _______,,0°C
The water that flows over the land surface is called _______,,runoff
Water helps plants in _______,,photosynthesis
Water helps in _______ of body waste in animals,,"excretion"
