Question,Answer
The non-living part of the environment is called _______,,abiotic component
The living part of the environment is called _______,,biotic component
Plants, animals, and humans are examples of _______,,biotic components
Air, water, and soil are examples of _______,,abiotic components
The place where an organism lives is called its _______,,habitat
The role played by an organism in its habitat is called its _______,,niche
The tropical rainforest has _______ biodiversity,,"high"
The desert has _______ biodiversity,,"low"
Animals that eat only plants are called _______,,herbivores
Animals that eat both plants and animals are called _______,,omnivores
Animals that eat only other animals are called _______,,carnivores
The producer in an ecosystem is usually a _______,,plant
The consumers in an ecosystem are usually _______,,animals
The organisms that break down dead matter are called _______,,decomposers
The main source of energy for an ecosystem is _______,,sun
The interaction between living organisms and their environment is called _______,,adaptation
The desert plants store water in _______,,stems and leaves
Animals that are active during the night are called _______,,nocturnal
Animals that are active during the day are called _______,,diurnal
The polar bear survives in cold due to _______,,thick fur and fat
The camel survives in desert due to _______,,hump and water storage
The process by which animals adjust to environmental changes is called _______,,adaptation
A group of similar organisms living together is called a _______,,population
Different populations living together form a _______,,community
The community along with abiotic components forms an _______,,ecosystem
The grass, trees, and shrubs in an area form the _______,,producers
The lions, deer, and monkeys in an area form the _______,,consumers
The tiny organisms that decompose dead matter are called _______,,microorganisms
The environment includes both _______ and living factors,,"non-living"
The river ecosystem has water as a _______,,abiotic component
Birds building nests on trees is an example of _______,,habitat usage
The role of bees in pollination is an example of _______,,niche
The environmental factor like temperature is called _______,,abiotic factor
The plants that grow in water are called _______,,aquatic plants
The animals that live in water are called _______,,aquatic animals
Animals that feed on decaying matter are called _______,,detritivores
The polar region animals have adaptations like _______,,blubber and thick fur
The desert plants have adaptations like _______,,spines and deep roots
The process of balancing the environment naturally is called _______,,ecological balance
The living organisms and surroundings together form an _______,,ecosystem
The interaction between predator and prey maintains _______,,population balance
The tall trees in a forest form the _______,,canopy
The small plants growing under tall trees form the _______,,understory
The decomposed matter enriches the _______,,soil
The abiotic factor that affects plant growth most is _______,,sunlight
The grassland ecosystem mainly has _______ producers,,"grasses"
The tundra region is covered with _______,,snow
The rainforest has high _______,,rainfall
The cacti in deserts store water in _______,,stem
The environment of an organism where it naturally lives is called _______,,habitat
