Question,Answer
Materials that can be bent easily without breaking are called _______,,flexible
Materials that break easily on applying force are called _______,,brittle
The property of materials to dissolve in water is called _______,,solubility
Objects that allow light to pass through them completely are called _______,,transparent
Objects that allow partial light to pass are called _______,,translucent
Objects that do not allow light to pass through them are called _______,,opaque
Materials that conduct heat are called _______,,conductors
Materials that do not conduct heat easily are called _______,,insulators
The ability of a material to float on water depends on its _______,,density
The material used for making electric wires is generally _______,,copper
Materials that can be stretched into wires are said to be _______,,ductile
Materials that can be beaten into thin sheets are said to be _______,,malleable
The process of grouping materials based on common properties is called _______,,classification
Wood is generally a poor conductor of _______,,heat
The material which does not allow electricity to pass through is called an _______,,insulator
Glass is usually _______,,transparent
Rubber is a good _______,,insulator
Metals are generally good conductors of _______,,electricity
The property of a material to be attracted by a magnet is called _______,,magnetism
Iron is a _______ material,,"magnetic"
Materials that dissolve in water are said to be _______,,soluble
Sugar is _______ in water,,"soluble"
Sand is _______ in water,,"insoluble"
Materials that float on water are said to have _______ density,,"low"
Materials that sink in water have _______ density,,"high"
Aluminium is a metal but is _______ in weight,,"light"
Plastic is generally a poor conductor of _______,,heat
The classification of materials helps in their _______,,proper use
Paper is a poor conductor of _______,,electricity
Metals generally have _______ lustre,,"shiny"
Wooden objects are usually _______,,opaque
Water is _______ in nature,,"transparent"
Materials that do not dissolve even after stirring are called _______,,insoluble
The surface of metals usually reflects _______,,light
A material that can be easily compressed is _______,,soft
Rubber band is _______,,elastic
The material used for making cooking utensils is generally _______,,metal
Copper and aluminium are good conductors of _______,,heat
The property of bouncing back to original shape is called _______,,elasticity
Metals can be drawn into wires due to _______,,ductility
The material used for handles of cooking vessels is _______,,plastic
Glass breaks easily and is therefore _______,,brittle
Iron and steel are generally _______,,hard
The ability of a material to be scratched easily shows it is _______,,soft
Salt is _______ in water,,"soluble"
Oil and water are _______ with each other,,"immiscible"
The material used in making raincoats is _______,,plastic
Materials with smooth surface reflect more _______,,light
