Question,Answer
Humans and animals obtain their energy by consuming _______,,food
Plants prepare their own food by the process called _______,,photosynthesis
The green pigment in leaves that helps in photosynthesis is called _______,,chlorophyll
Animals that eat only plants are called _______,,herbivores
Animals that eat both plants and animals are called _______,,omnivores
Plants that trap and digest insects to get nutrients are called _______,,carnivorous plants
The main source of energy for all living organisms is _______,,the sun
The food material present in milk that helps in growth and repair of body is _______,,protein
Rice, wheat, and maize are examples of _______ sources of food,,"cereal"
The nutrient which gives us energy but is not a building material is _______,,carbohydrates
Honey is produced by _______,,bees
The process of breaking down food to get energy is called _______,,digestion
Nuts are a rich source of _______,,protein
The food that provides roughage to our body is called _______,,fiber
Fishes obtain their food from _______,,water
Humans require _______,,balanced diet
The sugar present in milk is called _______,,lactose
Green leafy vegetables are rich in _______,,vitamins
The excess food consumed by animals is stored as _______,,fat
The source of vitamin D is primarily _______,,sunlight
Meat provides the body with _______,,protein
Cereals and pulses are mainly consumed for _______,,energy
Animals that eat other animals are called _______,,carnivores
Vegetables like carrot and spinach are rich in _______,,vitamins
Fruits like orange and lemon are rich in _______,,vitamin C
Eggs are a good source of _______,,protein
The main function of fat in the body is to _______,,store energy
Legumes and pulses are rich in _______,,protein
The main component of sugarcane is _______,,sucrose
Food obtained from plants is called _______,,plant-based food
The energy obtained from food is measured in _______,,calories
Milk provides _______,,calcium
Food materials that help in growth and repair are _______,,proteins
Green peas are rich in _______,,vitamin A
Wheat is a rich source of _______,,carbohydrates
Fats and oils provide _______,,energy
The vitamin present in butter and egg yolk is _______,,vitamin A
The deficiency of vitamin C leads to _______,,scurvy
The deficiency of vitamin D leads to _______,,rickets
Milk and milk products provide _______,,calcium
Honey contains mostly _______,,sugar
The process by which plants use sunlight to prepare food is called _______,,photosynthesis
Fruits, vegetables, and whole grains provide _______,,fiber
Pulses are mainly consumed for _______,,protein
The food chain begins with _______,,producers
Meat, fish, and eggs are part of the _______ group of food,,"non-vegetarian"
Tomatoes and carrots are rich in _______,,vitamins
Fruits that grow underground, like carrot, are called _______,,root vegetables
The food we eat is converted into _______,,energy
The energy we get from carbohydrates is stored in the form of _______,,glucose
