Question,Answer
A change that can be reversed is called a ______ change.,reversible
A change that cannot be reversed is called an ______ change.,irreversible
Melting of ice is a ______ change.,reversible
Freezing of water is a ______ change.,reversible
Burning of paper is an ______ change.,irreversible
Rusting of iron is an ______ change.,irreversible
When ice melts, it changes into ______.,water
When water freezes, it changes into ______.,ice
The change of water into vapour is called ______.,evaporation
The change of vapour into water is called ______.,condensation
Cooking of food is an ______ change.,irreversible
Making of curd from milk is an ______ change.,irreversible
Stretching a rubber band is a ______ change.,reversible
Breaking of glass is an ______ change.,irreversible
Growth of plants is an ______ change.,irreversible
Heating causes many substances to ______.,expand
Cooling causes many substances to ______.,contract
Melting happens due to ______.,heat
Freezing happens due to ______.,cooling
Dissolving sugar in water is a ______ change.,reversible
Cutting of paper is an ______ change.,irreversible
Changes that take place slowly are called ______ changes.,slow
Changes that take place quickly are called ______ changes.,fast
Ripening of fruits is a ______ change.,slow
Bursting of crackers is a ______ change.,fast
Inflation of a balloon is a ______ change.,reversible
Deflation of a balloon is a ______ change.,reversible
Formation of clouds involves ______.,condensation
Melting of candle wax is a ______ change.,reversible
Burning of candle wax is an ______ change.,irreversible
Drying of wet clothes is a ______ change.,reversible
Freezing of juice into ice is a ______ change.,reversible
Spoiling of food is an ______ change.,irreversible
Bending of a metal wire may be ______.,irreversible
Folding a paper is usually ______.,reversible
When milk turns sour, the change is ______.,irreversible
Making of bread is an ______ change.,irreversible
Changes that repeat at fixed intervals are called ______ changes.,periodic
Day and night is a ______ change.,periodic
Growth of hair is a ______ change.,slow
Explosion is a ______ change.,fast
Heating of iron rod causes it to ______.,expand
Cooling of iron rod causes it to ______.,contract
Dissolving salt in water is a ______ change.,reversible
Tearing of paper is an ______ change.,irreversible
Changes help us understand ______ around us.,nature
Most physical changes are ______.,reversible
Most chemical changes are ______.,irreversible
