Question,Answer
The framework that supports our body is called the ___.,skeleton
The skeleton is made up of ___.,bones
The point where two bones meet is called a ___.,joint
The place where movement between bones occurs is called a ___.,joint
The joint that allows movement in all directions is called a ___ joint.,ball and socket
The shoulder joint is an example of a ___ joint.,ball and socket
The elbow joint is an example of a ___ joint.,hinge
The knee joint is a ___ joint.,hinge
The joint that allows rotation is called a ___ joint.,pivot
The neck has a ___ joint.,pivot
The joint in which bones are fixed and do not move is called a ___ joint.,fixed
The skull has ___ joints.,fixed
Muscles help in ___ of body parts.,movement
Muscles work in ___ pairs.,antagonistic
When one muscle contracts, the other muscle ___.,relaxes
The bones of the backbone are called ___.,vertebrae
The backbone is also called the ___.,vertebral column
The backbone protects the ___.,spinal cord
The rib cage protects the ___ and lungs.,heart
The rib cage is made up of ribs and the ___.,sternum
The pelvic girdle supports the ___.,body weight
The skull protects the ___.,brain
The upper limb includes arm, forearm, and ___.,hand
The lower limb includes thigh, leg, and ___.,foot
The cartilage is present at the ___ of bones.,ends
The smooth surface at the joints reduces ___.,friction
The movement of the arm is controlled by ___.,muscles
The contraction of muscles causes ___.,movement
The bending of arm is due to the contraction of ___ muscle.,biceps
The straightening of arm is due to the contraction of ___ muscle.,triceps
Fish move with the help of ___.,fins
Birds use ___ to fly.,wings
Snakes move by forming ___ curves.,S-shaped
Earthworms move by contracting and expanding their ___.,muscles
The movement of legs in humans helps in ___.,walking
The rigid structure inside the body is called the ___.,endoskeleton
Animals with backbone are called ___.,vertebrates
Animals without backbone are called ___.,invertebrates
The backbone is made up of small bones called ___.,vertebrae
The joint at the hip is a ___ joint.,ball and socket
The joint between skull bones is a ___ joint.,fixed
The joint in fingers is a ___ joint.,hinge
The joint between the first two vertebrae of neck is a ___ joint.,pivot
The cartilage helps in preventing ___ of bones.,wear and tear
The rib cage expands and contracts during ___.,breathing
The backbone helps in maintaining ___.,posture
The smooth movement of joints is helped by ___.,cartilage
The muscles are attached to bones by ___.,tendons
