Question,Answer
The process of separating insoluble solids from liquids using a filter is called _______,,filtration
The method used to separate heavier particles that settle at the bottom is called _______,,sedimentation
The clear liquid obtained after sedimentation is called _______,,supernatant
The process of gently pouring the clear liquid without disturbing the sediment is called _______,,decantation
The method used to separate handpicked impurities is called _______,,handpicking
The process of separating components using a sieve is called _______,,sieving
The technique used to separate magnetic substances is called _______,,magnetic separation
The method of separating salt from water using heat is called _______,,evaporation
The process of converting liquid into vapour is called _______,,evaporation
The method used to separate butter from curd is called _______,,churning
The process of separating cream from milk is called _______,,centrifugation
The method used to separate two immiscible liquids is called _______,,decantation
The method of separating substances based on their difference in size is _______,,sieving
The method used to separate husk from grain using wind is called _______,,winnowing
The method used to separate different coloured grains is _______,,handpicking
The process of settling down of heavier insoluble particles is called _______,,sedimentation
The mixture of sand and water can be separated by _______,,filtration
The process of separating salt from seawater involves _______,,evaporation
The technique of separating components using a magnet is useful when one component is _______,,magnetic
The method of separating oil and water is called _______,,decantation
The method of separating iron filings from sand is _______,,magnetic separation
The process of removing bran from flour is done by _______,,sieving
The process of separating tea leaves from tea is called _______,,filtration
The clear liquid above settled particles is called _______,,supernatant
The method of separating solids from liquids after sedimentation is _______,,decantation
The process of separating cream from milk involves _______,,churning
The method of separating different sizes of stones is _______,,sieving
The method used to separate mud from water is _______,,sedimentation
The separation of grains and husk by wind is called _______,,winnowing
The method of removing large impurities manually is _______,,handpicking
The process of separating volatile components from non-volatile ones is _______,,evaporation
The process used to obtain salt from sea water is _______,,evaporation
The method used to separate chalk powder from water is _______,,filtration
The separation of iron particles from waste is done using _______,,magnet
The method used when solid dissolves in liquid is _______,,evaporation
The process of separating curd into butter is called _______,,churning
The technique of separating insoluble impurities is _______,,filtration
The separation method based on weight difference is _______,,winnowing
The process of removing impurities that are too large is _______,,handpicking
The process of separating two liquids of different densities is _______,,decantation
The method of separating sand and gravel is _______,,sieving
The method used to separate tea leaves from tea is _______,,straining
The method of separating salt and sand is _______,,dissolution and filtration
The process of separating oil from water using a funnel is _______,,separating funnel
The method used to separate milk and cream using machines is _______,,centrifugation
The technique used when one substance dissolves in another is _______,,dissolution
The method used to separate mixtures using heat is _______,,evaporation
The separation of solid impurities from grains is done by _______,,handpicking
The method of separating fine particles using cloth is _______,,filtration
