Question,Option A,Option B,Option C,Option D,Answer
Which instrument is used to draw a circle?,Compass,Ruler,Protractor,Divider,A
Which instrument is used to measure an angle?,Protractor,Compass,Ruler,Divider,A
Which instrument is used to draw a straight line?,Ruler,Compass,Protractor,Divider,A
Which instrument is used to measure length?,Ruler,Compass,Protractor,Divider,A
A line that joins two points is called?,Line segment,Ray,Line,Curve,A
A line with one endpoint is called?,Ray,Line segment,Line,Curve,A
A line with no endpoints is called?,Line,Ray,Line segment,Curve,A
The point where two lines meet is called?,Vertex,Endpoint,Midpoint,Center,A
A triangle with three equal sides is called?,Equilateral,Isosceles,Scalene,Right angled,A
A triangle with two equal sides is called?,Isosceles,Equilateral,Scalene,Right angled,A
A triangle with all sides different is called?,Scalene,Equilateral,Isosceles,Right angled,A
A triangle with a 90° angle is called?,Right angled,Equilateral,Isosceles,Scalene,A
A quadrilateral with all sides equal and angles 90° is?,Square,Rectangle,Rhombus,Parallelogram,A
A quadrilateral with opposite sides equal and angles 90° is?,Rectangle,Square,Rhombus,Parallelogram,A
A quadrilateral with all sides equal but angles not 90° is?,Rhombus,Square,Rectangle,Parallelogram,A
A quadrilateral with opposite sides parallel is?,Parallelogram,Rhombus,Square,Rectangle,A
The perpendicular bisector of a line divides it into?,Two equal parts,Three equal parts,Unequal parts,Half the line,A
A circle drawn around a triangle is called?,Circumcircle,Incircle,Ellipse,Arc,A
A circle drawn inside a triangle is called?,Incircle,Circumcircle,Ellipse,Arc,A
The distance from center to any point on circle is called?,Radius,Diameter,Chord,Arc,A
A line joining two points on a circle is called?,Chord,Diameter,Radius,Arc,A
A line passing through the center of a circle is called?,Diameter,Radius,Chord,Arc,A
Half of the diameter is called?,Radius,Chord,Arc,Sector,A
The outer boundary of a circle is called?,Circumference,Radius,Chord,Arc,A
A part of circle between two points is called?,Arc,Chord,Radius,Diameter,A
The angle subtended by an arc at the center is called?,Central angle,Inscribed angle,Radian,Vertex angle,A
The center of a circle is called?,Center,Vertex,Focus,Point,A
The point inside a triangle where angle bisectors meet is called?,Incenter,Circumcenter,Centroid,Orthocenter,A
The point inside a triangle where perpendicular bisectors meet is called?,Circumcenter,Incenter,Centroid,Orthocenter,A
The point where medians of a triangle meet is?,Centroid,Incenter,Circumcenter,Orthocenter,A
The point where altitudes of a triangle meet is?,Orthocenter,Incenter,Centroid,Circumcenter,A
A tool used to draw parallel lines is?,Set square,Ruler,Compass,Protractor,A
Which instrument is used to divide an angle?,Protractor,Compass,Ruler,Divider,A
The length of arc depends on?,Radius and angle,Only radius,Only angle,Diameter,A
To draw a circle of radius 5 cm, use?,Compass,Ruler,Protractor,Divider,A
The bisector of an angle divides it into?,Two equal angles,Three equal angles,Unequal angles,Half the angle,A
A polygon with all sides and angles equal is called?,Regular polygon,Irregular polygon,Scalene polygon,Rectangle,A
To construct a perpendicular from a point on a line, use?,Compass and ruler,Ruler only,Protractor only,Divider,A
To construct a perpendicular from a point outside a line, use?,Compass and ruler,Ruler only,Protractor only,Divider,A
A polygon with four sides is called?,Quadrilateral,Triangle,Rectangle,Pentagon,A
A polygon with three sides is called?,Triangle,Quadrilateral,Rectangle,Pentagon,A
A polygon with five sides is called?,Pentagon,Hexagon,Quadrilateral,Triangle,A
A polygon with six sides is called?,Hexagon,Pentagon,Quadrilateral,Heptagon,A
A triangle with all angles less than 90° is called?,Acute,Right,Obtuse,Equilateral,A
A triangle with one angle greater than 90° is called?,Obtuse,Acute,Right,Equilateral,A
A triangle with one angle exactly 90° is called?,Right,Acute,Obtuse,Equilateral,A
The perpendicular drawn from vertex to opposite side is called?,Altitude,Median,Bisector,Arc,A
The line joining midpoints of two sides of a triangle is called?,Midline,Median,Bisector,Altitude,A
A circle passing through all vertices of a polygon is called?,Circumcircle,Incircle,Ellipse,Arc,A
A circle inside a polygon touching all sides is called?,Incircle,Circumcircle,Ellipse,Arc,A
A sector is?,Part of circle,Whole circle,Chord,Radian,A
A segment is?,Part of circle between chord and arc,Whole circle,Radius,Diameter,A
