Question,Option A,Option B,Option C,Option D,Correct Answer
The smallest whole number is?,0,1,2,10,A
Which of the following is a whole number?,-1,0,-5,1/2,B
Whole numbers start from?,0,1,2,-1,A
Which number comes just after 99?,100,98,101,90,A
How many whole numbers are there?,10,100,Infinite,0,C
Which of the following is not a whole number?,5,10,0,-3,D
The successor of 199 is?,198,200,201,197,B
The predecessor of 1 is?,0,2,1,-1,A
What is the successor of 0?,1,0,2,-1,A
Which is the largest whole number?,1000,9999,0,None,D
The predecessor of 50 is?,49,51,48,52,A
Which of the following numbers is a whole number?,-10,3,-2,-5,B
How many whole numbers are there between 3 and 7?,2,3,4,1,A
Which number comes just before 100?,99,101,98,90,A
Whole numbers include which of the following?,Natural numbers,Negative numbers,Fractions,Decimals,A
Which is a whole number?,7/2,9,-3,1/5,B
The successor of 0 is?,1,2,0,-1,A
The predecessor of 10 is?,9,11,8,12,A
Which number comes after 1000?,999,1001,100,101,B
How many whole numbers are there between 5 and 6?,0,1,2,3,A
0 is a?,Whole number,Natural number,Negative number,Prime number,A
Which of these is not a whole number?,0,8,12,-4,D
The successor of 999 is?,1000,998,1001,997,A
Which is the smallest whole number?,1,2,0,5,C
The predecessor of 100 is?,101,99,98,102,B
Whole numbers are?,Finite,Infinite,None of these,Negative,C
Which of the following is a whole number?,-7,15,-9,-1,B
The successor of 1 is?,2,0,3,-1,A
Which number comes before 20?,19,21,18,22,A
How many whole numbers are there between 10 and 10?,0,1,2,Infinite,A
Which is a whole number?,-5,0.5,4,-2,C
The predecessor of 0 is?,-1,1,2,None,A
Which number comes just after 0?,1,2,-1,0,A
Whole numbers include 0?,Yes,No,Sometimes,Never,A
Which is not a whole number?,3,6,9,1/3,D
The successor of 49 is?,48,50,51,47,B
The predecessor of 2 is?,1,0,3,-1,A
Which is a whole number?,-8,-10,12,-4,C
Whole numbers are written as?,Fractions,Decimals,Counting numbers with 0,Negatives,C
Which comes before 1?,0,2,3,-1,A
The successor of 500 is?,499,501,502,498,B
Which is not a whole number?,0,100,7,-9,D
How many whole numbers are less than 5?,5,4,Infinite,0,A
Which number comes after 1?,2,0,3,-1,A
Whole numbers include negative numbers?,Yes,No,Sometimes,None,B
The predecessor of 7 is?,6,8,5,9,A
Which of these is a whole number?,2.5,4,-3,1/2,B
