Question,Option A,Option B,Option C,Option D,Answer
The area of a rectangle with length 8 cm and breadth 5 cm is?,40 cm²,20 cm²,26 cm²,30 cm²,A
Perimeter of rectangle with length 12 cm and breadth 7 cm is?,38 cm,40 cm,36 cm,30 cm,A
Area of square with side 9 cm is?,81 cm²,72 cm²,90 cm²,85 cm²,A
Perimeter of square with side 15 cm is?,60 cm,45 cm,50 cm,55 cm,A
Area of triangle with base 10 cm and height 6 cm is?,30 cm²,16 cm²,60 cm²,50 cm²,A
Perimeter of equilateral triangle with side 12 cm is?,36 cm,30 cm,32 cm,35 cm,A
Area of circle with radius 7 cm (use π=22/7)?,154 cm²,144 cm²,150 cm²,160 cm²,A
Circumference of circle with radius 5 cm (use π=3.14)?,31.4 cm,30 cm,32 cm,35 cm,A
Area of parallelogram with base 10 cm and height 6 cm is?,60 cm²,50 cm²,70 cm²,66 cm²,A
Perimeter of parallelogram with sides 8 cm and 5 cm is?,26 cm,20 cm,30 cm,25 cm,A
Area of trapezium with parallel sides 8 cm and 12 cm and height 5 cm is?,50 cm²,40 cm²,48 cm²,45 cm²,A
Perimeter of trapezium with sides 6 cm, 8 cm, 5 cm, 7 cm is?,26 cm,25 cm,27 cm,24 cm,A
Surface area of cube with side 4 cm is?,96 cm²,64 cm²,48 cm²,80 cm²,A
Volume of cube with side 5 cm is?,125 cm³,100 cm³,150 cm³,120 cm³,A
Surface area of cuboid with length 8 cm, breadth 5 cm, height 3 cm is?,158 cm²,150 cm²,160 cm²,155 cm²,A
Volume of cuboid with length 10 cm, breadth 6 cm, height 4 cm is?,240 cm³,220 cm³,200 cm³,250 cm³,A
Volume of cylinder with radius 7 cm and height 10 cm (use π=22/7)?,1540 cm³,1500 cm³,1400 cm³,1550 cm³,A
Surface area of cylinder with radius 5 cm and height 12 cm (use π=3.14)?,439 cm²,440 cm²,450 cm²,420 cm²,A
Volume of sphere with radius 7 cm (use π=22/7)?,1436 cm³,1400 cm³,1500 cm³,1420 cm³,A
Surface area of sphere with radius 7 cm (use π=22/7)?,616 cm²,600 cm²,620 cm²,630 cm²,A
Area of sector of circle with radius 7 cm and angle 60° (π=22/7)?,25.4 cm²,24 cm²,26 cm²,28 cm²,A
Volume of cone with radius 5 cm and height 12 cm (π=3.14)?,314 cm³,300 cm³,320 cm³,310 cm³,A
Surface area of cone with radius 5 cm and slant height 13 cm (π=3.14)?,282.6 cm²,280 cm²,285 cm²,290 cm²,A
Perimeter of right-angled triangle with sides 3 cm, 4 cm, 5 cm is?,12 cm,11 cm,10 cm,13 cm,A
Area of right-angled triangle with base 6 cm and height 8 cm is?,24 cm²,25 cm²,20 cm²,28 cm²,A
Volume of cuboid with sides 4 cm, 5 cm, 6 cm is?,120 cm³,100 cm³,110 cm³,130 cm³,A
Surface area of cuboid with length 10 cm, breadth 5 cm, height 2 cm is?,180 cm²,150 cm²,170 cm²,200 cm²,A
Area of triangle with sides 5 cm, 6 cm, 7 cm is?,14.7 cm²,15 cm²,16 cm²,14 cm²,A
Perimeter of rectangle with length 9 cm and breadth 7 cm is?,32 cm,30 cm,33 cm,28 cm,A
Area of rectangle with length 15 cm and breadth 12 cm is?,180 cm²,160 cm²,170 cm²,175 cm²,A
Volume of cube with side 8 cm is?,512 cm³,500 cm³,480 cm³,520 cm³,A
Surface area of cube with side 6 cm is?,216 cm²,200 cm²,210 cm²,220 cm²,A
Volume of cylinder with radius 4 cm and height 15 cm (π=3.14)?,753.6 cm³,750 cm³,760 cm³,740 cm³,A
Surface area of cylinder with radius 7 cm and height 10 cm (π=22/7)?,748 cm²,750 cm²,740 cm²,760 cm²,A
Volume of sphere with radius 6 cm (π=3.14)?,904.32 cm³,900 cm³,910 cm³,920 cm³,A
Surface area of sphere with radius 6 cm (π=3.14)?,452.16 cm²,450 cm²,460 cm²,455 cm²,A
Area of trapezium with bases 10 cm, 6 cm and height 5 cm is?,40 cm²,35 cm²,36 cm²,38 cm²,A
Perimeter of trapezium with sides 8 cm, 10 cm, 5 cm, 7 cm is?,30 cm,28 cm,32 cm,31 cm,A
Volume of cone with radius 3 cm and height 9 cm (π=3.14)?,84.78 cm³,80 cm³,85 cm³,90 cm³,A
Surface area of cone with radius 4 cm and slant height 5 cm (π=3.14)?,113.04 cm²,110 cm²,115 cm²,112 cm²,A
Perimeter of square with side 12 cm is?,48 cm,40 cm,45 cm,50 cm,A
Area of square with side 11 cm is?,121 cm²,120 cm²,115 cm²,125 cm²,A
Volume of cuboid with length 12 cm, breadth 5 cm, height 3 cm is?,180 cm³,170 cm³,185 cm³,190 cm³,A
Surface area of cuboid with length 6 cm, breadth 4 cm, height 5 cm is?,148 cm²,140 cm²,150 cm²,145 cm²,A
Volume of cylinder with radius 3 cm and height 10 cm (π=3.14)?,282.6 cm³,280 cm³,290 cm³,285 cm³,A
Surface area of cylinder with radius 3 cm and height 10 cm (π=3.14)?,245.04 cm²,240 cm²,250 cm²,248 cm²,A
Volume of sphere with radius 5 cm (π=3.14)?,523.33 cm³,520 cm³,525 cm³,530 cm³,A
Surface area of sphere with radius 5 cm (π=3.14)?,314 cm²,310 cm²,320 cm²,315 cm²,A
Area of triangle with base 10 cm and height 12 cm is?,60 cm²,50 cm²,55 cm²,65 cm²,A
