Chapter,Question,Option A,Option B,Option C,Option D,Answer
Integers,Which of the following is a positive integer?,-5,0,3,-2,3
Integers,Which of the following is a negative integer?,4,-7,0,9,-7
Integers,Zero is considered?,Positive,Negative,Neither positive nor negative,Both positive and negative,Neither positive nor negative
Integers,Additive inverse of 7 is?,7,-7,0,1,-7
Integers,Additive inverse of -12 is?,12,-12,0,1,12
Integers,Sum of 5 and -3 is?,2,8,-2,1,2
Integers,Difference of -7 and 4 is?,11,-11,3,-3,-11
Integers,Product of -4 and 6 is?,24,-24,10,-10,-24
Integers,Product of -3 and -5 is?,15,-15,8,-8,15
Integers,Quotient of -20 ÷ 4 is?,5,-5,6,-6,-5
Integers,Quotient of 15 ÷ -3 is?,-5,5,0,3,-5
Integers,Which integer lies to the right of -3 on number line?,-4,-5,-2,-6,-2
Integers,Which integer lies to the left of 2 on number line?,3,4,1,0,1
Integers,Absolute value of -9 is?,9,-9,0,1,9
Integers,Absolute value of 7 is?,7,-7,0,1,7
Integers,Sum of -5 and -6 is?,-11,11,-1,1,-11
Integers,Difference of 8 and -3 is?,5,11,-11,1,11
Integers,(-7) + 12 = ?,5,-5,19,-19,5
Integers,(-10) + (-5) = ?,-15,15,-5,5,-15
Integers,(-8) - (-3) = ?,-5,5,-11,11,-5
Integers,Multiplication of -6 × 7 = ?,-42,42,-13,13,-42
Integers,Multiplication of -4 × -5 = ?,20,-20,9,-9,20
Integers,Division of -24 ÷ -6 = ?,4,-4,5,-5,4
Integers,Division of -18 ÷ 3 = ?,-6,6,-15,15,-6
Integers,Which integer is smallest?,-2,0,5,-7,-7
Integers,Which integer is largest?,-3,7,0,4,7
Integers,Opposite of -15 is?,15,-15,0,1,15
Integers,Opposite of 0 is?,0,1,-1,2,0
Integers,(-3) + (-4) + 5 = ?,-2,2,-1,1,-2
Integers,(-7) + 3 + 4 = ?,0,1,-1,2,0
Integers,(-12) - (-5) = ?,-7,7,-17,17,-7
Integers,(-8) - 5 = ?,-13,13,-3,3,-13
Integers,(-6) × 0 = ?,0,6,-6,-1,0
Integers,0 ÷ 7 = ?,0,7,-7,1,0
Integers,7 ÷ 0 = ?,Undefined,0,1,-1,Undefined
Integers,Sum of 0 and -9 = ?,-9,9,0,1,-9
Integers,Product of 0 × -8 = ?,0,8,-8,1,0
Integers,Division of 0 ÷ 3 = ?,0,3,-3,1,0
Integers,Sum of -3 + 2 + 1 = ? ,0,-6,6,1,0
Integers,(-5) + (-5) + (-5) = ?,-15,15,-10,10,-15
Integers,(-10) ÷ (-2) = ?,5,-5,10,-10,5
Integers,(-18) ÷ 3 = ?,-6,6,-9,9,-6
Integers,(-24) ÷ (-8) = ?,3,-3,4,-4,3
Integers,(-21) ÷ 7 = ?,-3,3,-2,2,-3
Integers,(-14) ÷ (-2) = ?,7,-7,6,-6,7
Integers,Sum of -7 + 0 + 5 = ?,-2,2,-1,1,-2
Integers,(-8) + (-12) + 20 = ? ,0,20,-20,8,0
Integers,(-15) - (-5) + 4 = ?,-6,6,-4,4,-6
Integers,(-10) - 5 - (-3) = ?,-12,12,-8,8,-12
Integers,Sum of -3 + (-2) + (-1) = ?,-6,6,-5,5,-6
Integers,(-6) + (-4) + 10 = ? ,0,10,-10,2,0
