Question,Option A,Option B,Option C,Option D,Answer
Algebra uses?,Variables,Numbers,Shapes,Colors,A
A variable is?,A letter that represents a number,A number,A shape,A fraction,A
Constant is?,A fixed value,A variable,A fraction,An equation,A
Expression is?,Combination of numbers and variables,Only numbers,Only letters,Only constants,A
Equation is?,Statement with =,Number,Variable,Expression,A
Which is an expression?,3x + 5,3 + 2 = 5,x + 1 = 2,2 + 3 = 5,A
Which is an equation?,2x + 3 = 7,3x + 2,5 + 2,4 + 3 = 7,A
Value of x in 2x + 3 = 7?,2,3,1,4,A
Simplify 3x + 4x?,7x,12x,1x,4x,A
Simplify 5y + 2y?,7y,10y,3y,5y,A
Simplify 6a - 3a?,3a,9a,6a,2a,A
Simplify 10b - 4b?,6b,14b,4b,10b,A
If x = 2, 3x + 1 =?,7,6,8,5,A
If y = 3, 2y + 5 =?,11,10,9,8,A
Combine like terms: 4x + 5y + 2x?,6x + 5y,2x + 5y,4x + 5y,3x + 5y,A
Combine like terms: 3a + 7b + 5a?,8a + 7b,5a + 7b,3a + 7b,10a + 7b,A
3x + 5 + 2x + 7 =?,5x + 12,5x + 7,3x + 12,5x + 10,A
2y + 3 + 4y + 5 =?,6y + 8,6y + 5,2y + 8,4y + 5,A
If x = 3, 4x - 5 =?,7,12,17,10,A
If y = 5, 2y + 3 =?,13,12,10,8,A
Simplify: 5m - 2m + 4?,3m + 4,7m + 4,5m + 2,2m + 4,A
Simplify: 7n + 3n - 5?,10n - 5,10n + 5,7n - 5,3n - 5,A
Which is a constant?,5, x, 2y, 3a,A
Which is a variable?,x, 5, 3, 7,A
Expression 4x + 3y - 5?,Yes,No,Only numbers,Only letters,A
Equation 3x + 4 = 7?,Yes,No,Only numbers,Expression,A
Value of x in x + 5 = 9?,4,5,3,6,A
Value of y in 2y + 3 = 11?,4,5,3,6,A
If a = 2, 3a + 4 =?,10,8,9,7,A
If b = 3, 2b + 5 =?,11,10,12,9,A
Simplify: 6x + 3 + 4x + 2?,10x + 5,10x + 6,6x + 5,9x + 5,A
Simplify: 5y + 2 + 3y + 4?,8y + 6,8y + 5,5y + 6,7y + 6,A
Which is like term of 3x?,5x,4y,2a,6b,A
Which is like term of 7y?,5y,3x,2a,4b,A
If x = 1, 2x + 3 =?,5,4,6,3,A
If y = 2, 3y + 4 =?,10,8,9,7,A
Simplify: 8a - 3a + 2?,5a + 2,11a + 2,8a - 2,3a + 2,A
Simplify: 7b + 2 - 2b + 3?,5b + 5,9b + 5,7b + 5,10b + 5,A
Value of x if 5x = 20?,4,5,3,2,A
Value of y if 3y = 9?,3,2,1,4,A
Expression 4m + 7?,Yes,No,Equation,Constant,A
Equation 2n + 3 = 7?,Yes,No,Expression,Constant,A
Combine like terms: 5x + 3 + 2x + 4?,7x + 7,7x + 5,5x + 7,2x + 7,A
Simplify: 6y + 2 + 4y + 3?,10y + 5,10y + 6,6y + 5,4y + 5,A
Which is constant term?,7,3x,5y,2a,A
Which is variable term?,x,y,a,b,A
Simplify: 3p + 2p + 5?,5p + 5,6p + 5,3p + 5,2p + 5,A
Value of p if 2p + 3 = 9?,3,2,4,5,A
If x = 2, 5x + 1 =?,11,12,10,9,A
