Question,Option A,Option B,Option C,Option D,Answer
Which integer is positive?,-5,0,7,-2,C
Which integer is negative?,3,-1,0,5,B
Zero is?,Positive,Negative,Neither positive nor negative,C
Opposite of 5 is?,5,-5,0,1,B
Opposite of -7 is?,7,-7,0,1,A
Absolute value of -9?,9,-9,0,1,A
Absolute value of 6?,6,-6,0,1,A
Which integer lies to the right of 0?,-3,4,-1,0,B
Which integer lies to the left of 0?,3,-2,0,5,B
Sum of 5 + 3?,8,2,-8,0,A
Sum of -5 + (-3)?,-8,8,-2,0,A
Sum of 5 + (-3)?,2,-2,8,0,A
Sum of -4 + 7?,3,-3,11,0,A
Difference 7 - 5?,2,-2,12,0,A
Difference -5 - (-3)?,-2,2,-8,0,A
Difference 4 - (-2)?,6,-6,2,0,A
What is -3 + 0?,-3,0,3,1,A
-7 + 7?,0,-14,7,-7,A
Which integer is smaller?,3,5,-2,1,C
Which integer is greater?,-1,-5,0,-3,C
Add -2 + (-5)?,-7,7,-3,0,A
Add 6 + (-2)?,4,-4,8,0,A
Subtract -3 - 5?,-8,8,-2,0,A
Subtract 7 - (-3)?,10,-10,4,0,A
Sum of -4 + (-6)?,-10,10,-2,0,A
Add -1 + 5?,4,-4,6,0,A
Add 0 + (-5)?,-5,5,0,1,A
Opposite of 0?,0,1,-1,2,A
Absolute value of 0?,0,1,-1,2,A
Which is an integer?,3.5,2,-7.2,-1,B
Which is not an integer?,4,7,-3.5,0,C
Sum of 0 + 0?,0,1,-1,2,A
Add -2 + 2?,0,4,-4,2,A
Sum of -5 + 5?,0,10,-10,5,A
Subtract -3 - 0?,-3,3,0,1,A
Subtract 0 - 4?,-4,4,0,1,A
Sum of -6 + (-3)?,-9,9,-3,0,A
Add 8 + (-5)?,3,-3,13,0,A
Add -7 + 2?,-5,5,-9,0,A
Difference 0 - (-3)?,3,-3,0,1,A
Add 4 + 0?,4,0,-4,1,A
Subtract -2 - (-2)?,0,-4,4,2,A
Sum of -1 + (-9)?,-10,10,-8,0,A
Add -6 + 6?,0,12,-12,6,A
Add -8 + (-2)?,-10,10,-6,0,A
Which integer is smaller?,-9,-3,1,5,A
Which integer is greater?,0, -1, -2, -5,A
Add 5 + (-5)?,0,10,-10,5,A
Sum of -4 + 6?,2,-2,10,0,A
Subtract -3 - 7?,-10,10,4,0,A
Subtract 2 - (-8)?,10,-10,6,0,A
Add -9 + (-1)?,-10,10,-8,0,A
